; Candidate 4970
; ADRP+ADD at VM 0xfffffff0087cfab4 (fileoff 0x17cbab4): page=0x1fea1a000 add_imm=0xe80

0xfffffff0087cfa34: f70300aa  mov	x23, x0
0xfffffff0087cfa38: dd910394  bl	#0xfffffff0088b41ac
0xfffffff0087cfa3c: f60300aa  mov	x22, x0
0xfffffff0087cfa40: e0008052  mov	w0, #7
0xfffffff0087cfa44: 83af0294  bl	#0xfffffff00887b850
0xfffffff0087cfa48: d7010034  cbz	w23, #0xfffffff0087cfa80
0xfffffff0087cfa4c: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087cfa50: 0852ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087cfa54: 08412e91  add	x8, x8, #0xb90
0xfffffff0087cfa58: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087cfa5c: 0852ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087cfa60: 08712591  add	x8, x8, #0x95c
0xfffffff0087cfa64: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cfa68: 080a8052  mov	w8, #0x50
0xfffffff0087cfa6c: 0052ffb0  adrp	x0, #0xfffffff007210000
0xfffffff0087cfa70: 00a42d91  add	x0, x0, #0xb69
0xfffffff0087cfa74: f62300a9  stp	x22, x8, [sp]
0xfffffff0087cfa78: 7a9ed797  bl	#0xfffffff007db7460
0xfffffff0087cfa7c: 16000014  b	#0xfffffff0087cfad4
0xfffffff0087cfa80: cb910394  bl	#0xfffffff0088b41ac
0xfffffff0087cfa84: f60300aa  mov	x22, x0
0xfffffff0087cfa88: e0008052  mov	w0, #7
0xfffffff0087cfa8c: 71af0294  bl	#0xfffffff00887b850
0xfffffff0087cfa90: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087cfa94: 0852ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087cfa98: 08412e91  add	x8, x8, #0xb90
0xfffffff0087cfa9c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087cfaa0: 0852ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087cfaa4: 08712591  add	x8, x8, #0x95c
0xfffffff0087cfaa8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cfaac: 080a8052  mov	w8, #0x50
0xfffffff0087cfab0: f62300a9  stp	x22, x8, [sp]
0xfffffff0087cfab4: c050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cfab8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cfabc: c191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cfac0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cfac4: 4353fff0  adrp	x3, #0xfffffff00723a000
0xfffffff0087cfac8: 63101d91  add	x3, x3, #0x744
0xfffffff0087cfacc: 02008052  mov	w2, #0
0xfffffff0087cfad0: 988ded97  bl	#0xfffffff008333130
0xfffffff0087cfad4: c891ffb0  adrp	x8, #0xfffffff007a08000
0xfffffff0087cfad8: 083142f9  ldr	x8, [x8, #0x460]
0xfffffff0087cfadc: 010140f9  ldr	x1, [x8]
0xfffffff0087cfae0: 900240f9  ldr	x16, [x20]
0xfffffff0087cfae4: f10314aa  mov	x17, x20
0xfffffff0087cfae8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087cfaec: 301ac1da  autda	x16, x17
0xfffffff0087cfaf0: 117580d2  mov	x17, #0x3a8
0xfffffff0087cfaf4: 1002118b  add	x16, x16, x17
0xfffffff0087cfaf8: 080240f9  ldr	x8, [x16]
0xfffffff0087cfafc: e90310aa  mov	x9, x16
0xfffffff0087cfb00: a4e300d1  sub	x4, x29, #0x38
0xfffffff0087cfb04: e00314aa  mov	x0, x20
0xfffffff0087cfb08: 02008052  mov	w2, #0
0xfffffff0087cfb0c: e30314aa  mov	x3, x20
0xfffffff0087cfb10: 050080d2  mov	x5, #0
0xfffffff0087cfb14: 060080d2  mov	x6, #0
0xfffffff0087cfb18: f10309aa  mov	x17, x9
0xfffffff0087cfb1c: 1131e1f2  movk	x17, #0x988, lsl #48
0xfffffff0087cfb20: 11093fd7  blraa	x8, x17
0xfffffff0087cfb24: f60300aa  mov	x22, x0
0xfffffff0087cfb28: 40000034  cbz	w0, #0xfffffff0087cfb30
0xfffffff0087cfb2c: bf831cf8  stur	xzr, [x29, #-0x38]
0xfffffff0087cfb30: 000a8052  mov	w0, #0x50
