; Candidate 3282
; ADRP+ADD at VM 0xfffffff00872852c (fileoff 0x172452c): page=0x1fea09000 add_imm=0xd90

0xfffffff0087284ac: 15fd7fd3  lsr	x21, x8, #0x3f
0xfffffff0087284b0: e00313aa  mov	x0, x19
0xfffffff0087284b4: 21008052  mov	w1, #1
0xfffffff0087284b8: 02008052  mov	w2, #0
0xfffffff0087284bc: 71cbff97  bl	#0xfffffff00871b280
0xfffffff0087284c0: e93b40f9  ldr	x9, [sp, #0x70]
0xfffffff0087284c4: 95860b39  strb	w21, [x20, #0x2e1]
0xfffffff0087284c8: 88424939  ldrb	w8, [x20, #0x250]
0xfffffff0087284cc: e14b40f9  ldr	x1, [sp, #0x90]
0xfffffff0087284d0: 881c0034  cbz	w8, #0xfffffff008728860
0xfffffff0087284d4: 280140b9  ldr	w8, [x9]
0xfffffff0087284d8: c8160034  cbz	w8, #0xfffffff0087287b0
0xfffffff0087284dc: 28008052  mov	w8, #1
0xfffffff0087284e0: 888a0b39  strb	w8, [x20, #0x2e2]
0xfffffff0087284e4: c80240b9  ldr	w8, [x22]
0xfffffff0087284e8: 1f010071  cmp	w8, #0
0xfffffff0087284ec: 4c180054  b.gt	#0xfffffff0087287f4
0xfffffff0087284f0: dc000014  b	#0xfffffff008728860
0xfffffff0087284f4: e00313aa  mov	x0, x19
0xfffffff0087284f8: c0d3ff97  bl	#0xfffffff00871d3f8
0xfffffff0087284fc: c00200b9  str	w0, [x22]
0xfffffff008728500: 1f3c0071  cmp	w0, #0xf
0xfffffff008728504: 630b0054  b.lo	#0xfffffff008728670
0xfffffff008728508: c8018052  mov	w8, #0xe
0xfffffff00872850c: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728510: 29211391  add	x9, x9, #0x4c8
0xfffffff008728514: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff008728518: e90301a9  stp	x9, x0, [sp, #0x10]
0xfffffff00872851c: 88e58152  mov	w8, #0xf2c
0xfffffff008728520: 6951ffd0  adrp	x9, #0xfffffff007156000
0xfffffff008728524: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008728528: e92300a9  stp	x9, x8, [sp]
0xfffffff00872852c: 4050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008728530: 00403691  add	x0, x0, #0xd90
0xfffffff008728534: a196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008728538: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872853c: 8350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff008728540: 63dc0f91  add	x3, x3, #0x3f7
0xfffffff008728544: 02008052  mov	w2, #0
0xfffffff008728548: fa2af097  bl	#0xfffffff008333130
0xfffffff00872854c: 00008052  mov	w0, #0
0xfffffff008728550: 34fdff17  b	#0xfffffff008727a20
0xfffffff008728554: a98358f8  ldur	x9, [x29, #-0x78]
0xfffffff008728558: 280141f9  ldr	x8, [x9, #0x200]
0xfffffff00872855c: 3505198b  add	x21, x9, x25, lsl #1
0xfffffff008728560: a98a4479  ldrh	w9, [x21, #0x244]
0xfffffff008728564: 8a038052  mov	w10, #0x1c
0xfffffff008728568: 28210a9b  madd	x8, x9, x10, x8
0xfffffff00872856c: 08254079  ldrh	w8, [x8, #0x12]
0xfffffff008728570: 48daff34  cbz	w8, #0xfffffff0087280b8
0xfffffff008728574: 783640f9  ldr	x24, [x19, #0x68]
0xfffffff008728578: 68a640b9  ldr	w8, [x19, #0xa4]
0xfffffff00872857c: 08050011  add	w8, w8, #1
0xfffffff008728580: 68a600b9  str	w8, [x19, #0xa4]
0xfffffff008728584: 19ff7fd3  lsr	x25, x24, #0x3f
0xfffffff008728588: e00313aa  mov	x0, x19
0xfffffff00872858c: 21008052  mov	w1, #1
0xfffffff008728590: 02008052  mov	w2, #0
0xfffffff008728594: 3bcbff97  bl	#0xfffffff00871b280
0xfffffff008728598: 999a0039  strb	w25, [x20, #0x26]
0xfffffff00872859c: b98359f8  ldur	x25, [x29, #-0x68]
0xfffffff0087285a0: d8d8ffb6  tbz	x24, #0x3f, #0xfffffff0087280b8
0xfffffff0087285a4: a9120991  add	x9, x21, #0x244
0xfffffff0087285a8: a88358f8  ldur	x8, [x29, #-0x78]
