; Candidate 12773
; ADRP+ADD at VM 0xfffffff009154744 (fileoff 0x2150744): page=0x1fe334000 add_imm=0xde5

0xfffffff0091546c4: 09fd0151  sub	w9, w8, #0x7f
0xfffffff0091546c8: 3f7d0131  cmn	w9, #0x5f
0xfffffff0091546cc: 43040054  b.lo	#0xfffffff009154754
0xfffffff0091546d0: 69064039  ldrb	w9, [x19, #1]
0xfffffff0091546d4: 2afd0151  sub	w10, w9, #0x7f
0xfffffff0091546d8: 5f7d0131  cmn	w10, #0x5f
0xfffffff0091546dc: c3030054  b.lo	#0xfffffff009154754
0xfffffff0091546e0: 6a0a4039  ldrb	w10, [x19, #2]
0xfffffff0091546e4: 4bfd0151  sub	w11, w10, #0x7f
0xfffffff0091546e8: 7f7d0131  cmn	w11, #0x5f
0xfffffff0091546ec: 43030054  b.lo	#0xfffffff009154754
0xfffffff0091546f0: 6b0e4039  ldrb	w11, [x19, #3]
0xfffffff0091546f4: 6c810051  sub	w12, w11, #0x20
0xfffffff0091546f8: 9f7d0171  cmp	w12, #0x5f
0xfffffff0091546fc: c2020054  b.hs	#0xfffffff009154754
0xfffffff009154700: 081d0853  lsl	w8, w8, #0x18
0xfffffff009154704: 281d1033  bfi	w8, w9, #0x10, #8
0xfffffff009154708: 481d1833  bfi	w8, w10, #8, #8
0xfffffff00915470c: 13010b2a  orr	w19, w8, w11
0xfffffff009154710: 88f247b9  ldr	w8, [x20, #0x7f0]
0xfffffff009154714: 1f090071  cmp	w8, #2
0xfffffff009154718: c3050054  b.lo	#0xfffffff0091547d0
0xfffffff00915471c: 148e00b0  adrp	x20, #0xfffffff00a315000
0xfffffff009154720: 88d25f39  ldrb	w8, [x20, #0x7f4]
0xfffffff009154724: e8060036  tbz	w8, #0, #0xfffffff009154800
0xfffffff009154728: 088e00b0  adrp	x8, #0xfffffff00a315000
0xfffffff00915472c: 08611e91  add	x8, x8, #0x798
0xfffffff009154730: 08014039  ldrb	w8, [x8]
0xfffffff009154734: a8050034  cbz	w8, #0xfffffff0091547e8
0xfffffff009154738: a819ff90  adrp	x8, #0xfffffff007488000
0xfffffff00915473c: 08293691  add	x8, x8, #0xd8a
0xfffffff009154740: e84f00a9  stp	x8, x19, [sp]
0xfffffff009154744: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff009154748: 00943791  add	x0, x0, #0xde5
0xfffffff00915474c: 458bb197  bl	#0xfffffff007db7460
0xfffffff009154750: 2c000014  b	#0xfffffff009154800
0xfffffff009154754: 138e00b0  adrp	x19, #0xfffffff00a315000
0xfffffff009154758: 68d25f39  ldrb	w8, [x19, #0x7f4]
0xfffffff00915475c: 48020036  tbz	w8, #0, #0xfffffff0091547a4
0xfffffff009154760: 088e00b0  adrp	x8, #0xfffffff00a315000
0xfffffff009154764: 08611e91  add	x8, x8, #0x798
0xfffffff009154768: 08014039  ldrb	w8, [x8]
0xfffffff00915476c: 08010034  cbz	w8, #0xfffffff00915478c
0xfffffff009154770: a819ff90  adrp	x8, #0xfffffff007488000
0xfffffff009154774: 08293691  add	x8, x8, #0xd8a
0xfffffff009154778: e80300f9  str	x8, [sp]
0xfffffff00915477c: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff009154780: 00c83691  add	x0, x0, #0xdb2
0xfffffff009154784: 378bb197  bl	#0xfffffff007db7460
0xfffffff009154788: 07000014  b	#0xfffffff0091547a4
0xfffffff00915478c: a819ff90  adrp	x8, #0xfffffff007488000
0xfffffff009154790: 08293691  add	x8, x8, #0xd8a
0xfffffff009154794: e80300f9  str	x8, [sp]
0xfffffff009154798: a019ff90  adrp	x0, #0xfffffff007488000
0xfffffff00915479c: 00c83691  add	x0, x0, #0xdb2
0xfffffff0091547a0: 6c6bcc97  bl	#0xfffffff00846f550
0xfffffff0091547a4: 68d25f39  ldrb	w8, [x19, #0x7f4]
0xfffffff0091547a8: 28010836  tbz	w8, #1, #0xfffffff0091547cc
0xfffffff0091547ac: bce5b597  bl	#0xfffffff007ecde9c
0xfffffff0091547b0: e0000034  cbz	w0, #0xfffffff0091547cc
0xfffffff0091547b4: a819ff90  adrp	x8, #0xfffffff007488000
0xfffffff0091547b8: 08293691  add	x8, x8, #0xd8a
0xfffffff0091547bc: e80300f9  str	x8, [sp]
0xfffffff0091547c0: a019ff90  adrp	x0, #0xfffffff007488000
