; Candidate 1221
; ADRP+ADD at VM 0xfffffff0082a6cd8 (fileoff 0x12a2cd8): page=0x1fedec000 add_imm=0xcf6

0xfffffff0082a6c58: 29430791  add	x9, x25, #0x1d0
0xfffffff0082a6c5c: 0aed40f9  ldr	x10, [x8, #0x1d8]
0xfffffff0082a6c60: 5f0109eb  cmp	x10, x9
0xfffffff0082a6c64: a1020054  b.ne	#0xfffffff0082a6cb8
0xfffffff0082a6c68: 29ef40f9  ldr	x9, [x25, #0x1d8]
0xfffffff0082a6c6c: 2a0140f9  ldr	x10, [x9]
0xfffffff0082a6c70: 5f0119eb  cmp	x10, x25
0xfffffff0082a6c74: 40faff54  b.eq	#0xfffffff0082a6bbc
0xfffffff0082a6c78: 08000014  b	#0xfffffff0082a6c98
0xfffffff0082a6c7c: 28ef40f9  ldr	x8, [x25, #0x1d8]
0xfffffff0082a6c80: 090140f9  ldr	x9, [x8]
0xfffffff0082a6c84: 3f0119eb  cmp	x9, x25
0xfffffff0082a6c88: 81000054  b.ne	#0xfffffff0082a6c98
0xfffffff0082a6c8c: 090080d2  mov	x9, #0
0xfffffff0082a6c90: e83f00f9  str	x8, [sp, #0x78]
0xfffffff0082a6c94: ccffff17  b	#0xfffffff0082a6bc4
0xfffffff0082a6c98: e80f8252  mov	w8, #0x107f
0xfffffff0082a6c9c: 696fff90  adrp	x9, #0xfffffff007092000
0xfffffff0082a6ca0: 29613091  add	x9, x9, #0xc18
0xfffffff0082a6ca4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0082a6ca8: f92300a9  stp	x25, x8, [sp]
0xfffffff0082a6cac: 806fff90  adrp	x0, #0xfffffff007096000
0xfffffff0082a6cb0: 00502c91  add	x0, x0, #0xb14
0xfffffff0082a6cb4: 16b60794  bl	#0xfffffff00849450c
0xfffffff0082a6cb8: e80f8252  mov	w8, #0x107f
0xfffffff0082a6cbc: 696fff90  adrp	x9, #0xfffffff007092000
0xfffffff0082a6cc0: 29613091  add	x9, x9, #0xc18
0xfffffff0082a6cc4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0082a6cc8: f92300a9  stp	x25, x8, [sp]
0xfffffff0082a6ccc: 806fff90  adrp	x0, #0xfffffff007096000
0xfffffff0082a6cd0: 00982b91  add	x0, x0, #0xae6
0xfffffff0082a6cd4: 0eb60794  bl	#0xfffffff00849450c
0xfffffff0082a6cd8: 606fff90  adrp	x0, #0xfffffff007092000
0xfffffff0082a6cdc: 00d83391  add	x0, x0, #0xcf6
0xfffffff0082a6ce0: 616fff90  adrp	x1, #0xfffffff007092000
0xfffffff0082a6ce4: 21902d91  add	x1, x1, #0xb64
0xfffffff0082a6ce8: a24f8252  mov	w2, #0x127d
0xfffffff0082a6cec: cae20794  bl	#0xfffffff00849f814
0xfffffff0082a6cf0: e00314aa  mov	x0, x20
0xfffffff0082a6cf4: e10315aa  mov	x1, x21
0xfffffff0082a6cf8: 02008052  mov	w2, #0
0xfffffff0082a6cfc: 7f13ec97  bl	#0xfffffff007dabaf8
0xfffffff0082a6d00: a4feff17  b	#0xfffffff0082a6790
0xfffffff0082a6d04: e00314aa  mov	x0, x20
0xfffffff0082a6d08: e10315aa  mov	x1, x21
0xfffffff0082a6d0c: 9616ec97  bl	#0xfffffff007dac764
0xfffffff0082a6d10: aefeff17  b	#0xfffffff0082a67c8
0xfffffff0082a6d14: e00313aa  mov	x0, x19
0xfffffff0082a6d18: e10315aa  mov	x1, x21
0xfffffff0082a6d1c: 02008052  mov	w2, #0
0xfffffff0082a6d20: 7613ec97  bl	#0xfffffff007dabaf8
0xfffffff0082a6d24: d1feff17  b	#0xfffffff0082a6868
0xfffffff0082a6d28: e00313aa  mov	x0, x19
0xfffffff0082a6d2c: e10315aa  mov	x1, x21
0xfffffff0082a6d30: 8d16ec97  bl	#0xfffffff007dac764
0xfffffff0082a6d34: e2feff17  b	#0xfffffff0082a68bc
0xfffffff0082a6d38: f83740f9  ldr	x24, [sp, #0x68]
0xfffffff0082a6d3c: fa2f40f9  ldr	x26, [sp, #0x58]
0xfffffff0082a6d40: 97fb00b0  adrp	x23, #0xfffffff00a217000
0xfffffff0082a6d44: f8d7ffb4  cbz	x24, #0xfffffff0082a6840
0xfffffff0082a6d48: b9b6fff0  adrp	x25, #0xfffffff00797d000
0xfffffff0082a6d4c: 39c30791  add	x25, x25, #0x1f0
0xfffffff0082a6d50: 06000014  b	#0xfffffff0082a6d68
0xfffffff0082a6d54: e00319aa  mov	x0, x25
