; Candidate 5459
; ADRP+ADD at VM 0xfffffff0087f1f28 (fileoff 0x17edf28): page=0x1fe9f8000 add_imm=0xe80

0xfffffff0087f1ea8: f90300aa  mov	x25, x0
0xfffffff0087f1eac: c0080394  bl	#0xfffffff0088b41ac
0xfffffff0087f1eb0: f80300aa  mov	x24, x0
0xfffffff0087f1eb4: e0008052  mov	w0, #7
0xfffffff0087f1eb8: 66260294  bl	#0xfffffff00887b850
0xfffffff0087f1ebc: d9010034  cbz	w25, #0xfffffff0087f1ef4
0xfffffff0087f1ec0: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff0087f1ec4: f4db02a9  stp	x20, x22, [sp, #0x28]
0xfffffff0087f1ec8: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f1ecc: 08e10e91  add	x8, x8, #0x3b8
0xfffffff0087f1ed0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f1ed4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f1ed8: 080f8052  mov	w8, #0x78
0xfffffff0087f1edc: 0051fff0  adrp	x0, #0xfffffff007214000
0xfffffff0087f1ee0: 00a01991  add	x0, x0, #0x668
0xfffffff0087f1ee4: f82300a9  stp	x24, x8, [sp]
0xfffffff0087f1ee8: 5e15d797  bl	#0xfffffff007db7460
0xfffffff0087f1eec: 130300b5  cbnz	x19, #0xfffffff0087f1f4c
0xfffffff0087f1ef0: 38000014  b	#0xfffffff0087f1fd0
0xfffffff0087f1ef4: ae080394  bl	#0xfffffff0088b41ac
0xfffffff0087f1ef8: f80300aa  mov	x24, x0
0xfffffff0087f1efc: e0008052  mov	w0, #7
0xfffffff0087f1f00: 54260294  bl	#0xfffffff00887b850
0xfffffff0087f1f04: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff0087f1f08: e80316aa  mov	x8, x22
0xfffffff0087f1f0c: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0087f1f10: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f1f14: 08e10e91  add	x8, x8, #0x3b8
0xfffffff0087f1f18: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f1f1c: 080f8052  mov	w8, #0x78
0xfffffff0087f1f20: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f1f24: f80300f9  str	x24, [sp]
0xfffffff0087f1f28: c04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f1f2c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f1f30: a190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f1f34: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f1f38: 6352ffd0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f1f3c: 63083a91  add	x3, x3, #0xe82
0xfffffff0087f1f40: 02008052  mov	w2, #0
0xfffffff0087f1f44: 7b04ed97  bl	#0xfffffff008333130
0xfffffff0087f1f48: 530400b4  cbz	x19, #0xfffffff0087f1fd0
0xfffffff0087f1f4c: 350400b4  cbz	x21, #0xfffffff0087f1fd0
0xfffffff0087f1f50: 170400b4  cbz	x23, #0xfffffff0087f1fd0
0xfffffff0087f1f54: 18249552  mov	w24, #0xa920
0xfffffff0087f1f58: 7800a072  movk	w24, #3, lsl #16
0xfffffff0087f1f5c: 7a0a40f9  ldr	x26, [x19, #0x10]
0xfffffff0087f1f60: 482b4491  add	x8, x26, #0x10a, lsl #12
0xfffffff0087f1f64: 19c51691  add	x25, x8, #0x5b1
0xfffffff0087f1f68: 48cb4391  add	x8, x26, #0xf2, lsl #12
0xfffffff0087f1f6c: 1b111f91  add	x27, x8, #0x7c4
0xfffffff0087f1f70: 68021acb  sub	x8, x19, x26
0xfffffff0087f1f74: 086105d1  sub	x8, x8, #0x158
0xfffffff0087f1f78: 08fd4393  asr	x8, x8, #3
0xfffffff0087f1f7c: 295f85d2  mov	x9, #0x2af9
0xfffffff0087f1f80: 4945b1f2  movk	x9, #0x8a2a, lsl #16
0xfffffff0087f1f84: e9f4cef2  movk	x9, #0x77a7, lsl #32
0xfffffff0087f1f88: e968e3f2  movk	x9, #0x1b47, lsl #48
0xfffffff0087f1f8c: 1c7d099b  mul	x28, x8, x9
0xfffffff0087f1f90: 080a8052  mov	w8, #0x50
0xfffffff0087f1f94: 020308aa  orr	x2, x24, x8
0xfffffff0087f1f98: e00317aa  mov	x0, x23
0xfffffff0087f1f9c: 01008052  mov	w1, #0
0xfffffff0087f1fa0: 086bd597  bl	#0xfffffff007d4cbc0
0xfffffff0087f1fa4: ff060079  strh	wzr, [x23, #2]
