; Candidate 6381
; ADRP+ADD at VM 0xfffffff008828598 (fileoff 0x1824598): page=0x1fe9c1000 add_imm=0xe80

0xfffffff008828518: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00882851c: 301ac1da  autda	x16, x17
0xfffffff008828520: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff008828524: e90310aa  mov	x9, x16
0xfffffff008828528: 21008052  mov	w1, #1
0xfffffff00882852c: f10309aa  mov	x17, x9
0xfffffff008828530: 5186f3f2  movk	x17, #0x9c32, lsl #48
0xfffffff008828534: 11093fd7  blraa	x8, x17
0xfffffff008828538: e00313aa  mov	x0, x19
0xfffffff00882853c: e10314aa  mov	x1, x20
0xfffffff008828540: 73fdff97  bl	#0xfffffff008827b0c
0xfffffff008828544: f50300aa  mov	x21, x0
0xfffffff008828548: 1d000014  b	#0xfffffff0088285bc
0xfffffff00882854c: 182f0294  bl	#0xfffffff0088b41ac
0xfffffff008828550: f50300aa  mov	x21, x0
0xfffffff008828554: 80008052  mov	w0, #4
0xfffffff008828558: be4c0194  bl	#0xfffffff00887b850
0xfffffff00882855c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008828560: 693e46b9  ldr	w9, [x19, #0x63c]
0xfffffff008828564: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff008828568: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff00882856c: 08b52091  add	x8, x8, #0x82d
0xfffffff008828570: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008828574: c87e8052  mov	w8, #0x3f6
0xfffffff008828578: c94fffb0  adrp	x9, #0xfffffff007221000
0xfffffff00882857c: 293d2391  add	x9, x9, #0x8cf
0xfffffff008828580: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008828584: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828588: 08653291  add	x8, x8, #0xc99
0xfffffff00882858c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008828590: e80a8052  mov	w8, #0x57
0xfffffff008828594: f52300a9  stp	x21, x8, [sp]
0xfffffff008828598: 004effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882859c: 00003a91  add	x0, x0, #0xe80
0xfffffff0088285a0: 018fff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088285a4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088285a8: 0351fff0  adrp	x3, #0xfffffff00724b000
0xfffffff0088285ac: 63c02291  add	x3, x3, #0x8b0
0xfffffff0088285b0: 02008052  mov	w2, #0
0xfffffff0088285b4: df2aec97  bl	#0xfffffff008333130
0xfffffff0088285b8: 557e8012  mov	w21, #-0x3f3
0xfffffff0088285bc: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff0088285c0: 5f10d697  bl	#0xfffffff007dac73c
0xfffffff0088285c4: e00a8052  mov	w0, #0x57
0xfffffff0088285c8: e1008052  mov	w1, #7
0xfffffff0088285cc: 814c0194  bl	#0xfffffff00887b7d0
0xfffffff0088285d0: 00060034  cbz	w0, #0xfffffff008828690
0xfffffff0088285d4: e00a8052  mov	w0, #0x57
0xfffffff0088285d8: 904c0194  bl	#0xfffffff00887b818
0xfffffff0088285dc: f70300aa  mov	x23, x0
0xfffffff0088285e0: f32e0294  bl	#0xfffffff0088b41ac
0xfffffff0088285e4: f60300aa  mov	x22, x0
0xfffffff0088285e8: e0008052  mov	w0, #7
0xfffffff0088285ec: 994c0194  bl	#0xfffffff00887b850
0xfffffff0088285f0: 17020034  cbz	w23, #0xfffffff008828630
0xfffffff0088285f4: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088285f8: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088285fc: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008828600: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008828604: 093d2391  add	x9, x8, #0x8cf
0xfffffff008828608: c84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff00882860c: 08653291  add	x8, x8, #0xc99
0xfffffff008828610: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008828614: e00b00f9  str	x0, [sp, #0x10]
