; Candidate 3907
; ADRP+ADD at VM 0xfffffff008771ffc (fileoff 0x176dffc): page=0x1fe9c0000 add_imm=0xd90

0xfffffff008771f7c: 4a050011  add	w10, w10, #1
0xfffffff008771f80: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff008771f84: 4b1d0011  add	w11, w10, #7
0xfffffff008771f88: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff008771f8c: 3f050071  cmp	w9, #1
0xfffffff008771f90: 49018b1a  csel	w9, w10, w11, eq
0xfffffff008771f94: 3f210071  cmp	w9, #8
0xfffffff008771f98: 88020054  b.hi	#0xfffffff008771fe8
0xfffffff008771f9c: e80300aa  mov	x8, x0
0xfffffff008771fa0: f00309aa  mov	x16, x9
0xfffffff008771fa4: 1f2200f1  cmp	x16, #8
0xfffffff008771fa8: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008771fac: 110000b0  adrp	x17, #0xfffffff008772000
0xfffffff008771fb0: 31f20391  add	x17, x17, #0xfc
0xfffffff008771fb4: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008771fb8: 11000010  adr	x17, #0xfffffff008771fb8
0xfffffff008771fbc: 3002108b  add	x16, x17, x16
0xfffffff008771fc0: 00021fd6  br	x16
0xfffffff008771fc4: 9f2403d5  bti	j
0xfffffff008771fc8: 00008052  mov	w0, #0
0xfffffff008771fcc: 29fc0011  add	w9, w1, #0x3f
0xfffffff008771fd0: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff008771fd4: 09f12eb9  str	w9, [x8, #0x2ef0]
0xfffffff008771fd8: 29781f53  lsl	w9, w1, #1
0xfffffff008771fdc: 41000014  b	#0xfffffff0087720e0
0xfffffff008771fe0: 00008052  mov	w0, #0
0xfffffff008771fe4: 43000014  b	#0xfffffff0087720f0
0xfffffff008771fe8: 9f2403d5  bti	j
0xfffffff008771fec: 28210011  add	w8, w9, #8
0xfffffff008771ff0: e94effd0  adrp	x9, #0xfffffff00714f000
0xfffffff008771ff4: 29351b91  add	x9, x9, #0x6cd
0xfffffff008771ff8: e92300a9  stp	x9, x8, [sp]
0xfffffff008771ffc: 004eff90  adrp	x0, #0xfffffff007131000
0xfffffff008772000: 00403691  add	x0, x0, #0xd90
0xfffffff008772004: 4194fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008772008: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877200c: 834effb0  adrp	x3, #0xfffffff007143000
0xfffffff008772010: 63443b91  add	x3, x3, #0xed1
0xfffffff008772014: 02008052  mov	w2, #0
0xfffffff008772018: 4604ef97  bl	#0xfffffff008333130
0xfffffff00877201c: 00008012  mov	w0, #-1
0xfffffff008772020: 34000014  b	#0xfffffff0087720f0
0xfffffff008772024: 9f2403d5  bti	j
0xfffffff008772028: 00008052  mov	w0, #0
0xfffffff00877202c: 29080011  add	w9, w1, #2
0xfffffff008772030: 6a559552  mov	w10, #0xaaab
0xfffffff008772034: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff008772038: 297daa9b  umull	x9, w9, w10
0xfffffff00877203c: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008772040: 29791f53  lsl	w9, w9, #1
0xfffffff008772044: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff008772048: 29fd0011  add	w9, w9, #0x3f
0xfffffff00877204c: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff008772050: 09f12eb9  str	w9, [x8, #0x2ef0]
0xfffffff008772054: 29781f53  lsl	w9, w1, #1
0xfffffff008772058: 2909c41a  udiv	w9, w9, w4
0xfffffff00877205c: 29150011  add	w9, w9, #5
0xfffffff008772060: 297daa9b  umull	x9, w9, w10
0xfffffff008772064: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008772068: 29791f53  lsl	w9, w9, #1
0xfffffff00877206c: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff008772070: 1d000014  b	#0xfffffff0087720e4
0xfffffff008772074: 9f2403d5  bti	j
0xfffffff008772078: 00008052  mov	w0, #0
