; Candidate 8572
; ADRP+ADD at VM 0xfffffff0088b2830 (fileoff 0x18ae830): page=0x1fe937000 add_imm=0xe80

0xfffffff0088b27b0: 009c3391  add	x0, x0, #0xce7
0xfffffff0088b27b4: 2b13d497  bl	#0xfffffff007db7460
0xfffffff0088b27b8: 26000014  b	#0xfffffff0088b2850
0xfffffff0088b27bc: 7c060094  bl	#0xfffffff0088b41ac
0xfffffff0088b27c0: f70300aa  mov	x23, x0
0xfffffff0088b27c4: e00316aa  mov	x0, x22
0xfffffff0088b27c8: 2224ff97  bl	#0xfffffff00887b850
0xfffffff0088b27cc: 684e41b9  ldr	w8, [x19, #0x14c]
0xfffffff0088b27d0: 695241b9  ldr	w9, [x19, #0x150]
0xfffffff0088b27d4: ea030391  add	x10, sp, #0xc0
0xfffffff0088b27d8: e92b03a9  stp	x9, x10, [sp, #0x30]
0xfffffff0088b27dc: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088b27e0: a80302d1  sub	x8, x29, #0x80
0xfffffff0088b27e4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b27e8: e80314aa  mov	x8, x20
0xfffffff0088b27ec: f72300a9  stp	x23, x8, [sp]
0xfffffff0088b27f0: a049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b27f4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b27f8: a18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b27fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b2800: 834dffd0  adrp	x3, #0xfffffff007264000
0xfffffff0088b2804: 63fc3591  add	x3, x3, #0xd7f
0xfffffff0088b2808: 02008052  mov	w2, #0
0xfffffff0088b280c: 4902ea97  bl	#0xfffffff008333130
0xfffffff0088b2810: 10000014  b	#0xfffffff0088b2850
0xfffffff0088b2814: 684e41b9  ldr	w8, [x19, #0x14c]
0xfffffff0088b2818: 695241b9  ldr	w9, [x19, #0x150]
0xfffffff0088b281c: ea030391  add	x10, sp, #0xc0
0xfffffff0088b2820: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff0088b2824: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff0088b2828: a80302d1  sub	x8, x29, #0x80
0xfffffff0088b282c: e80300f9  str	x8, [sp]
0xfffffff0088b2830: a049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b2834: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b2838: a18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b283c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b2840: 834dffd0  adrp	x3, #0xfffffff007264000
0xfffffff0088b2844: 63703591  add	x3, x3, #0xd5c
0xfffffff0088b2848: 02008052  mov	w2, #0
0xfffffff0088b284c: 3902ea97  bl	#0xfffffff008333130
0xfffffff0088b2850: fabf00b9  str	w26, [sp, #0xbc]
0xfffffff0088b2854: 1b208052  mov	w27, #0x100
0xfffffff0088b2858: fc030391  add	x28, sp, #0xc0
0xfffffff0088b285c: e0030391  add	x0, sp, #0xc0
0xfffffff0088b2860: 01008052  mov	w1, #0
0xfffffff0088b2864: 02208052  mov	w2, #0x100
0xfffffff0088b2868: d668d297  bl	#0xfffffff007d4cbc0
0xfffffff0088b286c: 77420991  add	x23, x19, #0x250
0xfffffff0088b2870: e00317aa  mov	x0, x23
0xfffffff0088b2874: c5f5fd97  bl	#0xfffffff00882ff88
0xfffffff0088b2878: f80300aa  mov	x24, x0
0xfffffff0088b287c: e00317aa  mov	x0, x23
0xfffffff0088b2880: d7f5fd97  bl	#0xfffffff00882ffdc
0xfffffff0088b2884: 1f0300eb  cmp	x24, x0
0xfffffff0088b2888: c0030054  b.eq	#0xfffffff0088b2900
0xfffffff0088b288c: 15008052  mov	w21, #0
0xfffffff0088b2890: 194cffd0  adrp	x25, #0xfffffff007234000
0xfffffff0088b2894: 39ff3491  add	x25, x25, #0xd3f
0xfffffff0088b2898: 1a4cffd0  adrp	x26, #0xfffffff007234000
0xfffffff0088b289c: 5a0b3591  add	x26, x26, #0xd42
0xfffffff0088b28a0: 80c3358b  add	x0, x28, w21, sxtw
0xfffffff0088b28a4: 6103154b  sub	w1, w27, w21
0xfffffff0088b28a8: e20319aa  mov	x2, x25
0xfffffff0088b28ac: 0253ff97  bl	#0xfffffff0088874b4
