; Candidate 13498
; ADRP+ADD at VM 0xfffffff00933edf8 (fileoff 0x233adf8): page=0x1fe87f000 add_imm=0xdd8

0xfffffff00933ed78: 10e22f91  add	x16, x16, #0xbf8
0xfffffff00933ed7c: 10420091  add	x16, x16, #0x10
0xfffffff00933ed80: f10300aa  mov	x17, x0
0xfffffff00933ed84: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00933ed88: 300ac1da  pacda	x16, x17
0xfffffff00933ed8c: 100000f9  str	x16, [x0]
0xfffffff00933ed90: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00933ed94: ff0f5fd6  retab	
0xfffffff00933ed98: 5f2403d5  bti	c
0xfffffff00933ed9c: 58c8be17  b	#0xfffffff0082f0efc
0xfffffff00933eda0: 5f2403d5  bti	c
0xfffffff00933eda4: 56c8be17  b	#0xfffffff0082f0efc
0xfffffff00933eda8: 7f2303d5  pacibsp	
0xfffffff00933edac: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00933edb0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00933edb4: fd430091  add	x29, sp, #0x10
0xfffffff00933edb8: f30300aa  mov	x19, x0
0xfffffff00933edbc: 50c8be97  bl	#0xfffffff0082f0efc
0xfffffff00933edc0: e043fff0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933edc4: 00603791  add	x0, x0, #0xdd8
0xfffffff00933edc8: e10313aa  mov	x1, x19
0xfffffff00933edcc: 02058052  mov	w2, #0x28
0xfffffff00933edd0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00933edd4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00933edd8: ff2303d5  autibsp	
0xfffffff00933eddc: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00933ede0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00933ede8
0xfffffff00933ede4: 208e38d4  brk	#0xc471
0xfffffff00933ede8: 2da2be17  b	#0xfffffff0082e769c
0xfffffff00933edec: 5f2403d5  bti	c
0xfffffff00933edf0: e20301aa  mov	x2, x1
0xfffffff00933edf4: e10300aa  mov	x1, x0
0xfffffff00933edf8: e043fff0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933edfc: 00603791  add	x0, x0, #0xdd8
0xfffffff00933ee00: 27a2be17  b	#0xfffffff0082e769c
0xfffffff00933ee04: 5f2403d5  bti	c
0xfffffff00933ee08: 008200b0  adrp	x0, #0xfffffff00a37f000
0xfffffff00933ee0c: 00e01d91  add	x0, x0, #0x778
0xfffffff00933ee10: c0035fd6  ret	
0xfffffff00933ee14: 7f2303d5  pacibsp	
0xfffffff00933ee18: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00933ee1c: fd030091  mov	x29, sp
0xfffffff00933ee20: c10dffd0  adrp	x1, #0xfffffff0074f8000
0xfffffff00933ee24: 21700b91  add	x1, x1, #0x2dc
0xfffffff00933ee28: 028200b0  adrp	x2, #0xfffffff00a37f000
0xfffffff00933ee2c: 42801991  add	x2, x2, #0x660
0xfffffff00933ee30: 03058052  mov	w3, #0x28
0xfffffff00933ee34: 4193be97  bl	#0xfffffff0082e3b38
0xfffffff00933ee38: d043ffb0  adrp	x16, #0xfffffff007bb7000
0xfffffff00933ee3c: 10a23591  add	x16, x16, #0xd68
0xfffffff00933ee40: 10420091  add	x16, x16, #0x10
0xfffffff00933ee44: f10300aa  mov	x17, x0
0xfffffff00933ee48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00933ee4c: 300ac1da  pacda	x16, x17
0xfffffff00933ee50: 100000f9  str	x16, [x0]
0xfffffff00933ee54: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00933ee58: ff0f5fd6  retab	
0xfffffff00933ee5c: 7f2303d5  pacibsp	
0xfffffff00933ee60: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00933ee64: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00933ee68: fd430091  add	x29, sp, #0x10
0xfffffff00933ee6c: e043fff0  adrp	x0, #0xfffffff007bbd000
0xfffffff00933ee70: 00603791  add	x0, x0, #0xdd8
0xfffffff00933ee74: 01058052  mov	w1, #0x28
