; Candidate 2783
; ADRP+ADD at VM 0xfffffff0086e7da4 (fileoff 0x16e3da4): page=0x1fea4a000 add_imm=0xd90

0xfffffff0086e7d24: 6c050091  add	x12, x11, #1
0xfffffff0086e7d28: 6c0a00f9  str	x12, [x19, #0x10]
0xfffffff0086e7d2c: 6b014039  ldrb	w11, [x11]
0xfffffff0086e7d30: b5020b2a  orr	w21, w21, w11
0xfffffff0086e7d34: eb030caa  mov	x11, x12
0xfffffff0086e7d38: 29050071  subs	w9, w9, #1
0xfffffff0086e7d3c: a1feff54  b.ne	#0xfffffff0086e7d10
0xfffffff0086e7d40: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086e7d44: 3f01146a  tst	w9, w20
0xfffffff0086e7d48: 60010054  b.eq	#0xfffffff0086e7d74
0xfffffff0086e7d4c: f52300a9  stp	x21, x8, [sp]
0xfffffff0086e7d50: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e7d54: 00403691  add	x0, x0, #0xd90
0xfffffff0086e7d58: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e7d5c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7d60: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e7d64: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e7d68: 02008052  mov	w2, #0
0xfffffff0086e7d6c: f12cf197  bl	#0xfffffff008333130
0xfffffff0086e7d70: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086e7d74: a97a1f53  lsl	w9, w21, #1
0xfffffff0086e7d78: 08050051  sub	w8, w8, #1
0xfffffff0086e7d7c: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086e7d80: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086e7d84: 3f01146a  tst	w9, w20
0xfffffff0086e7d88: e0010054  b.eq	#0xfffffff0086e7dc4
0xfffffff0086e7d8c: a97e1f53  lsr	w9, w21, #0x1f
0xfffffff0086e7d90: 4a53ffb0  adrp	x10, #0xfffffff007150000
0xfffffff0086e7d94: 4a4d0e91  add	x10, x10, #0x393
0xfffffff0086e7d98: 2b008052  mov	w11, #1
0xfffffff0086e7d9c: eb2b00a9  stp	x11, x10, [sp]
0xfffffff0086e7da0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0086e7da4: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e7da8: 00403691  add	x0, x0, #0xd90
0xfffffff0086e7dac: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e7db0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7db4: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e7db8: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e7dbc: 02008052  mov	w2, #0
0xfffffff0086e7dc0: dc2cf197  bl	#0xfffffff008333130
0xfffffff0086e7dc4: 9515f836  tbz	w21, #0x1f, #0xfffffff0086e8074
0xfffffff0086e7dc8: c8d98352  mov	w8, #0x1ece
0xfffffff0086e7dcc: 686a6838  ldrb	w8, [x19, x8]
0xfffffff0086e7dd0: 28170036  tbz	w8, #0, #0xfffffff0086e80b4
0xfffffff0086e7dd4: 4853ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086e7dd8: 08850e91  add	x8, x8, #0x3a1
0xfffffff0086e7ddc: e80300f9  str	x8, [sp]
0xfffffff0086e7de0: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e7de4: 00403691  add	x0, x0, #0xd90
0xfffffff0086e7de8: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e7dec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7df0: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e7df4: 63143091  add	x3, x3, #0xc05
0xfffffff0086e7df8: 02008052  mov	w2, #0
0xfffffff0086e7dfc: cd2cf197  bl	#0xfffffff008333130
0xfffffff0086e7e00: ad000014  b	#0xfffffff0086e80b4
0xfffffff0086e7e04: 15008052  mov	w21, #0
0xfffffff0086e7e08: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e7e0c: 89008052  mov	w9, #4
0xfffffff0086e7e10: 6b2a41a9  ldp	x11, x10, [x19, #0x10]
0xfffffff0086e7e14: b55e1853  lsl	w21, w21, #8
0xfffffff0086e7e18: 7f010aeb  cmp	x11, x10
0xfffffff0086e7e1c: 02010054  b.hs	#0xfffffff0086e7e3c
0xfffffff0086e7e20: 08210011  add	w8, w8, #8
