; Candidate 555
; ADRP+ADD at VM 0xfffffff007f80740 (fileoff 0xf7c740): page=0x1ff0e3000 add_imm=0xd04

0xfffffff007f806c0: f40300aa  mov	x20, x0
0xfffffff007f806c4: e20704a9  stp	x2, x1, [sp, #0x40]
0xfffffff007f806c8: e10308aa  mov	x1, x8
0xfffffff007f806cc: 22008052  mov	w2, #1
0xfffffff007f806d0: e5130729  stp	w5, w4, [sp, #0x38]
0xfffffff007f806d4: e31b00f9  str	x3, [sp, #0x30]
0xfffffff007f806d8: e81300f9  str	x8, [sp, #0x20]
0xfffffff007f806dc: 07adf897  bl	#0xfffffff007dabaf8
0xfffffff007f806e0: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff007f806e4: e00314aa  mov	x0, x20
0xfffffff007f806e8: f42f40b9  ldr	w20, [sp, #0x2c]
0xfffffff007f806ec: e5134729  ldp	w5, w4, [sp, #0x38]
0xfffffff007f806f0: e20744a9  ldp	x2, x1, [sp, #0x40]
0xfffffff007f806f4: e31b40f9  ldr	x3, [sp, #0x30]
0xfffffff007f806f8: 8effff17  b	#0xfffffff007f80530
0xfffffff007f806fc: 0087fff0  adrp	x0, #0xfffffff007063000
0xfffffff007f80700: 00b83291  add	x0, x0, #0xcae
0xfffffff007f80704: 0187ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f80708: 21300991  add	x1, x1, #0x24c
0xfffffff007f8070c: 42f18152  mov	w2, #0xf8a
0xfffffff007f80710: 417c1494  bl	#0xfffffff00849f814
0xfffffff007f80714: e20704a9  stp	x2, x1, [sp, #0x40]
0xfffffff007f80718: e10308aa  mov	x1, x8
0xfffffff007f8071c: e20309aa  mov	x2, x9
0xfffffff007f80720: e5130729  stp	w5, w4, [sp, #0x38]
0xfffffff007f80724: e31b00f9  str	x3, [sp, #0x30]
0xfffffff007f80728: 0fb0f897  bl	#0xfffffff007dac764
0xfffffff007f8072c: e5134729  ldp	w5, w4, [sp, #0x38]
0xfffffff007f80730: e20744a9  ldp	x2, x1, [sp, #0x40]
0xfffffff007f80734: e31b40f9  ldr	x3, [sp, #0x30]
0xfffffff007f80738: 69de40f9  ldr	x9, [x19, #0x1b8]
0xfffffff007f8073c: e9f1ffb5  cbnz	x9, #0xfffffff007f80578
0xfffffff007f80740: 0087fff0  adrp	x0, #0xfffffff007063000
0xfffffff007f80744: 00103491  add	x0, x0, #0xd04
0xfffffff007f80748: 0187ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f8074c: 21300991  add	x1, x1, #0x24c
0xfffffff007f80750: 62f38152  mov	w2, #0xf9b
0xfffffff007f80754: 307c1494  bl	#0xfffffff00849f814
0xfffffff007f80758: f30301aa  mov	x19, x1
0xfffffff007f8075c: e10308aa  mov	x1, x8
0xfffffff007f80760: 01b0f897  bl	#0xfffffff007dac764
0xfffffff007f80764: e10313aa  mov	x1, x19
0xfffffff007f80768: a1f5ffb5  cbnz	x1, #0xfffffff007f8061c
0xfffffff007f8076c: aeffff17  b	#0xfffffff007f80624
0xfffffff007f80770: 5f2403d5  bti	c
0xfffffff007f80774: 24008052  mov	w4, #1
0xfffffff007f80778: 05008052  mov	w5, #0
0xfffffff007f8077c: 45ffff17  b	#0xfffffff007f80490
0xfffffff007f80780: 5f2403d5  bti	c
0xfffffff007f80784: e60305aa  mov	x6, x5
0xfffffff007f80788: e50304aa  mov	x5, x4
0xfffffff007f8078c: e40303aa  mov	x4, x3
0xfffffff007f80790: e30302aa  mov	x3, x2
0xfffffff007f80794: e20301aa  mov	x2, x1
0xfffffff007f80798: e10300aa  mov	x1, x0
0xfffffff007f8079c: 003442f9  ldr	x0, [x0, #0x468]
0xfffffff007f807a0: 800000b4  cbz	x0, #0xfffffff007f807b0
0xfffffff007f807a4: 103c40f9  ldr	x16, [x0, #0x78]
0xfffffff007f807a8: 31b88ed2  mov	x17, #0x75c1
0xfffffff007f807ac: 110a1fd7  braa	x16, x17
0xfffffff007f807b0: 681101b0  adrp	x8, #0xfffffff00a1ad000
0xfffffff007f807b4: 007547f9  ldr	x0, [x8, #0xee8]
0xfffffff007f807b8: 103c40f9  ldr	x16, [x0, #0x78]
0xfffffff007f807bc: 31b88ed2  mov	x17, #0x75c1
