; Candidate 4759
; ADRP+ADD at VM 0xfffffff0087c4704 (fileoff 0x17c0704): page=0x1fe96d000 add_imm=0xd90

0xfffffff0087c4684: 61000054  b.ne	#0xfffffff0087c4690
0xfffffff0087c4688: 04000014  b	#0xfffffff0087c4698
0xfffffff0087c468c: 088141b9  ldr	w8, [x8, #0x180]
0xfffffff0087c4690: 497d02b9  str	w9, [x10, #0x27c]
0xfffffff0087c4694: 488102b9  str	w8, [x10, #0x280]
0xfffffff0087c4698: 418502b9  str	w1, [x10, #0x284]
0xfffffff0087c469c: 428902b9  str	w2, [x10, #0x288]
0xfffffff0087c46a0: c0035fd6  ret	
0xfffffff0087c46a4: 7f2303d5  pacibsp	
0xfffffff0087c46a8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0087c46ac: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0087c46b0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0087c46b4: fd830091  add	x29, sp, #0x20
0xfffffff0087c46b8: f30300aa  mov	x19, x0
0xfffffff0087c46bc: 614cff90  adrp	x1, #0xfffffff007150000
0xfffffff0087c46c0: 21140f91  add	x1, x1, #0x3c5
0xfffffff0087c46c4: 22008052  mov	w2, #1
0xfffffff0087c46c8: fedaff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c46cc: e0020034  cbz	w0, #0xfffffff0087c4728
0xfffffff0087c46d0: c14cffd0  adrp	x1, #0xfffffff00715e000
0xfffffff0087c46d4: 21e42e91  add	x1, x1, #0xbb9
0xfffffff0087c46d8: e00313aa  mov	x0, x19
0xfffffff0087c46dc: 02028052  mov	w2, #0x10
0xfffffff0087c46e0: f8daff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c46e4: 08040011  add	w8, w0, #1
0xfffffff0087c46e8: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff0087c46ec: 286501b9  str	w8, [x9, #0x164]
0xfffffff0087c46f0: 1f404071  cmp	w0, #0x10, lsl #12
0xfffffff0087c46f4: 43020054  b.lo	#0xfffffff0087c473c
0xfffffff0087c46f8: c94cffd0  adrp	x9, #0xfffffff00715e000
0xfffffff0087c46fc: 29392f91  add	x9, x9, #0xbce
0xfffffff0087c4700: e92300a9  stp	x9, x8, [sp]
0xfffffff0087c4704: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4708: 00403691  add	x0, x0, #0xd90
0xfffffff0087c470c: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c4710: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c4714: 434cffb0  adrp	x3, #0xfffffff00714d000
0xfffffff0087c4718: 63141591  add	x3, x3, #0x545
0xfffffff0087c471c: 02008052  mov	w2, #0
0xfffffff0087c4720: 84baed97  bl	#0xfffffff008333130
0xfffffff0087c4724: 1b000014  b	#0xfffffff0087c4790
0xfffffff0087c4728: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087c472c: 08910591  add	x8, x8, #0x164
0xfffffff0087c4730: 000540fd  ldr	d0, [x8, #8]
0xfffffff0087c4734: 000100fd  str	d0, [x8]
0xfffffff0087c4738: 16000014  b	#0xfffffff0087c4790
0xfffffff0087c473c: c14cffd0  adrp	x1, #0xfffffff00715e000
0xfffffff0087c4740: 21682f91  add	x1, x1, #0xbda
0xfffffff0087c4744: e00313aa  mov	x0, x19
0xfffffff0087c4748: 02028052  mov	w2, #0x10
0xfffffff0087c474c: dddaff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c4750: 08040011  add	w8, w0, #1
0xfffffff0087c4754: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff0087c4758: 286901b9  str	w8, [x9, #0x168]
0xfffffff0087c475c: 1f404071  cmp	w0, #0x10, lsl #12
0xfffffff0087c4760: 83010054  b.lo	#0xfffffff0087c4790
0xfffffff0087c4764: c94cffd0  adrp	x9, #0xfffffff00715e000
0xfffffff0087c4768: 29392f91  add	x9, x9, #0xbce
0xfffffff0087c476c: e92300a9  stp	x9, x8, [sp]
0xfffffff0087c4770: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4774: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4778: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c477c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c4780: 434cffb0  adrp	x3, #0xfffffff00714d000
