; Candidate 536
; ADRP+ADD at VM 0xfffffff007f784fc (fileoff 0xf744fc): page=0x1ff0eb000 add_imm=0xdc3

0xfffffff007f7847c: bf731d38  sturb	wzr, [x29, #-0x29]
0xfffffff007f78480: 88aa41b9  ldr	w8, [x20, #0x1a8]
0xfffffff007f78484: 8976c179  ldrsh	w9, [x20, #0xba]
0xfffffff007f78488: a8273829  stp	w8, w9, [x29, #-0x40]
0xfffffff007f7848c: 08038052  mov	w8, #0x18
0xfffffff007f78490: e81300b9  str	w8, [sp, #0x10]
0xfffffff007f78494: a80301d1  sub	x8, x29, #0x40
0xfffffff007f78498: e80f00f9  str	x8, [sp, #0x18]
0xfffffff007f7849c: ff2300b9  str	wzr, [sp, #0x20]
0xfffffff007f784a0: 88a21c91  add	x8, x20, #0x728
0xfffffff007f784a4: 29008052  mov	w9, #1
0xfffffff007f784a8: 080129b8  ldadd	w9, w8, [x8]
0xfffffff007f784ac: 00008052  mov	w0, #0
0xfffffff007f784b0: d7ff0194  bl	#0xfffffff007ff840c
0xfffffff007f784b4: e0030091  mov	x0, sp
0xfffffff007f784b8: 01008052  mov	w1, #0
0xfffffff007f784bc: 9ea80894  bl	#0xfffffff0081a2734
0xfffffff007f784c0: c0cffff0  adrp	x0, #0xfffffff007973000
0xfffffff007f784c4: 00c03191  add	x0, x0, #0xc70
0xfffffff007f784c8: e10313aa  mov	x1, x19
0xfffffff007f784cc: d045fa97  bl	#0xfffffff007e09c0c
0xfffffff007f784d0: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff007f784d4: 691201f0  adrp	x9, #0xfffffff00a1c7000
0xfffffff007f784d8: 29010091  add	x9, x9, #0
0xfffffff007f784dc: 290140f9  ldr	x9, [x9]
0xfffffff007f784e0: 3f0108eb  cmp	x9, x8
0xfffffff007f784e4: 81010054  b.ne	#0xfffffff007f78514
0xfffffff007f784e8: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff007f784ec: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff007f784f0: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff007f784f4: ff430391  add	sp, sp, #0xd0
0xfffffff007f784f8: ff0f5fd6  retab	
0xfffffff007f784fc: 4087fff0  adrp	x0, #0xfffffff007063000
0xfffffff007f78500: 000c3791  add	x0, x0, #0xdc3
0xfffffff007f78504: 4187ffd0  adrp	x1, #0xfffffff007062000
0xfffffff007f78508: 21300991  add	x1, x1, #0x24c
0xfffffff007f7850c: 82f38052  mov	w2, #0x79c
0xfffffff007f78510: c19c1494  bl	#0xfffffff00849f814
0xfffffff007f78514: 4e96f797  bl	#0xfffffff007d5de4c
0xfffffff007f78518: 7f2303d5  pacibsp	
0xfffffff007f7851c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff007f78520: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007f78524: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007f78528: fd830091  add	x29, sp, #0x20
0xfffffff007f7852c: f50300aa  mov	x21, x0
0xfffffff007f78530: 080080d2  mov	x8, #0
0xfffffff007f78534: 13a00191  add	x19, x0, #0x68
0xfffffff007f78538: 94d038d5  mrs	x20, tpidr_el1
0xfffffff007f7853c: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff007f78540: 8a4a41b9  ldr	w10, [x20, #0x148]
0xfffffff007f78544: 4a050011  add	w10, w10, #1
0xfffffff007f78548: 8a4a01b9  str	w10, [x20, #0x148]
0xfffffff007f7854c: 290564b2  orr	x9, x9, #0x30000000
0xfffffff007f78550: 0ac00191  add	x10, x0, #0x70
0xfffffff007f78554: 497de8c8  casa	x8, x9, [x10]
0xfffffff007f78558: 1f0100f1  cmp	x8, #0
0xfffffff007f7855c: 41030054  b.ne	#0xfffffff007f785c4
0xfffffff007f78560: e00315aa  mov	x0, x21
0xfffffff007f78564: 09cc47b8  ldr	w9, [x0, #0x7c]!
0xfffffff007f78568: 89030034  cbz	w9, #0xfffffff007f785d8
0xfffffff007f7856c: a87a40b9  ldr	w8, [x21, #0x78]
0xfffffff007f78570: 1f051f72  tst	w8, #6
0xfffffff007f78574: e0030054  b.eq	#0xfffffff007f785f0
0xfffffff007f78578: 29050071  subs	w9, w9, #1
