; Candidate 15141
; ADRP+ADD at VM 0xfffffff009ac10b8 (fileoff 0x2abd0b8): page=0x1fe204000 add_imm=0xd58

0xfffffff009ac1038: fa1b40f9  ldr	x26, [sp, #0x30]
0xfffffff009ac103c: 04000014  b	#0xfffffff009ac104c
0xfffffff009ac1040: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff009ac1044: 5e5aa297  bl	#0xfffffff0083579bc
0xfffffff009ac1048: 160080d2  mov	x22, #0
0xfffffff009ac104c: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff009ac1050: 285aa297  bl	#0xfffffff0083578f0
0xfffffff009ac1054: da0000b4  cbz	x26, #0xfffffff009ac106c
0xfffffff009ac1058: 2010ff90  adrp	x0, #0xfffffff007cc5000
0xfffffff009ac105c: 00203991  add	x0, x0, #0xe48
0xfffffff009ac1060: e1031aaa  mov	x1, x26
0xfffffff009ac1064: e20316aa  mov	x2, x22
0xfffffff009ac1068: 6057a297  bl	#0xfffffff008356de8
0xfffffff009ac106c: 141f8052  mov	w20, #0xf8
0xfffffff009ac1070: f5430191  add	x21, sp, #0x50
0xfffffff009ac1074: a06a74f8  ldr	x0, [x21, x20]
0xfffffff009ac1078: 400100b4  cbz	x0, #0xfffffff009ac10a0
0xfffffff009ac107c: 100040f9  ldr	x16, [x0]
0xfffffff009ac1080: f10300aa  mov	x17, x0
0xfffffff009ac1084: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ac1088: 301ac1da  autda	x16, x17
0xfffffff009ac108c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009ac1090: e90310aa  mov	x9, x16
0xfffffff009ac1094: f10309aa  mov	x17, x9
0xfffffff009ac1098: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009ac109c: 11093fd7  blraa	x8, x17
0xfffffff009ac10a0: bf6a34f8  str	xzr, [x21, x20]
0xfffffff009ac10a4: 942200d1  sub	x20, x20, #8
0xfffffff009ac10a8: 9f2200b1  cmn	x20, #8
0xfffffff009ac10ac: 41feff54  b.ne	#0xfffffff009ac1074
0xfffffff009ac10b0: 09010014  b	#0xfffffff009ac14d4
0xfffffff009ac10b4: 15050011  add	w21, w8, #1
0xfffffff009ac10b8: 2010ff90  adrp	x0, #0xfffffff007cc5000
0xfffffff009ac10bc: 00603591  add	x0, x0, #0xd58
0xfffffff009ac10c0: 4457a297  bl	#0xfffffff008356dd0
0xfffffff009ac10c4: f80300aa  mov	x24, x0
0xfffffff009ac10c8: 792a40f9  ldr	x25, [x19, #0x50]
0xfffffff009ac10cc: fb0300aa  mov	x27, x0
0xfffffff009ac10d0: 790600b4  cbz	x25, #0xfffffff009ac119c
0xfffffff009ac10d4: fbdb01a9  stp	x27, x22, [sp, #0x18]
0xfffffff009ac10d8: f73300b9  str	w23, [sp, #0x30]
0xfffffff009ac10dc: 084f358b  add	x8, x24, w21, uxtw #3
0xfffffff009ac10e0: 160118eb  subs	x22, x8, x24
0xfffffff009ac10e4: e8279f1a  cset	w8, lo
0xfffffff009ac10e8: df7e60f2  tst	x22, #-0x100000000
0xfffffff009ac10ec: e9079f1a  cset	w9, ne
0xfffffff009ac10f0: 0801092a  orr	w8, w8, w9
0xfffffff009ac10f4: e81700b9  str	w8, [sp, #0x14]
0xfffffff009ac10f8: 28210037  tbnz	w8, #0, #0xfffffff009ac151c
0xfffffff009ac10fc: 170080d2  mov	x23, #0
0xfffffff009ac1100: 150080d2  mov	x21, #0
0xfffffff009ac1104: 1c0080d2  mov	x28, #0
0xfffffff009ac1108: 1a00a252  mov	w26, #0x10000000
0xfffffff009ac110c: 1b01c0d2  mov	x27, #0x800000000
0xfffffff009ac1110: 9f031aeb  cmp	x28, x26
0xfffffff009ac1114: 60130054  b.eq	#0xfffffff009ac1380
0xfffffff009ac1118: f512f8b7  tbnz	x21, #0x3f, #0xfffffff009ac1374
0xfffffff009ac111c: a8fe60d3  lsr	x8, x21, #0x20
0xfffffff009ac1120: 09210011  add	w9, w8, #8
0xfffffff009ac1124: 3f01166b  cmp	w9, w22
0xfffffff009ac1128: 68120054  b.hi	#0xfffffff009ac1374
0xfffffff009ac112c: 000308ab  adds	x0, x24, x8
0xfffffff009ac1130: e9379f1a  cset	w9, hs
0xfffffff009ac1134: 28014093  sbfx	x8, x9, #0, #1
