; Candidate 14466
; ADRP+ADD at VM 0xfffffff009794584 (fileoff 0x2790584): page=0x1fddf9000 add_imm=0xd31

0xfffffff009794504: 00c00891  add	x0, x0, #0x230
0xfffffff009794508: 1441ad97  bl	#0xfffffff0082e4958
0xfffffff00979450c: f40300aa  mov	x20, x0
0xfffffff009794510: e00313aa  mov	x0, x19
0xfffffff009794514: 5251fc97  bl	#0xfffffff0096a8a5c
0xfffffff009794518: f50300aa  mov	x21, x0
0xfffffff00979451c: e00100b5  cbnz	x0, #0xfffffff009794558
0xfffffff009794520: 700240f9  ldr	x16, [x19]
0xfffffff009794524: f10313aa  mov	x17, x19
0xfffffff009794528: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00979452c: 301ac1da  autda	x16, x17
0xfffffff009794530: 113d80d2  mov	x17, #0x1e8
0xfffffff009794534: 1002118b  add	x16, x16, x17
0xfffffff009794538: 080240f9  ldr	x8, [x16]
0xfffffff00979453c: e90310aa  mov	x9, x16
0xfffffff009794540: e00313aa  mov	x0, x19
0xfffffff009794544: 010080d2  mov	x1, #0
0xfffffff009794548: f10309aa  mov	x17, x9
0xfffffff00979454c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009794550: 11093fd7  blraa	x8, x17
0xfffffff009794554: f50300aa  mov	x21, x0
0xfffffff009794558: e00313aa  mov	x0, x19
0xfffffff00979455c: 4051fc97  bl	#0xfffffff0096a8a5c
0xfffffff009794560: c8effeb0  adrp	x8, #0xfffffff00758d000
0xfffffff009794564: 08c53491  add	x8, x8, #0xd31
0xfffffff009794568: c9effeb0  adrp	x9, #0xfffffff00758d000
0xfffffff00979456c: 29c93491  add	x9, x9, #0xd32
0xfffffff009794570: 1f0000f1  cmp	x0, #0
0xfffffff009794574: 3601889a  csel	x22, x9, x8, eq
0xfffffff009794578: e00313aa  mov	x0, x19
0xfffffff00979457c: 3851fc97  bl	#0xfffffff0096a8a5c
0xfffffff009794580: 800000b4  cbz	x0, #0xfffffff009794590
0xfffffff009794584: c0effeb0  adrp	x0, #0xfffffff00758d000
0xfffffff009794588: 00c43491  add	x0, x0, #0xd31
0xfffffff00979458c: 0e000014  b	#0xfffffff0097945c4
0xfffffff009794590: 700240f9  ldr	x16, [x19]
0xfffffff009794594: f10313aa  mov	x17, x19
0xfffffff009794598: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00979459c: 301ac1da  autda	x16, x17
0xfffffff0097945a0: 114380d2  mov	x17, #0x218
0xfffffff0097945a4: 1002118b  add	x16, x16, x17
0xfffffff0097945a8: 080240f9  ldr	x8, [x16]
0xfffffff0097945ac: e90310aa  mov	x9, x16
0xfffffff0097945b0: e00313aa  mov	x0, x19
0xfffffff0097945b4: 010080d2  mov	x1, #0
0xfffffff0097945b8: f10309aa  mov	x17, x9
0xfffffff0097945bc: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff0097945c0: 11093fd7  blraa	x8, x17
0xfffffff0097945c4: f68301a9  stp	x22, x0, [sp, #0x18]
0xfffffff0097945c8: c8effeb0  adrp	x8, #0xfffffff00758d000
0xfffffff0097945cc: 08953a91  add	x8, x8, #0xea5
0xfffffff0097945d0: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff0097945d4: f40300f9  str	x20, [sp]
0xfffffff0097945d8: a0effef0  adrp	x0, #0xfffffff00758b000
0xfffffff0097945dc: 00802191  add	x0, x0, #0x860
0xfffffff0097945e0: 0124ffd0  adrp	x1, #0xfffffff007c16000
0xfffffff0097945e4: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff0097945e8: a3f0fef0  adrp	x3, #0xfffffff0075ab000
0xfffffff0097945ec: 63f41691  add	x3, x3, #0x5bd
0xfffffff0097945f0: 42008052  mov	w2, #2
0xfffffff0097945f4: cf7aae97  bl	#0xfffffff008333130
0xfffffff0097945f8: e00313aa  mov	x0, x19
0xfffffff0097945fc: 90000094  bl	#0xfffffff00979483c
0xfffffff009794600: f40300aa  mov	x20, x0
