; Candidate 16750
; ADRP+ADD at VM 0xfffffff009f43268 (fileoff 0x2f3f268): page=0x1fd91d000 add_imm=0xe0b

0xfffffff009f431e8: a1020054  b.ne	#0xfffffff009f4323c
0xfffffff009f431ec: a82778a9  ldp	x8, x9, [x29, #-0x80]
0xfffffff009f431f0: ea0316aa  mov	x10, x22
0xfffffff009f431f4: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff009f431f8: e80f00f9  str	x8, [sp, #0x18]
0xfffffff009f431fc: e84f40f9  ldr	x8, [sp, #0x98]
0xfffffff009f43200: 15000014  b	#0xfffffff009f43254
0xfffffff009f43204: 686640f9  ldr	x8, [x19, #0xc8]
0xfffffff009f43208: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f4320c: a92b78a9  ldp	x9, x10, [x29, #-0x80]
0xfffffff009f43210: eb0316aa  mov	x11, x22
0xfffffff009f43214: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff009f43218: e90f00f9  str	x9, [sp, #0x18]
0xfffffff009f4321c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f43220: a9808152  mov	w9, #0xc05
0xfffffff009f43224: e8c8feb0  adrp	x8, #0xfffffff007860000
0xfffffff009f43228: 086d3291  add	x8, x8, #0xc9b
0xfffffff009f4322c: e82700a9  stp	x8, x9, [sp]
0xfffffff009f43230: e0c8feb0  adrp	x0, #0xfffffff007860000
0xfffffff009f43234: 00a03c91  add	x0, x0, #0xf28
0xfffffff009f43238: 0e000014  b	#0xfffffff009f43270
0xfffffff009f4323c: 686640f9  ldr	x8, [x19, #0xc8]
0xfffffff009f43240: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f43244: a92b78a9  ldp	x9, x10, [x29, #-0x80]
0xfffffff009f43248: eb0316aa  mov	x11, x22
0xfffffff009f4324c: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff009f43250: e90f00f9  str	x9, [sp, #0x18]
0xfffffff009f43254: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f43258: c9818152  mov	w9, #0xc0e
0xfffffff009f4325c: e8c8feb0  adrp	x8, #0xfffffff007860000
0xfffffff009f43260: 086d3291  add	x8, x8, #0xc9b
0xfffffff009f43264: e82700a9  stp	x8, x9, [sp]
0xfffffff009f43268: e0c8feb0  adrp	x0, #0xfffffff007860000
0xfffffff009f4326c: 002c3891  add	x0, x0, #0xe0b
0xfffffff009f43270: 95f1fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f43274: f44340f9  ldr	x20, [sp, #0x80]
0xfffffff009f43278: c8ffff17  b	#0xfffffff009f43198
0xfffffff009f4327c: 7f2303d5  pacibsp	
0xfffffff009f43280: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff009f43284: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009f43288: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009f4328c: fd830091  add	x29, sp, #0x20
0xfffffff009f43290: f50304aa  mov	x21, x4
0xfffffff009f43294: f30303aa  mov	x19, x3
0xfffffff009f43298: f40301aa  mov	x20, x1
0xfffffff009f4329c: 286040f9  ldr	x8, [x1, #0xc0]
0xfffffff009f432a0: 012140b9  ldr	w1, [x8, #0x20]
0xfffffff009f432a4: e30304aa  mov	x3, x4
0xfffffff009f432a8: 15000094  bl	#0xfffffff009f432fc
0xfffffff009f432ac: f60300aa  mov	x22, x0
0xfffffff009f432b0: c0010035  cbnz	w0, #0xfffffff009f432e8
0xfffffff009f432b4: 80420391  add	x0, x20, #0xd0
0xfffffff009f432b8: 01008052  mov	w1, #0
0xfffffff009f432bc: 02028052  mov	w2, #0x10
0xfffffff009f432c0: 40267897  bl	#0xfffffff007d4cbc0
0xfffffff009f432c4: 9f7600f9  str	xzr, [x20, #0xe8]
0xfffffff009f432c8: 886240f9  ldr	x8, [x20, #0xc0]
0xfffffff009f432cc: 092140b9  ldr	w9, [x8, #0x20]
0xfffffff009f432d0: 2901152a  orr	w9, w9, w21
0xfffffff009f432d4: 092100b9  str	w9, [x8, #0x20]
0xfffffff009f432d8: e00314aa  mov	x0, x20
0xfffffff009f432dc: e10313aa  mov	x1, x19
0xfffffff009f432e0: 020080d2  mov	x2, #0
0xfffffff009f432e4: d2e8ff97  bl	#0xfffffff009f3d62c
