; Candidate 11535
; ADRP+ADD at VM 0xfffffff008f80fec (fileoff 0x1f7cfec): page=0x1fe4a3000 add_imm=0xce8

0xfffffff008f80f6c: b873b797  bl	#0xfffffff007d5de4c
0xfffffff008f80f70: 7f2303d5  pacibsp	
0xfffffff008f80f74: ff0301d1  sub	sp, sp, #0x40
0xfffffff008f80f78: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008f80f7c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008f80f80: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008f80f84: fdc30091  add	x29, sp, #0x30
0xfffffff008f80f88: f30303aa  mov	x19, x3
0xfffffff008f80f8c: f40302aa  mov	x20, x2
0xfffffff008f80f90: f60300aa  mov	x22, x0
0xfffffff008f80f94: e13f0039  strb	w1, [sp, #0xf]
0xfffffff008f80f98: 004440f9  ldr	x0, [x0, #0x88]
0xfffffff008f80f9c: 100040f9  ldr	x16, [x0]
0xfffffff008f80fa0: f10300aa  mov	x17, x0
0xfffffff008f80fa4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f80fa8: 301ac1da  autda	x16, x17
0xfffffff008f80fac: 11ac80d2  mov	x17, #0x560
0xfffffff008f80fb0: 1002118b  add	x16, x16, x17
0xfffffff008f80fb4: 080240f9  ldr	x8, [x16]
0xfffffff008f80fb8: e90310aa  mov	x9, x16
0xfffffff008f80fbc: e33f0091  add	x3, sp, #0xf
0xfffffff008f80fc0: 21008052  mov	w1, #1
0xfffffff008f80fc4: 22008052  mov	w2, #1
0xfffffff008f80fc8: e40313aa  mov	x4, x19
0xfffffff008f80fcc: e50314aa  mov	x5, x20
0xfffffff008f80fd0: f10309aa  mov	x17, x9
0xfffffff008f80fd4: f1d7e9f2  movk	x17, #0x4ebf, lsl #48
0xfffffff008f80fd8: 11093fd7  blraa	x8, x17
0xfffffff008f80fdc: f50300aa  mov	x21, x0
0xfffffff008f80fe0: c8d24339  ldrb	w8, [x22, #0xf4]
0xfffffff008f80fe4: e8000836  tbz	w8, #1, #0xfffffff008f81000
0xfffffff008f80fe8: e13f4039  ldrb	w1, [sp, #0xf]
0xfffffff008f80fec: 0025fff0  adrp	x0, #0xfffffff007423000
0xfffffff008f80ff0: 00a03391  add	x0, x0, #0xce8
0xfffffff008f80ff4: e20314aa  mov	x2, x20
0xfffffff008f80ff8: e30313aa  mov	x3, x19
0xfffffff008f80ffc: 9affff97  bl	#0xfffffff008f80e64
0xfffffff008f81000: e00315aa  mov	x0, x21
0xfffffff008f81004: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008f81008: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008f8100c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008f81010: ff030191  add	sp, sp, #0x40
0xfffffff008f81014: ff0f5fd6  retab	
0xfffffff008f81018: 7f2303d5  pacibsp	
0xfffffff008f8101c: ff0301d1  sub	sp, sp, #0x40
0xfffffff008f81020: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008f81024: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008f81028: fdc30091  add	x29, sp, #0x30
0xfffffff008f8102c: f40301aa  mov	x20, x1
0xfffffff008f81030: f30300aa  mov	x19, x0
0xfffffff008f81034: bff31e38  sturb	wzr, [x29, #-0x11]
0xfffffff008f81038: 100040f9  ldr	x16, [x0]
0xfffffff008f8103c: f10300aa  mov	x17, x0
0xfffffff008f81040: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f81044: 301ac1da  autda	x16, x17
0xfffffff008f81048: 11ae80d2  mov	x17, #0x570
0xfffffff008f8104c: 1002118b  add	x16, x16, x17
0xfffffff008f81050: 080240f9  ldr	x8, [x16]
0xfffffff008f81054: e90310aa  mov	x9, x16
0xfffffff008f81058: a24700d1  sub	x2, x29, #0x11
0xfffffff008f8105c: 01008052  mov	w1, #0
0xfffffff008f81060: 23008052  mov	w3, #1
0xfffffff008f81064: f10309aa  mov	x17, x9
0xfffffff008f81068: f12ce0f2  movk	x17, #0x167, lsl #48
