; Candidate 5261
; ADRP+ADD at VM 0xfffffff0087e314c (fileoff 0x17df14c): page=0x1fea06000 add_imm=0xe80

0xfffffff0087e30cc: 8c00781e  fcvtzs	w12, d4
0xfffffff0087e30d0: 6d00781e  fcvtzs	w13, d3
0xfffffff0087e30d4: ae00781e  fcvtzs	w14, d5
0xfffffff0087e30d8: 087969f8  ldr	x8, [x8, x9, lsl #3]
0xfffffff0087e30dc: 2900781e  fcvtzs	w9, d1
0xfffffff0087e30e0: 0f00781e  fcvtzs	w15, d0
0xfffffff0087e30e4: 9051ff90  adrp	x16, #0xfffffff007213000
0xfffffff0087e30e8: 104a2591  add	x16, x16, #0x952
0xfffffff0087e30ec: f02305a9  stp	x16, x8, [sp, #0x50]
0xfffffff0087e30f0: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e30f4: 08c12591  add	x8, x8, #0x970
0xfffffff0087e30f8: 9051ff90  adrp	x16, #0xfffffff007213000
0xfffffff0087e30fc: 107e2591  add	x16, x16, #0x95f
0xfffffff0087e3100: e83f07a9  stp	x8, x15, [sp, #0x70]
0xfffffff0087e3104: 8851ff90  adrp	x8, #0xfffffff007213000
0xfffffff0087e3108: 08fd2491  add	x8, x8, #0x93f
0xfffffff0087e310c: 8f51ff90  adrp	x15, #0xfffffff007213000
0xfffffff0087e3110: efad2491  add	x15, x15, #0x92b
0xfffffff0087e3114: f02706a9  stp	x16, x9, [sp, #0x60]
0xfffffff0087e3118: 8951ff90  adrp	x9, #0xfffffff007213000
0xfffffff0087e311c: 29612491  add	x9, x9, #0x918
0xfffffff0087e3120: 9051ff90  adrp	x16, #0xfffffff007213000
0xfffffff0087e3124: 10162491  add	x16, x16, #0x905
0xfffffff0087e3128: 9151ff90  adrp	x17, #0xfffffff007213000
0xfffffff0087e312c: 31ee2391  add	x17, x17, #0x8fb
0xfffffff0087e3130: e83b04a9  stp	x8, x14, [sp, #0x40]
0xfffffff0087e3134: ef3703a9  stp	x15, x13, [sp, #0x30]
0xfffffff0087e3138: e93302a9  stp	x9, x12, [sp, #0x20]
0xfffffff0087e313c: f02f01a9  stp	x16, x11, [sp, #0x10]
0xfffffff0087e3140: c352ffd0  adrp	x3, #0xfffffff00723d000
0xfffffff0087e3144: 630c2691  add	x3, x3, #0x983
0xfffffff0087e3148: f12b00a9  stp	x17, x10, [sp]
0xfffffff0087e314c: 2050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e3150: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e3154: 2191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e3158: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e315c: 02008052  mov	w2, #0
0xfffffff0087e3160: f43fed97  bl	#0xfffffff008333130
0xfffffff0087e3164: e00314aa  mov	x0, x20
0xfffffff0087e3168: e10316aa  mov	x1, x22
0xfffffff0087e316c: 99610294  bl	#0xfffffff00887b7d0
0xfffffff0087e3170: 200c0034  cbz	w0, #0xfffffff0087e32f4
0xfffffff0087e3174: e00314aa  mov	x0, x20
0xfffffff0087e3178: a8610294  bl	#0xfffffff00887b818
0xfffffff0087e317c: 7506f837  tbnz	w21, #0x1f, #0xfffffff0087e3248
0xfffffff0087e3180: b7021b12  and	w23, w21, #0x20
0xfffffff0087e3184: 18000052  eor	w24, w0, #1
0xfffffff0087e3188: 09440394  bl	#0xfffffff0088b41ac
0xfffffff0087e318c: f50300aa  mov	x21, x0
0xfffffff0087e3190: e00316aa  mov	x0, x22
0xfffffff0087e3194: af610294  bl	#0xfffffff00887b850
0xfffffff0087e3198: 0817572a  orr	w8, w24, w23, lsr #5
0xfffffff0087e319c: 480c0037  tbnz	w8, #0, #0xfffffff0087e3324
0xfffffff0087e31a0: 606240fd  ldr	d0, [x19, #0xc0]
0xfffffff0087e31a4: 01106c1e  fmov	d1, #0.50000000
0xfffffff0087e31a8: 0028611e  fadd	d0, d0, d1
0xfffffff0087e31ac: 0800781e  fcvtzs	w8, d0
0xfffffff0087e31b0: 290be8d2  mov	x9, #0x4059000000000000
0xfffffff0087e31b4: 2001679e  fmov	d0, x9
0xfffffff0087e31b8: 628e526d  ldp	d2, d3, [x19, #0x128]
0xfffffff0087e31bc: 4204401f  fmadd	d2, d2, d0, d1
0xfffffff0087e31c0: 4900781e  fcvtzs	w9, d2
0xfffffff0087e31c4: 6292536d  ldp	d2, d4, [x19, #0x138]
0xfffffff0087e31c8: 4204401f  fmadd	d2, d2, d0, d1
