; Candidate 11305
; ADRP+ADD at VM 0xfffffff008ee8bfc (fileoff 0x1ee4bfc): page=0x1fec2d000 add_imm=0xdc0

0xfffffff008ee8b7c: e128fff0  adrp	x1, #0xfffffff007407000
0xfffffff008ee8b80: 213c0391  add	x1, x1, #0xcf
0xfffffff008ee8b84: e00314aa  mov	x0, x20
0xfffffff008ee8b88: 84e8ff97  bl	#0xfffffff008ee2d98
0xfffffff008ee8b8c: 600200b9  str	w0, [x19]
0xfffffff008ee8b90: 05000014  b	#0xfffffff008ee8ba4
0xfffffff008ee8b94: 20008052  mov	w0, #1
0xfffffff008ee8b98: 6621d097  bl	#0xfffffff0082f1130
0xfffffff008ee8b9c: 15008052  mov	w21, #0
0xfffffff008ee8ba0: 606603f9  str	x0, [x19, #0x6c8]
0xfffffff008ee8ba4: e00315aa  mov	x0, x21
0xfffffff008ee8ba8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008ee8bac: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008ee8bb0: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008ee8bb4: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff008ee8bb8: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff008ee8bbc: ff0f5fd6  retab	
0xfffffff008ee8bc0: c10240f9  ldr	x1, [x22]
0xfffffff008ee8bc4: 3f0000f1  cmp	x1, #0
0xfffffff008ee8bc8: a81a417a  ccmp	w21, #1, #8, ne
0xfffffff008ee8bcc: ab000054  b.lt	#0xfffffff008ee8be0
0xfffffff008ee8bd0: 6061ffb0  adrp	x0, #0xfffffff007b15000
0xfffffff008ee8bd4: 00003791  add	x0, x0, #0xdc0
0xfffffff008ee8bd8: e20318aa  mov	x2, x24
0xfffffff008ee8bdc: 83b8d197  bl	#0xfffffff008356de8
0xfffffff008ee8be0: 15008012  mov	w21, #-1
0xfffffff008ee8be4: 93fbffb5  cbnz	x19, #0xfffffff008ee8b54
0xfffffff008ee8be8: efffff17  b	#0xfffffff008ee8ba4
0xfffffff008ee8bec: 5f2403d5  bti	c
0xfffffff008ee8bf0: 1f040071  cmp	w0, #1
0xfffffff008ee8bf4: ab000054  b.lt	#0xfffffff008ee8c08
0xfffffff008ee8bf8: 027c7dd3  ubfiz	x2, x0, #3, #0x20
0xfffffff008ee8bfc: 6061ffb0  adrp	x0, #0xfffffff007b15000
0xfffffff008ee8c00: 00003791  add	x0, x0, #0xdc0
0xfffffff008ee8c04: 79b8d117  b	#0xfffffff008356de8
0xfffffff008ee8c08: c0035fd6  ret	
0xfffffff008ee8c0c: 5f2403d5  bti	c
0xfffffff008ee8c10: b9eecf17  b	#0xfffffff0082e46f4
0xfffffff008ee8c14: 5f2403d5  bti	c
0xfffffff008ee8c18: 20008052  mov	w0, #1
0xfffffff008ee8c1c: c0035fd6  ret	
0xfffffff008ee8c20: 7f2303d5  pacibsp	
0xfffffff008ee8c24: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008ee8c28: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008ee8c2c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008ee8c30: fd830091  add	x29, sp, #0x20
0xfffffff008ee8c34: f30301aa  mov	x19, x1
0xfffffff008ee8c38: 108c47f8  ldr	x16, [x0, #0x78]!
0xfffffff008ee8c3c: f10300aa  mov	x17, x0
0xfffffff008ee8c40: 1172f1f2  movk	x17, #0x8b90, lsl #48
0xfffffff008ee8c44: 301ac1da  autda	x16, x17
0xfffffff008ee8c48: f10310aa  mov	x17, x16
0xfffffff008ee8c4c: f147c1da  xpacd	x17
0xfffffff008ee8c50: 1f0211eb  cmp	x16, x17
0xfffffff008ee8c54: 40000054  b.eq	#0xfffffff008ee8c5c
0xfffffff008ee8c58: 408e38d4  brk	#0xc472
0xfffffff008ee8c5c: e00310aa  mov	x0, x16
0xfffffff008ee8c60: 5561ffd0  adrp	x21, #0xfffffff007b12000
0xfffffff008ee8c64: a12a4fb9  ldr	w1, [x21, #0xf28]
0xfffffff008ee8c68: 3a2cd697  bl	#0xfffffff008473d50
0xfffffff008ee8c6c: e00300b4  cbz	x0, #0xfffffff008ee8ce8
0xfffffff008ee8c70: f40300aa  mov	x20, x0
0xfffffff008ee8c74: 100040f9  ldr	x16, [x0]
0xfffffff008ee8c78: f10300aa  mov	x17, x0
