; Candidate 10046
; ADRP+ADD at VM 0xfffffff008c86220 (fileoff 0x1c82220): page=0x1fe6c7000 add_imm=0xe89

0xfffffff008c861a0: 080240f9  ldr	x8, [x16]
0xfffffff008c861a4: e90310aa  mov	x9, x16
0xfffffff008c861a8: e00313aa  mov	x0, x19
0xfffffff008c861ac: 01268052  mov	w1, #0x130
0xfffffff008c861b0: 0100bc72  movk	w1, #0xe000, lsl #16
0xfffffff008c861b4: 020080d2  mov	x2, #0
0xfffffff008c861b8: 030080d2  mov	x3, #0
0xfffffff008c861bc: f10309aa  mov	x17, x9
0xfffffff008c861c0: 9178ecf2  movk	x17, #0x63c4, lsl #48
0xfffffff008c861c4: 11093fd7  blraa	x8, x17
0xfffffff008c861c8: e2ffff17  b	#0xfffffff008c86150
0xfffffff008c861cc: 7f2303d5  pacibsp	
0xfffffff008c861d0: ff0301d1  sub	sp, sp, #0x40
0xfffffff008c861d4: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008c861d8: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008c861dc: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008c861e0: fdc30091  add	x29, sp, #0x30
0xfffffff008c861e4: f30300aa  mov	x19, x0
0xfffffff008c861e8: 08248252  mov	w8, #0x1120
0xfffffff008c861ec: 1400088b  add	x20, x0, x8
0xfffffff008c861f0: 150b9052  mov	w21, #0x8058
0xfffffff008c861f4: f57fbc72  movk	w21, #0xe3ff, lsl #16
0xfffffff008c861f8: 8a624039  ldrb	w10, [x20, #0x18]
0xfffffff008c861fc: 080c52b9  ldr	w8, [x0, #0x120c]
0xfffffff008c86200: 093d0f53  ubfx	w9, w8, #0xf, #1
0xfffffff008c86204: 3f010a6b  cmp	w9, w10
0xfffffff008c86208: e0070054  b.eq	#0xfffffff008c86304
0xfffffff008c8620c: 8a2b8252  mov	w10, #0x115c
0xfffffff008c86210: 6a6a6a38  ldrb	w10, [x19, x10]
0xfffffff008c86214: ea000836  tbz	w10, #1, #0xfffffff008c86230
0xfffffff008c86218: 88024039  ldrb	w8, [x20]
0xfffffff008c8621c: e82700a9  stp	x8, x9, [sp]
0xfffffff008c86220: 2036fff0  adrp	x0, #0xfffffff00734d000
0xfffffff008c86224: 00243a91  add	x0, x0, #0xe89
0xfffffff008c86228: 7e43db97  bl	#0xfffffff008357020
0xfffffff008c8622c: 680e52b9  ldr	w8, [x19, #0x120c]
0xfffffff008c86230: 023d0f53  ubfx	w2, w8, #0xf, #1
0xfffffff008c86234: 700240f9  ldr	x16, [x19]
0xfffffff008c86238: f10313aa  mov	x17, x19
0xfffffff008c8623c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c86240: 301ac1da  autda	x16, x17
0xfffffff008c86244: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008c86248: e90310aa  mov	x9, x16
0xfffffff008c8624c: 2136ffd0  adrp	x1, #0xfffffff00734c000
0xfffffff008c86250: 21283c91  add	x1, x1, #0xf0a
0xfffffff008c86254: e00313aa  mov	x0, x19
0xfffffff008c86258: f10309aa  mov	x17, x9
0xfffffff008c8625c: d145e2f2  movk	x17, #0x122e, lsl #48
0xfffffff008c86260: 11093fd7  blraa	x8, x17
0xfffffff008c86264: 680e52b9  ldr	w8, [x19, #0x120c]
0xfffffff008c86268: 023d4fd3  ubfx	x2, x8, #0xf, #1
0xfffffff008c8626c: 700240f9  ldr	x16, [x19]
0xfffffff008c86270: f10313aa  mov	x17, x19
0xfffffff008c86274: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c86278: 301ac1da  autda	x16, x17
0xfffffff008c8627c: f10310aa  mov	x17, x16
0xfffffff008c86280: f147c1da  xpacd	x17
0xfffffff008c86284: 1f0211eb  cmp	x16, x17
0xfffffff008c86288: 40000054  b.eq	#0xfffffff008c86290
0xfffffff008c8628c: 408e38d4  brk	#0xc472
0xfffffff008c86290: 08c21091  add	x8, x16, #0x430
0xfffffff008c86294: 091a42f9  ldr	x9, [x16, #0x430]
0xfffffff008c86298: a14a0e11  add	w1, w21, #0x392
0xfffffff008c8629c: e00313aa  mov	x0, x19
