; Candidate 4913
; ADRP+ADD at VM 0xfffffff0087cce94 (fileoff 0x17c8e94): page=0x1fea1d000 add_imm=0xe80

0xfffffff0087cce14: 2052ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087cce18: 006c0291  add	x0, x0, #0x9b
0xfffffff0087cce1c: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cce20: 90a9d797  bl	#0xfffffff007db7460
0xfffffff0087cce24: f60319aa  mov	x22, x25
0xfffffff0087cce28: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0087cce2c: e991ff90  adrp	x9, #0xfffffff007a08000
0xfffffff0087cce30: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff0087cce34: 290140f9  ldr	x9, [x9]
0xfffffff0087cce38: 3f0108eb  cmp	x9, x8
0xfffffff0087cce3c: e1080154  b.ne	#0xfffffff0087cef58
0xfffffff0087cce40: e00316aa  mov	x0, x22
0xfffffff0087cce44: fd7b54a9  ldp	x29, x30, [sp, #0x140]
0xfffffff0087cce48: f44f53a9  ldp	x20, x19, [sp, #0x130]
0xfffffff0087cce4c: f65752a9  ldp	x22, x21, [sp, #0x120]
0xfffffff0087cce50: f85f51a9  ldp	x24, x23, [sp, #0x110]
0xfffffff0087cce54: fa6750a9  ldp	x26, x25, [sp, #0x100]
0xfffffff0087cce58: fc6f4fa9  ldp	x28, x27, [sp, #0xf0]
0xfffffff0087cce5c: ff430591  add	sp, sp, #0x150
0xfffffff0087cce60: ff0f5fd6  retab	
0xfffffff0087cce64: d29c0394  bl	#0xfffffff0088b41ac
0xfffffff0087cce68: f40300aa  mov	x20, x0
0xfffffff0087cce6c: e0008052  mov	w0, #7
0xfffffff0087cce70: 78ba0294  bl	#0xfffffff00887b850
0xfffffff0087cce74: 683f51f9  ldr	x8, [x27, #0x2278]
0xfffffff0087cce78: 691b40b9  ldr	w9, [x27, #0x18]
0xfffffff0087cce7c: 0ac740b9  ldr	w10, [x24, #0xc4]
0xfffffff0087cce80: 081140b9  ldr	w8, [x8, #0x10]
0xfffffff0087cce84: ea2302a9  stp	x10, x8, [sp, #0x20]
0xfffffff0087cce88: e02701a9  stp	x0, x9, [sp, #0x10]
0xfffffff0087cce8c: a80f8052  mov	w8, #0x7d
0xfffffff0087cce90: f42300a9  stp	x20, x8, [sp]
0xfffffff0087cce94: e050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cce98: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cce9c: e191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087ccea0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ccea4: 6353ffb0  adrp	x3, #0xfffffff007239000
0xfffffff0087ccea8: 63142b91  add	x3, x3, #0xac5
0xfffffff0087cceac: 02008052  mov	w2, #0
0xfffffff0087cceb0: a098ed97  bl	#0xfffffff008333130
0xfffffff0087cceb4: a90358b8  ldur	w9, [x29, #-0x80]
0xfffffff0087cceb8: 683f51f9  ldr	x8, [x27, #0x2278]
0xfffffff0087ccebc: 09a10079  strh	w9, [x8, #0x50]
0xfffffff0087ccec0: a9c357b8  ldur	w9, [x29, #-0x84]
0xfffffff0087ccec4: 09a90079  strh	w9, [x8, #0x54]
0xfffffff0087ccec8: 1fa50079  strh	wzr, [x8, #0x52]
0xfffffff0087ccecc: 1f6105b8  stur	wzr, [x8, #0x56]
0xfffffff0087cced0: 49eb4039  ldrb	w9, [x26, #0x3a]
0xfffffff0087cced4: 09690139  strb	w9, [x8, #0x5a]
0xfffffff0087cced8: 49e74039  ldrb	w9, [x26, #0x39]
0xfffffff0087ccedc: 096d0139  strb	w9, [x8, #0x5b]
0xfffffff0087ccee0: 492b40b9  ldr	w9, [x26, #0x28]
0xfffffff0087ccee4: 095d00b9  str	w9, [x8, #0x5c]
0xfffffff0087ccee8: 09b76439  ldrb	w9, [x24, #0x92d]
0xfffffff0087cceec: 09810139  strb	w9, [x8, #0x60]
0xfffffff0087ccef0: a9635838  ldurb	w9, [x29, #-0x7a]
0xfffffff0087ccef4: 09030034  cbz	w9, #0xfffffff0087ccf54
0xfffffff0087ccef8: a00f8052  mov	w0, #0x7d
0xfffffff0087ccefc: e1008052  mov	w1, #7
0xfffffff0087ccf00: 34ba0294  bl	#0xfffffff00887b7d0
0xfffffff0087ccf04: 80190034  cbz	w0, #0xfffffff0087cd234
0xfffffff0087ccf08: a00f8052  mov	w0, #0x7d
0xfffffff0087ccf0c: 43ba0294  bl	#0xfffffff00887b818
0xfffffff0087ccf10: f40300aa  mov	x20, x0
