; Candidate 5333
; ADRP+ADD at VM 0xfffffff0087e71a8 (fileoff 0x17e31a8): page=0x1fea02000 add_imm=0xe80

0xfffffff0087e7128: 2ab92791  add	x10, x9, #0x9ee
0xfffffff0087e712c: e8db04a9  stp	x8, x22, [sp, #0x48]
0xfffffff0087e7130: f3d303a9  stp	x19, x20, [sp, #0x38]
0xfffffff0087e7134: a8068052  mov	w8, #0x35
0xfffffff0087e7138: 4951ffd0  adrp	x9, #0xfffffff007211000
0xfffffff0087e713c: 29892c91  add	x9, x9, #0xb22
0xfffffff0087e7140: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087e7144: 6851ffb0  adrp	x8, #0xfffffff007214000
0xfffffff0087e7148: 08290291  add	x8, x8, #0x8a
0xfffffff0087e714c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e7150: e80b8052  mov	w8, #0x5f
0xfffffff0087e7154: 6051ff90  adrp	x0, #0xfffffff007213000
0xfffffff0087e7158: 00243d91  add	x0, x0, #0xf49
0xfffffff0087e715c: e8e700a9  stp	x8, x25, [sp, #8]
0xfffffff0087e7160: f80300f9  str	x24, [sp]
0xfffffff0087e7164: bf40d797  bl	#0xfffffff007db7460
0xfffffff0087e7168: 78000014  b	#0xfffffff0087e7348
0xfffffff0087e716c: 10340394  bl	#0xfffffff0088b41ac
0xfffffff0087e7170: f70300aa  mov	x23, x0
0xfffffff0087e7174: c0008052  mov	w0, #6
0xfffffff0087e7178: b6510294  bl	#0xfffffff00887b850
0xfffffff0087e717c: e80315aa  mov	x8, x21
0xfffffff0087e7180: e8db03a9  stp	x8, x22, [sp, #0x38]
0xfffffff0087e7184: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0087e7188: 4851ffd0  adrp	x8, #0xfffffff007211000
0xfffffff0087e718c: 09892c91  add	x9, x8, #0xb22
0xfffffff0087e7190: 6851ffb0  adrp	x8, #0xfffffff007214000
0xfffffff0087e7194: 08290291  add	x8, x8, #0x8a
0xfffffff0087e7198: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e719c: e80b8052  mov	w8, #0x5f
0xfffffff0087e71a0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e71a4: f70300f9  str	x23, [sp]
0xfffffff0087e71a8: 0050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e71ac: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e71b0: 0191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e71b4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e71b8: a352fff0  adrp	x3, #0xfffffff00723e000
0xfffffff0087e71bc: 633c1c91  add	x3, x3, #0x70f
0xfffffff0087e71c0: 02008052  mov	w2, #0
0xfffffff0087e71c4: db2fed97  bl	#0xfffffff008333130
0xfffffff0087e71c8: 74f7ffb5  cbnz	x20, #0xfffffff0087e70b4
0xfffffff0087e71cc: e00b8052  mov	w0, #0x5f
0xfffffff0087e71d0: 81008052  mov	w1, #4
0xfffffff0087e71d4: 7f510294  bl	#0xfffffff00887b7d0
0xfffffff0087e71d8: 60070034  cbz	w0, #0xfffffff0087e72c4
0xfffffff0087e71dc: e00b8052  mov	w0, #0x5f
0xfffffff0087e71e0: 8e510294  bl	#0xfffffff00887b818
0xfffffff0087e71e4: f80300aa  mov	x24, x0
0xfffffff0087e71e8: f1330394  bl	#0xfffffff0088b41ac
0xfffffff0087e71ec: f70300aa  mov	x23, x0
0xfffffff0087e71f0: 80008052  mov	w0, #4
0xfffffff0087e71f4: 97510294  bl	#0xfffffff00887b850
0xfffffff0087e71f8: 18030034  cbz	w24, #0xfffffff0087e7258
0xfffffff0087e71fc: e80315aa  mov	x8, x21
0xfffffff0087e7200: 6951ff90  adrp	x9, #0xfffffff007213000
0xfffffff0087e7204: 2a613c91  add	x10, x9, #0xf18
0xfffffff0087e7208: e8db04a9  stp	x8, x22, [sp, #0x48]
0xfffffff0087e720c: f3d303a9  stp	x19, x20, [sp, #0x38]
0xfffffff0087e7210: c8058052  mov	w8, #0x2e
0xfffffff0087e7214: 4951ffd0  adrp	x9, #0xfffffff007211000
0xfffffff0087e7218: 29892c91  add	x9, x9, #0xb22
0xfffffff0087e721c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087e7220: 6851ffb0  adrp	x8, #0xfffffff007214000
0xfffffff0087e7224: 08290291  add	x8, x8, #0x8a
