; Candidate 10104
; ADRP+ADD at VM 0xfffffff008ca57d4 (fileoff 0x1ca17d4): page=0x1fe6af000 add_imm=0xe7d

0xfffffff008ca5754: 010140f9  ldr	x1, [x8]
0xfffffff008ca5758: e00317aa  mov	x0, x23
0xfffffff008ca575c: 66f9d897  bl	#0xfffffff0082e3cf4
0xfffffff008ca5760: 60fcffb4  cbz	x0, #0xfffffff008ca56ec
0xfffffff008ca5764: 100040f9  ldr	x16, [x0]
0xfffffff008ca5768: f10300aa  mov	x17, x0
0xfffffff008ca576c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca5770: 301ac1da  autda	x16, x17
0xfffffff008ca5774: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008ca5778: e90310aa  mov	x9, x16
0xfffffff008ca577c: f10309aa  mov	x17, x9
0xfffffff008ca5780: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff008ca5784: 11093fd7  blraa	x8, x17
0xfffffff008ca5788: 080440b9  ldr	w8, [x0, #4]
0xfffffff008ca578c: 892e8d52  mov	w9, #0x6974
0xfffffff008ca5790: 09afac72  movk	w9, #0x6578, lsl #16
0xfffffff008ca5794: 1f01096b  cmp	w8, w9
0xfffffff008ca5798: 40020054  b.eq	#0xfffffff008ca57e0
0xfffffff008ca579c: 896e8e52  mov	w9, #0x7374
0xfffffff008ca57a0: 490eae72  movk	w9, #0x7072, lsl #16
0xfffffff008ca57a4: 1f01096b  cmp	w8, w9
0xfffffff008ca57a8: 21faff54  b.ne	#0xfffffff008ca56ec
0xfffffff008ca57ac: d50500b4  cbz	x21, #0xfffffff008ca5864
0xfffffff008ca57b0: a80240b9  ldr	w8, [x21]
0xfffffff008ca57b4: 1ffd0371  cmp	w8, #0xff
0xfffffff008ca57b8: 00070054  b.eq	#0xfffffff008ca5898
0xfffffff008ca57bc: 1f050071  cmp	w8, #1
0xfffffff008ca57c0: 80070054  b.eq	#0xfffffff008ca58b0
0xfffffff008ca57c4: 680b0035  cbnz	w8, #0xfffffff008ca5930
0xfffffff008ca57c8: 34008052  mov	w20, #1
0xfffffff008ca57cc: 68f27d39  ldrb	w8, [x19, #0xf7c]
0xfffffff008ca57d0: 08082036  tbz	w8, #4, #0xfffffff008ca58d0
0xfffffff008ca57d4: 6035fff0  adrp	x0, #0xfffffff007354000
0xfffffff008ca57d8: 00f43991  add	x0, x0, #0xe7d
0xfffffff008ca57dc: 3a000014  b	#0xfffffff008ca58c4
0xfffffff008ca57e0: d50400b4  cbz	x21, #0xfffffff008ca5878
0xfffffff008ca57e4: b40240b9  ldr	w20, [x21]
0xfffffff008ca57e8: 68f27d39  ldrb	w8, [x19, #0xf7c]
0xfffffff008ca57ec: c8002036  tbz	w8, #4, #0xfffffff008ca5804
0xfffffff008ca57f0: 68a27c39  ldrb	w8, [x19, #0xf28]
0xfffffff008ca57f4: e85300a9  stp	x8, x20, [sp]
0xfffffff008ca57f8: 8035ff90  adrp	x0, #0xfffffff007355000
0xfffffff008ca57fc: 00dc0091  add	x0, x0, #0x37
0xfffffff008ca5800: 08c6da97  bl	#0xfffffff008357020
0xfffffff008ca5804: 700240f9  ldr	x16, [x19]
0xfffffff008ca5808: f10313aa  mov	x17, x19
0xfffffff008ca580c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca5810: 301ac1da  autda	x16, x17
0xfffffff008ca5814: 113a81d2  mov	x17, #0x9d0
0xfffffff008ca5818: 1002118b  add	x16, x16, x17
0xfffffff008ca581c: 080240f9  ldr	x8, [x16]
0xfffffff008ca5820: e20310aa  mov	x2, x16
0xfffffff008ca5824: f00308aa  mov	x16, x8
0xfffffff008ca5828: e00313aa  mov	x0, x19
0xfffffff008ca582c: e10314aa  mov	x1, x20
0xfffffff008ca5830: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008ca5834: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008ca5838: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008ca583c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008ca5840: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008ca5844: ff830191  add	sp, sp, #0x60
0xfffffff008ca5848: ff2303d5  autibsp	
0xfffffff008ca584c: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008ca5850: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008ca5858
