; Candidate 1011
; ADRP+ADD at VM 0xfffffff00816e1c0 (fileoff 0x116a1c0): page=0x1ff80b000 add_imm=0xdf0

0xfffffff00816e140: 00202791  add	x0, x0, #0x9c8
0xfffffff00816e144: e10316aa  mov	x1, x22
0xfffffff00816e148: 87f9f097  bl	#0xfffffff007dac764
0xfffffff00816e14c: c1ffff17  b	#0xfffffff00816e050
0xfffffff00816e150: 7f2303d5  pacibsp	
0xfffffff00816e154: ff8301d1  sub	sp, sp, #0x60
0xfffffff00816e158: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff00816e15c: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00816e160: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00816e164: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00816e168: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00816e16c: fd430191  add	x29, sp, #0x50
0xfffffff00816e170: 080040f9  ldr	x8, [x0]
0xfffffff00816e174: 881f00b4  cbz	x8, #0xfffffff00816e564
0xfffffff00816e178: f70303aa  mov	x23, x3
0xfffffff00816e17c: f60302aa  mov	x22, x2
0xfffffff00816e180: f40301aa  mov	x20, x1
0xfffffff00816e184: f50300aa  mov	x21, x0
0xfffffff00816e188: 40c0fff0  adrp	x0, #0xfffffff007979000
0xfffffff00816e18c: 00c03691  add	x0, x0, #0xdb0
0xfffffff00816e190: a1008052  mov	w1, #5
0xfffffff00816e194: 50e3f097  bl	#0xfffffff007da6ed4
0xfffffff00816e198: f30300aa  mov	x19, x0
0xfffffff00816e19c: 600200b5  cbnz	x0, #0xfffffff00816e1e8
0xfffffff00816e1a0: 98d038d5  mrs	x24, tpidr_el1
0xfffffff00816e1a4: 081b44b9  ldr	w8, [x24, #0x418]
0xfffffff00816e1a8: 190501d0  adrp	x25, #0xfffffff00a210000
0xfffffff00816e1ac: 39432791  add	x25, x25, #0x9d0
0xfffffff00816e1b0: e20308aa  mov	x2, x8
0xfffffff00816e1b4: 3fffa288  casl	w2, wzr, [x25]
0xfffffff00816e1b8: 5f00086b  cmp	w2, w8
0xfffffff00816e1bc: 21190054  b.ne	#0xfffffff00816e4e0
0xfffffff00816e1c0: 40c0fff0  adrp	x0, #0xfffffff007979000
0xfffffff00816e1c4: 00c03791  add	x0, x0, #0xdf0
0xfffffff00816e1c8: 81009052  mov	w1, #0x8004
0xfffffff00816e1cc: 42e3f097  bl	#0xfffffff007da6ed4
0xfffffff00816e1d0: f30300aa  mov	x19, x0
0xfffffff00816e1d4: 080080d2  mov	x8, #0
0xfffffff00816e1d8: 091b44b9  ldr	w9, [x24, #0x418]
0xfffffff00816e1dc: 297fe8c8  casa	x8, x9, [x25]
0xfffffff00816e1e0: 1f0100f1  cmp	x8, #0
0xfffffff00816e1e4: 81180054  b.ne	#0xfffffff00816e4f4
0xfffffff00816e1e8: a80240f9  ldr	x8, [x21]
0xfffffff00816e1ec: 08054039  ldrb	w8, [x8, #1]
0xfffffff00816e1f0: 1f050071  cmp	w8, #1
0xfffffff00816e1f4: e0000054  b.eq	#0xfffffff00816e210
0xfffffff00816e1f8: 1f0d0071  cmp	w8, #3
0xfffffff00816e1fc: 810b0054  b.ne	#0xfffffff00816e36c
0xfffffff00816e200: a80a40f9  ldr	x8, [x21, #0x10]
0xfffffff00816e204: 280d00b4  cbz	x8, #0xfffffff00816e3a8
0xfffffff00816e208: 010540b9  ldr	w1, [x8, #4]
0xfffffff00816e20c: 02000014  b	#0xfffffff00816e214
0xfffffff00816e210: 01008052  mov	w1, #0
0xfffffff00816e214: e00313aa  mov	x0, x19
0xfffffff00816e218: 55020094  bl	#0xfffffff00816eb6c
0xfffffff00816e21c: a80240f9  ldr	x8, [x21]
0xfffffff00816e220: 080940b9  ldr	w8, [x8, #8]
0xfffffff00816e224: 68b200b9  str	w8, [x19, #0xb0]
0xfffffff00816e228: a85240f9  ldr	x8, [x21, #0xa0]
0xfffffff00816e22c: 480100b4  cbz	x8, #0xfffffff00816e254
0xfffffff00816e230: 09154039  ldrb	w9, [x8, #5]
0xfffffff00816e234: 89000034  cbz	w9, #0xfffffff00816e244
0xfffffff00816e238: 28008052  mov	w8, #1
0xfffffff00816e23c: 68520339  strb	w8, [x19, #0xd4]
