; Candidate 277
; ADRP+ADD at VM 0xfffffff007e906d8 (fileoff 0xe8c6d8): page=0x2367000 add_imm=0xe68

0xfffffff007e90658: f3030091  mov	x19, sp
0xfffffff007e9065c: 02000014  b	#0xfffffff007e90664
0xfffffff007e90660: f50340f9  ldr	x21, [sp]
0xfffffff007e90664: 7f0215eb  cmp	x19, x21
0xfffffff007e90668: a0020054  b.eq	#0xfffffff007e906bc
0xfffffff007e9066c: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff007e90670: 09810091  add	x9, x8, #0x20
0xfffffff007e90674: 7f0208eb  cmp	x19, x8
0xfffffff007e90678: 8902899a  csel	x9, x20, x9, eq
0xfffffff007e9067c: 330100f9  str	x19, [x9]
0xfffffff007e90680: e80300f9  str	x8, [sp]
0xfffffff007e90684: bffe01a9  stp	xzr, xzr, [x21, #0x18]
0xfffffff007e90688: a80640b9  ldr	w8, [x21, #4]
0xfffffff007e9068c: 28020034  cbz	w8, #0xfffffff007e906d0
0xfffffff007e90690: 08050051  sub	w8, w8, #1
0xfffffff007e90694: a80600b9  str	w8, [x21, #4]
0xfffffff007e90698: a01a40f9  ldr	x0, [x21, #0x30]
0xfffffff007e9069c: 600000b4  cbz	x0, #0xfffffff007e906a8
0xfffffff007e906a0: 4e48ff97  bl	#0xfffffff007e627d8
0xfffffff007e906a4: bf1a00f9  str	xzr, [x21, #0x30]
0xfffffff007e906a8: a00a40f9  ldr	x0, [x21, #0x10]
0xfffffff007e906ac: a0fdffb4  cbz	x0, #0xfffffff007e90660
0xfffffff007e906b0: 01008052  mov	w1, #0
0xfffffff007e906b4: a757ff97  bl	#0xfffffff007e66550
0xfffffff007e906b8: eaffff17  b	#0xfffffff007e90660
0xfffffff007e906bc: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff007e906c0: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff007e906c4: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff007e906c8: ff030191  add	sp, sp, #0x40
0xfffffff007e906cc: ff0f5fd6  retab	
0xfffffff007e906d0: a0120091  add	x0, x21, #4
0xfffffff007e906d4: c23e1894  bl	#0xfffffff0084a01dc
0xfffffff007e906d8: 201b01f0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e906dc: 00a03991  add	x0, x0, #0xe68
0xfffffff007e906e0: e10313aa  mov	x1, x19
0xfffffff007e906e4: 02008052  mov	w2, #0
0xfffffff007e906e8: 046dfc97  bl	#0xfffffff007dabaf8
0xfffffff007e906ec: 96ffff17  b	#0xfffffff007e90544
0xfffffff007e906f0: 201b01f0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e906f4: 00a03991  add	x0, x0, #0xe68
0xfffffff007e906f8: e10313aa  mov	x1, x19
0xfffffff007e906fc: 1a70fc97  bl	#0xfffffff007dac764
0xfffffff007e90700: d5ffff17  b	#0xfffffff007e90654
0xfffffff007e90704: 7f2303d5  pacibsp	
0xfffffff007e90708: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff007e9070c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007e90710: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007e90714: fd830091  add	x29, sp, #0x20
0xfffffff007e90718: f40300aa  mov	x20, x0
0xfffffff007e9071c: 080080d2  mov	x8, #0
0xfffffff007e90720: 93d038d5  mrs	x19, tpidr_el1
0xfffffff007e90724: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007e90728: 351b01f0  adrp	x21, #0xfffffff00a1f7000
0xfffffff007e9072c: b5c23991  add	x21, x21, #0xe70
0xfffffff007e90730: a97ee8c8  casa	x8, x9, [x21]
0xfffffff007e90734: 1f0100f1  cmp	x8, #0
0xfffffff007e90738: 41030054  b.ne	#0xfffffff007e907a0
0xfffffff007e9073c: 88a24039  ldrb	w8, [x20, #0x28]
0xfffffff007e90740: c8010035  cbnz	w8, #0xfffffff007e90778
0xfffffff007e90744: 28008052  mov	w8, #1
0xfffffff007e90748: 88a20039  strb	w8, [x20, #0x28]
0xfffffff007e9074c: 880640b9  ldr	w8, [x20, #4]
0xfffffff007e90750: e9130432  mov	w9, #-0xfffffff
0xfffffff007e90754: 0a01090b  add	w10, w8, w9
