; Candidate 3007
; ADRP+ADD at VM 0xfffffff008704218 (fileoff 0x1700218): page=0x1fea2d000 add_imm=0xd90

0xfffffff008704198: 6a018052  mov	w10, #0xb
0xfffffff00870419c: 4b058a1a  cinc	w11, w10, ne
0xfffffff0087041a0: 8a008052  mov	w10, #4
0xfffffff0087041a4: 4a058a1a  cinc	w10, w10, ne
0xfffffff0087041a8: 03000014  b	#0xfffffff0087041b4
0xfffffff0087041ac: 6b038052  mov	w11, #0x1b
0xfffffff0087041b0: ea030baa  mov	x10, x11
0xfffffff0087041b4: 0c168152  mov	w12, #0x8b0
0xfffffff0087041b8: ec620c9b  madd	x12, x23, x12, x24
0xfffffff0087041bc: 8c114039  ldrb	w12, [x12, #4]
0xfffffff0087041c0: 9f010071  cmp	w12, #0
0xfffffff0087041c4: 2419407a  ccmp	w9, #0, #4, ne
0xfffffff0087041c8: a1420054  b.ne	#0xfffffff008704a1c
0xfffffff0087041cc: 88030034  cbz	w8, #0xfffffff00870423c
0xfffffff0087041d0: 1f0d0071  cmp	w8, #3
0xfffffff0087041d4: 81000054  b.ne	#0xfffffff0087041e4
0xfffffff0087041d8: 4b250051  sub	w11, w10, #9
0xfffffff0087041dc: 7f090071  cmp	w11, #2
0xfffffff0087041e0: 43010054  b.lo	#0xfffffff008704208
0xfffffff0087041e4: 5f690071  cmp	w10, #0x1a
0xfffffff0087041e8: a8020054  b.hi	#0xfffffff00870423c
0xfffffff0087041ec: 2b008052  mov	w11, #1
0xfffffff0087041f0: 6b21ca1a  lsl	w11, w11, w10
0xfffffff0087041f4: 0c98a052  mov	w12, #0x4c00000
0xfffffff0087041f8: 7f010c6a  tst	w11, w12
0xfffffff0087041fc: 00020054  b.eq	#0xfffffff00870423c
0xfffffff008704200: 1f090071  cmp	w8, #2
0xfffffff008704204: c8010054  b.hi	#0xfffffff00870423c
0xfffffff008704208: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff00870420c: 4852fff0  adrp	x8, #0xfffffff00714f000
0xfffffff008704210: 08bd1991  add	x8, x8, #0x66f
0xfffffff008704214: e80300f9  str	x8, [sp]
0xfffffff008704218: 6051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00870421c: 00403691  add	x0, x0, #0xd90
0xfffffff008704220: c197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008704224: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008704228: 8351ffd0  adrp	x3, #0xfffffff007136000
0xfffffff00870422c: 635c2591  add	x3, x3, #0x957
0xfffffff008704230: 02008052  mov	w2, #0
0xfffffff008704234: bfbbf097  bl	#0xfffffff008333130
0xfffffff008704238: 0e020014  b	#0xfffffff008704a70
0xfffffff00870423c: ed2300b9  str	w13, [sp, #0x20]
0xfffffff008704240: 0ab6a552  mov	w10, #0x2db00000
0xfffffff008704244: 4a3700b9  str	w10, [x26, #0x34]
0xfffffff008704248: 6b0e40f9  ldr	x11, [x19, #0x18]
0xfffffff00870424c: 6bbd46f9  ldr	x11, [x11, #0xd78]
0xfffffff008704250: 6b0140b9  ldr	w11, [x11]
0xfffffff008704254: 7f150071  cmp	w11, #5
0xfffffff008704258: 0b008452  mov	w11, #0x2000
0xfffffff00870425c: 0bb6a572  movk	w11, #0x2db0, lsl #16
0xfffffff008704260: 6a018a1a  csel	w10, w11, w10, eq
0xfffffff008704264: df050071  cmp	w14, #1
0xfffffff008704268: eb179f1a  cset	w11, eq
0xfffffff00870426c: ff010071  cmp	w15, #0
0xfffffff008704270: 0c568052  mov	w12, #0x2b0
0xfffffff008704274: 0d548052  mov	w13, #0x2a0
0xfffffff008704278: ac018c1a  csel	w12, w13, w12, eq
0xfffffff00870427c: ee3f00b9  str	w14, [sp, #0x3c]
0xfffffff008704280: df010071  cmp	w14, #0
0xfffffff008704284: 0d088252  mov	w13, #0x1040
0xfffffff008704288: 0e088052  mov	w14, #0x40
0xfffffff00870428c: cd018d1a  csel	w13, w14, w13, eq
0xfffffff008704290: 6d011633  bfi	w13, w11, #0xa, #1
0xfffffff008704294: ab010c2a  orr	w11, w13, w12
