; Candidate 3891
; ADRP+ADD at VM 0xfffffff00876f8e0 (fileoff 0x176b8e0): page=0x1fe9c2000 add_imm=0xd90

0xfffffff00876f860: 5f2403d5  bti	c
0xfffffff00876f864: 00008052  mov	w0, #0
0xfffffff00876f868: c0035fd6  ret	
0xfffffff00876f86c: 7f2303d5  pacibsp	
0xfffffff00876f870: ffc300d1  sub	sp, sp, #0x30
0xfffffff00876f874: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00876f878: fd830091  add	x29, sp, #0x20
0xfffffff00876f87c: a8068052  mov	w8, #0x35
0xfffffff00876f880: 094fff90  adrp	x9, #0xfffffff00714f000
0xfffffff00876f884: 29911391  add	x9, x9, #0x4e4
0xfffffff00876f888: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00876f88c: e00300f9  str	x0, [sp]
0xfffffff00876f890: 004fff90  adrp	x0, #0xfffffff00714f000
0xfffffff00876f894: 00601391  add	x0, x0, #0x4d8
0xfffffff00876f898: 1d93f497  bl	#0xfffffff00849450c
0xfffffff00876f89c: 7f2303d5  pacibsp	
0xfffffff00876f8a0: ff8302d1  sub	sp, sp, #0xa0
0xfffffff00876f8a4: fc6f04a9  stp	x28, x27, [sp, #0x40]
0xfffffff00876f8a8: fa6705a9  stp	x26, x25, [sp, #0x50]
0xfffffff00876f8ac: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff00876f8b0: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff00876f8b4: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff00876f8b8: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff00876f8bc: fd430291  add	x29, sp, #0x90
0xfffffff00876f8c0: f50303aa  mov	x21, x3
0xfffffff00876f8c4: f80301aa  mov	x24, x1
0xfffffff00876f8c8: f60300aa  mov	x22, x0
0xfffffff00876f8cc: 5c400091  add	x28, x2, #0x10
0xfffffff00876f8d0: 331c0091  add	x19, x1, #7
0xfffffff00876f8d4: 77fe43d3  lsr	x23, x19, #3
0xfffffff00876f8d8: e21f00f9  str	x2, [sp, #0x38]
0xfffffff00876f8dc: e25f00a9  stp	x2, x23, [sp]
0xfffffff00876f8e0: 004effd0  adrp	x0, #0xfffffff007131000
0xfffffff00876f8e4: 00403691  add	x0, x0, #0xd90
0xfffffff00876f8e8: 6194ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876f8ec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876f8f0: a34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876f8f4: 63942691  add	x3, x3, #0x9a5
0xfffffff00876f8f8: 02008052  mov	w2, #0
0xfffffff00876f8fc: 0d0eef97  bl	#0xfffffff008333130
0xfffffff00876f900: 7f2200f1  cmp	x19, #8
0xfffffff00876f904: 430d0054  b.lo	#0xfffffff00876faac
0xfffffff00876f908: f85702a9  stp	x24, x21, [sp, #0x20]
0xfffffff00876f90c: 150080d2  mov	x21, #0
0xfffffff00876f910: 190080d2  mov	x25, #0
0xfffffff00876f914: 08008052  mov	w8, #0
0xfffffff00876f918: 1a0080d2  mov	x26, #0
0xfffffff00876f91c: ff0600f1  cmp	x23, #1
0xfffffff00876f920: f70f00f9  str	x23, [sp, #0x18]
0xfffffff00876f924: f3869f9a  csinc	x19, x23, xzr, hi
0xfffffff00876f928: 184effd0  adrp	x24, #0xfffffff007131000
0xfffffff00876f92c: 18433691  add	x24, x24, #0xd90
0xfffffff00876f930: 7494ffd0  adrp	x20, #0xfffffff0079fd000
0xfffffff00876f934: 94de41f9  ldr	x20, [x20, #0x3b8]
0xfffffff00876f938: f31b00f9  str	x19, [sp, #0x30]
0xfffffff00876f93c: db7a79f8  ldr	x27, [x22, x25, lsl #3]
0xfffffff00876f940: 5b0100b4  cbz	x27, #0xfffffff00876f968
0xfffffff00876f944: c8050037  tbnz	w8, #0, #0xfffffff00876f9fc
0xfffffff00876f948: e00318aa  mov	x0, x24
0xfffffff00876f94c: e10314aa  mov	x1, x20
0xfffffff00876f950: 02008052  mov	w2, #0
0xfffffff00876f954: a34eff90  adrp	x3, #0xfffffff007143000
0xfffffff00876f958: 63782991  add	x3, x3, #0xa5e
0xfffffff00876f95c: f50def97  bl	#0xfffffff008333130
