; Candidate 11468
; ADRP+ADD at VM 0xfffffff008f54a4c (fileoff 0x1f50a4c): page=0x1fe4ca000 add_imm=0xd35

0xfffffff008f549cc: 001c3391  add	x0, x0, #0xcc7
0xfffffff008f549d0: 9409d097  bl	#0xfffffff008357020
0xfffffff008f549d4: 8affff17  b	#0xfffffff008f547fc
0xfffffff008f549d8: e02300a9  stp	x0, x8, [sp]
0xfffffff008f549dc: 4026ffd0  adrp	x0, #0xfffffff00741e000
0xfffffff008f549e0: 00403491  add	x0, x0, #0xd10
0xfffffff008f549e4: 8f09d097  bl	#0xfffffff008357020
0xfffffff008f549e8: 68a24339  ldrb	w8, [x19, #0xe8]
0xfffffff008f549ec: 88f0ff35  cbnz	w8, #0xfffffff008f547fc
0xfffffff008f549f0: 755240f9  ldr	x21, [x19, #0xa0]
0xfffffff008f549f4: 700240f9  ldr	x16, [x19]
0xfffffff008f549f8: f10313aa  mov	x17, x19
0xfffffff008f549fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f54a00: 301ac1da  autda	x16, x17
0xfffffff008f54a04: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f54a08: e90310aa  mov	x9, x16
0xfffffff008f54a0c: e00313aa  mov	x0, x19
0xfffffff008f54a10: f10309aa  mov	x17, x9
0xfffffff008f54a14: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f54a18: 11093fd7  blraa	x8, x17
0xfffffff008f54a1c: cf3fce97  bl	#0xfffffff0082e4958
0xfffffff008f54a20: 4826ffd0  adrp	x8, #0xfffffff00741e000
0xfffffff008f54a24: 08b53391  add	x8, x8, #0xced
0xfffffff008f54a28: 150100b4  cbz	x21, #0xfffffff008f54a48
0xfffffff008f54a2c: e02300a9  stp	x0, x8, [sp]
0xfffffff008f54a30: 4226ffd0  adrp	x2, #0xfffffff00741e000
0xfffffff008f54a34: 42d43491  add	x2, x2, #0xd35
0xfffffff008f54a38: e00315aa  mov	x0, x21
0xfffffff008f54a3c: 21008052  mov	w1, #1
0xfffffff008f54a40: 01bf4094  bl	#0xfffffff009f84644
0xfffffff008f54a44: 05000014  b	#0xfffffff008f54a58
0xfffffff008f54a48: e02300a9  stp	x0, x8, [sp]
0xfffffff008f54a4c: 4026ffd0  adrp	x0, #0xfffffff00741e000
0xfffffff008f54a50: 00d43491  add	x0, x0, #0xd35
0xfffffff008f54a54: 7309d097  bl	#0xfffffff008357020
0xfffffff008f54a58: 606640f9  ldr	x0, [x19, #0xc8]
0xfffffff008f54a5c: 100040f9  ldr	x16, [x0]
0xfffffff008f54a60: f10300aa  mov	x17, x0
0xfffffff008f54a64: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f54a68: 301ac1da  autda	x16, x17
0xfffffff008f54a6c: 115480d2  mov	x17, #0x2a0
0xfffffff008f54a70: 1002118b  add	x16, x16, x17
0xfffffff008f54a74: 080240f9  ldr	x8, [x16]
0xfffffff008f54a78: e90310aa  mov	x9, x16
0xfffffff008f54a7c: 01018052  mov	w1, #8
0xfffffff008f54a80: f10309aa  mov	x17, x9
0xfffffff008f54a84: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff008f54a88: 11093fd7  blraa	x8, x17
0xfffffff008f54a8c: 5cffff17  b	#0xfffffff008f547fc
0xfffffff008f54a90: 7f2303d5  pacibsp	
0xfffffff008f54a94: ff4301d1  sub	sp, sp, #0x50
0xfffffff008f54a98: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008f54a9c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008f54aa0: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008f54aa4: fd030191  add	x29, sp, #0x40
0xfffffff008f54aa8: 131040f9  ldr	x19, [x0, #0x20]
0xfffffff008f54aac: 28008052  mov	w8, #1
0xfffffff008f54ab0: 683201b9  str	w8, [x19, #0x130]
0xfffffff008f54ab4: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff008f54ab8: 100040f9  ldr	x16, [x0]
0xfffffff008f54abc: f10300aa  mov	x17, x0
0xfffffff008f54ac0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f54ac4: 301ac1da  autda	x16, x17
0xfffffff008f54ac8: 080e4df8  ldr	x8, [x16, #0xd0]!
