; Candidate 3772
; ADRP+ADD at VM 0xfffffff00875b858 (fileoff 0x1757858): page=0x1fe9d6000 add_imm=0xd90

0xfffffff00875b7d8: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00875b7dc: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00875b7e0: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00875b7e4: ff030291  add	sp, sp, #0x80
0xfffffff00875b7e8: ff0f5fd6  retab	
0xfffffff00875b7ec: 7f2303d5  pacibsp	
0xfffffff00875b7f0: ff8301d1  sub	sp, sp, #0x60
0xfffffff00875b7f4: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00875b7f8: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00875b7fc: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00875b800: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00875b804: fd430191  add	x29, sp, #0x50
0xfffffff00875b808: f30300aa  mov	x19, x0
0xfffffff00875b80c: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff00875b810: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff00875b814: c80100b4  cbz	x8, #0xfffffff00875b84c
0xfffffff00875b818: f50301aa  mov	x21, x1
0xfffffff00875b81c: 68324139  ldrb	w8, [x19, #0x4c]
0xfffffff00875b820: 48050034  cbz	w8, #0xfffffff00875b8c8
0xfffffff00875b824: 684a40b9  ldr	w8, [x19, #0x48]
0xfffffff00875b828: 1f050031  cmn	w8, #1
0xfffffff00875b82c: e0020054  b.eq	#0xfffffff00875b888
0xfffffff00875b830: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00875b834: a00200b4  cbz	x0, #0xfffffff00875b888
0xfffffff00875b838: 136cfd97  bl	#0xfffffff0086b6884
0xfffffff00875b83c: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00875b840: 4c6cfd97  bl	#0xfffffff0086b6970
0xfffffff00875b844: f40300aa  mov	x20, x0
0xfffffff00875b848: 11000014  b	#0xfffffff00875b88c
0xfffffff00875b84c: a84fffb0  adrp	x8, #0xfffffff007150000
0xfffffff00875b850: 08c12c91  add	x8, x8, #0xb30
0xfffffff00875b854: e80300f9  str	x8, [sp]
0xfffffff00875b858: a04effd0  adrp	x0, #0xfffffff007131000
0xfffffff00875b85c: 00403691  add	x0, x0, #0xd90
0xfffffff00875b860: 0195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875b864: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875b868: 234fffd0  adrp	x3, #0xfffffff007141000
0xfffffff00875b86c: 63b03491  add	x3, x3, #0xd2c
0xfffffff00875b870: 02008052  mov	w2, #0
0xfffffff00875b874: 2f5eef97  bl	#0xfffffff008333130
0xfffffff00875b878: 14008052  mov	w20, #0
0xfffffff00875b87c: 08008012  mov	w8, #-1
0xfffffff00875b880: 684a00b9  str	w8, [x19, #0x48]
0xfffffff00875b884: 4c000014  b	#0xfffffff00875b9b4
0xfffffff00875b888: 14008052  mov	w20, #0
0xfffffff00875b88c: 9f02156b  cmp	w20, w21
0xfffffff00875b890: 22090054  b.hs	#0xfffffff00875b9b4
0xfffffff00875b894: f4d700a9  stp	x20, x21, [sp, #8]
0xfffffff00875b898: a84fffb0  adrp	x8, #0xfffffff007150000
0xfffffff00875b89c: 08c12c91  add	x8, x8, #0xb30
0xfffffff00875b8a0: e80300f9  str	x8, [sp]
0xfffffff00875b8a4: a04effd0  adrp	x0, #0xfffffff007131000
0xfffffff00875b8a8: 00403691  add	x0, x0, #0xd90
0xfffffff00875b8ac: 0195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875b8b0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875b8b4: 234fffd0  adrp	x3, #0xfffffff007141000
0xfffffff00875b8b8: 63043a91  add	x3, x3, #0xe81
0xfffffff00875b8bc: 02008052  mov	w2, #0
0xfffffff00875b8c0: 1c5eef97  bl	#0xfffffff008333130
0xfffffff00875b8c4: 3c000014  b	#0xfffffff00875b9b4
0xfffffff00875b8c8: a0008052  mov	w0, #5
0xfffffff00875b8cc: e10315aa  mov	x1, x21
0xfffffff00875b8d0: 1e6dfd97  bl	#0xfffffff0086b6d48
0xfffffff00875b8d4: 400500b4  cbz	x0, #0xfffffff00875b97c
