; Candidate 3279
; ADRP+ADD at VM 0xfffffff008727dbc (fileoff 0x1723dbc): page=0x1fea0a000 add_imm=0xd90

0xfffffff008727d3c: e9a302a9  stp	x9, x8, [sp, #0x28]
0xfffffff008727d40: 6851fff0  adrp	x8, #0xfffffff007156000
0xfffffff008727d44: 08710b91  add	x8, x8, #0x2dc
0xfffffff008727d48: 6a51fff0  adrp	x10, #0xfffffff007156000
0xfffffff008727d4c: 4a190e91  add	x10, x10, #0x386
0xfffffff008727d50: e8d701a9  stp	x8, x21, [sp, #0x18]
0xfffffff008727d54: 88d38152  mov	w8, #0xe9c
0xfffffff008727d58: 6951fff0  adrp	x9, #0xfffffff007156000
0xfffffff008727d5c: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008727d60: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff008727d64: e90300f9  str	x9, [sp]
0xfffffff008727d68: 4050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008727d6c: 00403691  add	x0, x0, #0xd90
0xfffffff008727d70: a196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008727d74: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008727d78: 8350fff0  adrp	x3, #0xfffffff00713a000
0xfffffff008727d7c: 63100091  add	x3, x3, #4
0xfffffff008727d80: 02008052  mov	w2, #0
0xfffffff008727d84: eb2cf097  bl	#0xfffffff008333130
0xfffffff008727d88: 00008052  mov	w0, #0
0xfffffff008727d8c: 25ffff17  b	#0xfffffff008727a20
0xfffffff008727d90: 4901004b  sub	w9, w10, w0
0xfffffff008727d94: 1f01096b  cmp	w8, w9
0xfffffff008727d98: 69020054  b.ls	#0xfffffff008727de4
0xfffffff008727d9c: 6a51fff0  adrp	x10, #0xfffffff007156000
0xfffffff008727da0: 4acd0e91  add	x10, x10, #0x3b3
0xfffffff008727da4: ff2702a9  stp	xzr, x9, [sp, #0x20]
0xfffffff008727da8: ea2301a9  stp	x10, x8, [sp, #0x10]
0xfffffff008727dac: e8d58152  mov	w8, #0xeaf
0xfffffff008727db0: 6951fff0  adrp	x9, #0xfffffff007156000
0xfffffff008727db4: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008727db8: e92300a9  stp	x9, x8, [sp]
0xfffffff008727dbc: 4050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008727dc0: 00403691  add	x0, x0, #0xd90
0xfffffff008727dc4: a196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008727dc8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008727dcc: 8350fff0  adrp	x3, #0xfffffff00713a000
0xfffffff008727dd0: 637c0691  add	x3, x3, #0x19f
0xfffffff008727dd4: 02008052  mov	w2, #0
0xfffffff008727dd8: d62cf097  bl	#0xfffffff008333130
0xfffffff008727ddc: 00008052  mov	w0, #0
0xfffffff008727de0: 10ffff17  b	#0xfffffff008727a20
0xfffffff008727de4: e92f40f9  ldr	x9, [sp, #0x58]
0xfffffff008727de8: 290140b9  ldr	w9, [x9]
0xfffffff008727dec: 0b008052  mov	w11, #0
0xfffffff008727df0: 29050071  subs	w9, w9, #1
0xfffffff008727df4: c0000054  b.eq	#0xfffffff008727e0c
0xfffffff008727df8: 2a7d0153  lsr	w10, w9, #1
0xfffffff008727dfc: 6b050011  add	w11, w11, #1
0xfffffff008727e00: 3f050071  cmp	w9, #1
0xfffffff008727e04: e9030aaa  mov	x9, x10
0xfffffff008727e08: 88ffff54  b.hi	#0xfffffff008727df8
0xfffffff008727e0c: eb4700b9  str	w11, [sp, #0x44]
0xfffffff008727e10: 1f00082b  cmn	w0, w8
0xfffffff008727e14: f83f40f9  ldr	x24, [sp, #0x78]
0xfffffff008727e18: b9035af8  ldur	x25, [x29, #-0x60]
0xfffffff008727e1c: ab0358f8  ldur	x11, [x29, #-0x80]
0xfffffff008727e20: 40110054  b.eq	#0xfffffff008728048
0xfffffff008727e24: 0c0080d2  mov	x12, #0
0xfffffff008727e28: 89038052  mov	w9, #0x1c
0xfffffff008727e2c: ea8b40b9  ldr	w10, [sp, #0x88]
0xfffffff008727e30: 29010a4b  sub	w9, w9, w10
0xfffffff008727e34: e95700b9  str	w9, [sp, #0x54]
0xfffffff008727e38: 09048052  mov	w9, #0x20
