; Candidate 424
; ADRP+ADD at VM 0xfffffff007f07200 (fileoff 0xf03200): page=0x2335000 add_imm=0xdc8

0xfffffff007f07180: 680e00f9  str	x8, [x19, #0x18]
0xfffffff007f07184: 685240b9  ldr	w8, [x19, #0x50]
0xfffffff007f07188: 0c000014  b	#0xfffffff007f071b8
0xfffffff007f0718c: a81701d0  adrp	x8, #0xfffffff00a1fd000
0xfffffff007f07190: 09d941f9  ldr	x9, [x8, #0x3b0]
0xfffffff007f07194: 7f2601a9  stp	xzr, x9, [x19, #0x10]
0xfffffff007f07198: 330100f9  str	x19, [x9]
0xfffffff007f0719c: 14d901f9  str	x20, [x8, #0x3b0]
0xfffffff007f071a0: 685240b9  ldr	w8, [x19, #0x50]
0xfffffff007f071a4: a8001836  tbz	w8, #3, #0xfffffff007f071b8
0xfffffff007f071a8: a91701d0  adrp	x9, #0xfffffff00a1fd000
0xfffffff007f071ac: 2afd41f9  ldr	x10, [x9, #0x3f8]
0xfffffff007f071b0: 4a050091  add	x10, x10, #1
0xfffffff007f071b4: 2afd01f9  str	x10, [x9, #0x3f8]
0xfffffff007f071b8: 08011f32  orr	w8, w8, #2
0xfffffff007f071bc: 685200b9  str	w8, [x19, #0x50]
0xfffffff007f071c0: a81701d0  adrp	x8, #0xfffffff00a1fd000
0xfffffff007f071c4: 092942f9  ldr	x9, [x8, #0x450]
0xfffffff007f071c8: 29050091  add	x9, x9, #1
0xfffffff007f071cc: 092902f9  str	x9, [x8, #0x450]
0xfffffff007f071d0: a81701d0  adrp	x8, #0xfffffff00a1fd000
0xfffffff007f071d4: 092144b9  ldr	w9, [x8, #0x420]
0xfffffff007f071d8: e9010034  cbz	w9, #0xfffffff007f07214
0xfffffff007f071dc: 29050051  sub	w9, w9, #1
0xfffffff007f071e0: 092104b9  str	w9, [x8, #0x420]
0xfffffff007f071e4: 34008052  mov	w20, #1
0xfffffff007f071e8: 685e4139  ldrb	w8, [x19, #0x57]
0xfffffff007f071ec: a8010036  tbz	w8, #0, #0xfffffff007f07220
0xfffffff007f071f0: a81701d0  adrp	x8, #0xfffffff00a1fd000
0xfffffff007f071f4: 08c10f91  add	x8, x8, #0x3f0
0xfffffff007f071f8: 09008092  mov	x9, #-1
0xfffffff007f071fc: 080129f8  ldadd	x9, x8, [x8]
0xfffffff007f07200: a01901b0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f07204: 00203791  add	x0, x0, #0xdc8
0xfffffff007f07208: 5fa2fa97  bl	#0xfffffff007dafb84
0xfffffff007f0720c: 34010037  tbnz	w20, #0, #0xfffffff007f07230
0xfffffff007f07210: e1feff17  b	#0xfffffff007f06d94
0xfffffff007f07214: 14008052  mov	w20, #0
0xfffffff007f07218: 685e4139  ldrb	w8, [x19, #0x57]
0xfffffff007f0721c: a8fe0737  tbnz	w8, #0, #0xfffffff007f071f0
0xfffffff007f07220: a01901b0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f07224: 00203791  add	x0, x0, #0xdc8
0xfffffff007f07228: 57a2fa97  bl	#0xfffffff007dafb84
0xfffffff007f0722c: 54dbff34  cbz	w20, #0xfffffff007f06d94
0xfffffff007f07230: a01701d0  adrp	x0, #0xfffffff00a1fd000
0xfffffff007f07234: 00801091  add	x0, x0, #0x420
0xfffffff007f07238: 21008052  mov	w1, #1
0xfffffff007f0723c: 02008052  mov	w2, #0
0xfffffff007f07240: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff007f07244: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff007f07248: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff007f0724c: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff007f07250: ff830191  add	sp, sp, #0x60
0xfffffff007f07254: ff2303d5  autibsp	
0xfffffff007f07258: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007f0725c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007f07264
0xfffffff007f07260: 208e38d4  brk	#0xc471
0xfffffff007f07264: 35f4fa17  b	#0xfffffff007dc4338
0xfffffff007f07268: 693e8152  mov	w9, #0x9f3
0xfffffff007f0726c: 0c000014  b	#0xfffffff007f0729c
0xfffffff007f07270: 683f8352  mov	w8, #0x19fb
0xfffffff007f07274: a98affd0  adrp	x9, #0xfffffff00705d000
0xfffffff007f07278: 29410791  add	x9, x9, #0x1d0
0xfffffff007f0727c: e9a300a9  stp	x9, x8, [sp, #8]
