; Candidate 16357
; ADRP+ADD at VM 0xfffffff009e6d4b8 (fileoff 0x2e694b8): page=0x1fd9c2000 add_imm=0xe64

0xfffffff009e6d438: 28071232  orr	w8, w25, #0xc000
0xfffffff009e6d43c: e82f02b9  str	w8, [sp, #0x22c]
0xfffffff009e6d440: 682b51a9  ldp	x8, x10, [x27, #0x110]
0xfffffff009e6d444: 017d099b  mul	x1, x8, x9
0xfffffff009e6d448: 427d099b  mul	x2, x10, x9
0xfffffff009e6d44c: e00315aa  mov	x0, x21
0xfffffff009e6d450: e0370094  bl	#0xfffffff009e7b3d0
0xfffffff009e6d454: 570340f9  ldr	x23, [x26]
0xfffffff009e6d458: e86a42f9  ldr	x8, [x23, #0x4d0]
0xfffffff009e6d45c: 99018852  mov	w25, #0x400c
0xfffffff009e6d460: 1901bc72  movk	w25, #0xe008, lsl #16
0xfffffff009e6d464: e80300b4  cbz	x8, #0xfffffff009e6d4e0
0xfffffff009e6d468: 080540f9  ldr	x8, [x8, #8]
0xfffffff009e6d46c: a80300b4  cbz	x8, #0xfffffff009e6d4e0
0xfffffff009e6d470: e00317aa  mov	x0, x23
0xfffffff009e6d474: 510f86d2  mov	x17, #0x307a
0xfffffff009e6d478: 11093fd7  blraa	x8, x17
0xfffffff009e6d47c: e8ea44b9  ldr	w8, [x23, #0x4e8]
0xfffffff009e6d480: 087c089b  mul	x8, x0, x8
0xfffffff009e6d484: e9ee44b9  ldr	w9, [x23, #0x4ec]
0xfffffff009e6d488: 0809c99a  udiv	x8, x8, x9
0xfffffff009e6d48c: e88602f9  str	x8, [x23, #0x508]
0xfffffff009e6d490: 14000014  b	#0xfffffff009e6d4e0
0xfffffff009e6d494: 288b42f9  ldr	x8, [x25, #0x510]
0xfffffff009e6d498: f86f03a9  stp	x24, x27, [sp, #0x30]
0xfffffff009e6d49c: fc6b02a9  stp	x28, x26, [sp, #0x20]
0xfffffff009e6d4a0: 09cefed0  adrp	x9, #0xfffffff00782f000
0xfffffff009e6d4a4: 29b53a91  add	x9, x9, #0xead
0xfffffff009e6d4a8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009e6d4ac: 08cefed0  adrp	x8, #0xfffffff00782f000
0xfffffff009e6d4b0: 08f93791  add	x8, x8, #0xdfe
0xfffffff009e6d4b4: 89658252  mov	w9, #0x132c
0xfffffff009e6d4b8: 00cefed0  adrp	x0, #0xfffffff00782f000
0xfffffff009e6d4bc: 00903991  add	x0, x0, #0xe64
0xfffffff009e6d4c0: e82700a9  stp	x8, x9, [sp]
0xfffffff009e6d4c4: 00490094  bl	#0xfffffff009e7f8c4
0xfffffff009e6d4c8: 48588052  mov	w8, #0x2c2
0xfffffff009e6d4cc: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff009e6d4d0: e82f02b9  str	w8, [sp, #0x22c]
0xfffffff009e6d4d4: f81341f9  ldr	x24, [sp, #0x220]
0xfffffff009e6d4d8: 99018852  mov	w25, #0x400c
0xfffffff009e6d4dc: 1901bc72  movk	w25, #0xe008, lsl #16
0xfffffff009e6d4e0: b00240f9  ldr	x16, [x21]
0xfffffff009e6d4e4: f10315aa  mov	x17, x21
0xfffffff009e6d4e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009e6d4ec: 301ac1da  autda	x16, x17
0xfffffff009e6d4f0: 118680d2  mov	x17, #0x430
0xfffffff009e6d4f4: 1002118b  add	x16, x16, x17
0xfffffff009e6d4f8: 080240f9  ldr	x8, [x16]
0xfffffff009e6d4fc: e90310aa  mov	x9, x16
0xfffffff009e6d500: 21070011  add	w1, w25, #1
0xfffffff009e6d504: e00315aa  mov	x0, x21
0xfffffff009e6d508: e20318aa  mov	x2, x24
0xfffffff009e6d50c: 030080d2  mov	x3, #0
0xfffffff009e6d510: f10309aa  mov	x17, x9
0xfffffff009e6d514: 9178ecf2  movk	x17, #0x63c4, lsl #48
0xfffffff009e6d518: 11093fd7  blraa	x8, x17
0xfffffff009e6d51c: f6feff17  b	#0xfffffff009e6d0f4
0xfffffff009e6d520: 896640f9  ldr	x9, [x20, #0xc8]
0xfffffff009e6d524: 2a8942f9  ldr	x10, [x9, #0x510]
0xfffffff009e6d528: f9a301a9  stp	x25, x8, [sp, #0x18]
0xfffffff009e6d52c: 08cefed0  adrp	x8, #0xfffffff00782f000
0xfffffff009e6d530: 08f93791  add	x8, x8, #0xdfe
0xfffffff009e6d534: 69628252  mov	w9, #0x1313
