; Candidate 6473
; ADRP+ADD at VM 0xfffffff00882d894 (fileoff 0x1829894): page=0x1fe9bc000 add_imm=0xe80

0xfffffff00882d814: fc2300a9  stp	x28, x8, [sp]
0xfffffff00882d818: a04fffb0  adrp	x0, #0xfffffff007222000
0xfffffff00882d81c: 00581491  add	x0, x0, #0x516
0xfffffff00882d820: 1027d697  bl	#0xfffffff007db7460
0xfffffff00882d824: 24000014  b	#0xfffffff00882d8b4
0xfffffff00882d828: ff0640b9  ldr	wzr, [x23, #4]
0xfffffff00882d82c: 601a0294  bl	#0xfffffff0088b41ac
0xfffffff00882d830: f50300aa  mov	x21, x0
0xfffffff00882d834: e0008052  mov	w0, #7
0xfffffff00882d838: 06380194  bl	#0xfffffff00887b850
0xfffffff00882d83c: e8031aaa  mov	x8, x26
0xfffffff00882d840: e90240b9  ldr	w9, [x23]
0xfffffff00882d844: ea0640b9  ldr	w10, [x23, #4]
0xfffffff00882d848: eb0a40b9  ldr	w11, [x23, #8]
0xfffffff00882d84c: ec3e40b9  ldr	w12, [x23, #0x3c]
0xfffffff00882d850: ed3a4229  ldp	w13, w14, [x23, #0x10]
0xfffffff00882d854: 8f1240b9  ldr	w15, [x20, #0x10]
0xfffffff00882d858: f00316aa  mov	x16, x22
0xfffffff00882d85c: f02307a9  stp	x16, x8, [sp, #0x70]
0xfffffff00882d860: ee3f06a9  stp	x14, x15, [sp, #0x60]
0xfffffff00882d864: ed3305a9  stp	x13, x12, [sp, #0x50]
0xfffffff00882d868: ea2f04a9  stp	x10, x11, [sp, #0x40]
0xfffffff00882d86c: f72703a9  stp	x23, x9, [sp, #0x30]
0xfffffff00882d870: e80318aa  mov	x8, x24
0xfffffff00882d874: e81700f9  str	x8, [sp, #0x28]
0xfffffff00882d878: a8508052  mov	w8, #0x285
0xfffffff00882d87c: e81300f9  str	x8, [sp, #0x20]
0xfffffff00882d880: a84fffb0  adrp	x8, #0xfffffff007222000
0xfffffff00882d884: 086d1591  add	x8, x8, #0x55b
0xfffffff00882d888: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00882d88c: 480f8052  mov	w8, #0x7a
0xfffffff00882d890: f52300a9  stp	x21, x8, [sp]
0xfffffff00882d894: e04dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00882d898: 00003a91  add	x0, x0, #0xe80
0xfffffff00882d89c: c18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff00882d8a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882d8a4: 02008052  mov	w2, #0
0xfffffff00882d8a8: e350fff0  adrp	x3, #0xfffffff00724c000
0xfffffff00882d8ac: 63dc2191  add	x3, x3, #0x877
0xfffffff00882d8b0: 2016ec97  bl	#0xfffffff008333130
0xfffffff00882d8b4: 881240b9  ldr	w8, [x20, #0x10]
0xfffffff00882d8b8: df02086b  cmp	w22, w8
0xfffffff00882d8bc: 5ab39f1a  csel	w26, w26, wzr, lt
0xfffffff00882d8c0: e0031baa  mov	x0, x27
0xfffffff00882d8c4: 84070094  bl	#0xfffffff00882f6d4
0xfffffff00882d8c8: 97ffff17  b	#0xfffffff00882d724
0xfffffff00882d8cc: 400f8052  mov	w0, #0x7a
0xfffffff00882d8d0: 01018052  mov	w1, #8
0xfffffff00882d8d4: bf370194  bl	#0xfffffff00887b7d0
0xfffffff00882d8d8: b78357f8  ldur	x23, [x29, #-0x88]
0xfffffff00882d8dc: c0060034  cbz	w0, #0xfffffff00882d9b4
0xfffffff00882d8e0: 400f8052  mov	w0, #0x7a
0xfffffff00882d8e4: cd370194  bl	#0xfffffff00887b818
0xfffffff00882d8e8: f50300aa  mov	x21, x0
0xfffffff00882d8ec: 301a0294  bl	#0xfffffff0088b41ac
0xfffffff00882d8f0: fb0300aa  mov	x27, x0
0xfffffff00882d8f4: 00018052  mov	w0, #8
0xfffffff00882d8f8: d6370194  bl	#0xfffffff00887b850
0xfffffff00882d8fc: 75020034  cbz	w21, #0xfffffff00882d948
0xfffffff00882d900: 881240b9  ldr	w8, [x20, #0x10]
0xfffffff00882d904: e90316aa  mov	x9, x22
0xfffffff00882d908: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff00882d90c: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff00882d910: e85f03a9  stp	x8, x23, [sp, #0x30]
