; Candidate 8323
; ADRP+ADD at VM 0xfffffff0088a3600 (fileoff 0x189f600): page=0x1fe946000 add_imm=0xe80

0xfffffff0088a3580: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0088a3584: 684cffd0  adrp	x8, #0xfffffff007231000
0xfffffff0088a3588: 09013a91  add	x9, x8, #0xe80
0xfffffff0088a358c: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a3590: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a3594: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a3598: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088a359c: 680f8052  mov	w8, #0x7b
0xfffffff0088a35a0: 604cffd0  adrp	x0, #0xfffffff007231000
0xfffffff0088a35a4: 00d83d91  add	x0, x0, #0xf76
0xfffffff0088a35a8: f82300a9  stp	x24, x8, [sp]
0xfffffff0088a35ac: ad4fd497  bl	#0xfffffff007db7460
0xfffffff0088a35b0: 1a000014  b	#0xfffffff0088a3618
0xfffffff0088a35b4: fe420094  bl	#0xfffffff0088b41ac
0xfffffff0088a35b8: f80300aa  mov	x24, x0
0xfffffff0088a35bc: e0008052  mov	w0, #7
0xfffffff0088a35c0: a460ff97  bl	#0xfffffff00887b850
0xfffffff0088a35c4: e80317aa  mov	x8, x23
0xfffffff0088a35c8: 690240b9  ldr	w9, [x19]
0xfffffff0088a35cc: f5a304a9  stp	x21, x8, [sp, #0x48]
0xfffffff0088a35d0: f4db03a9  stp	x20, x22, [sp, #0x38]
0xfffffff0088a35d4: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff0088a35d8: 684cffd0  adrp	x8, #0xfffffff007231000
0xfffffff0088a35dc: 0a013a91  add	x10, x8, #0xe80
0xfffffff0088a35e0: 684cfff0  adrp	x8, #0xfffffff007232000
0xfffffff0088a35e4: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a35e8: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0088a35ec: 680f8052  mov	w8, #0x7b
0xfffffff0088a35f0: e34dffd0  adrp	x3, #0xfffffff007261000
0xfffffff0088a35f4: 63503e91  add	x3, x3, #0xf94
0xfffffff0088a35f8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a35fc: f80300f9  str	x24, [sp]
0xfffffff0088a3600: 204affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a3604: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a3608: 218bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a360c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a3610: 02008052  mov	w2, #0
0xfffffff0088a3614: c73eea97  bl	#0xfffffff008333130
0xfffffff0088a3618: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088a361c: 298bffb0  adrp	x9, #0xfffffff007a08000
0xfffffff0088a3620: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff0088a3624: 290140f9  ldr	x9, [x9]
0xfffffff0088a3628: 3f0108eb  cmp	x9, x8
0xfffffff0088a362c: a1040054  b.ne	#0xfffffff0088a36c0
0xfffffff0088a3630: e00317aa  mov	x0, x23
0xfffffff0088a3634: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff0088a3638: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff0088a363c: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff0088a3640: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff0088a3644: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff0088a3648: fc6f49a9  ldp	x28, x27, [sp, #0x90]
0xfffffff0088a364c: ffc30391  add	sp, sp, #0xf0
0xfffffff0088a3650: ff0f5fd6  retab	
0xfffffff0088a3654: d6420094  bl	#0xfffffff0088b41ac
0xfffffff0088a3658: f70300aa  mov	x23, x0
0xfffffff0088a365c: 00018052  mov	w0, #8
0xfffffff0088a3660: 7c60ff97  bl	#0xfffffff00887b850
0xfffffff0088a3664: 680240b9  ldr	w8, [x19]
0xfffffff0088a3668: e9830191  add	x9, sp, #0x60
0xfffffff0088a366c: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff0088a3670: 682c8052  mov	w8, #0x163
0xfffffff0088a3674: 694cffd0  adrp	x9, #0xfffffff007231000
0xfffffff0088a3678: 29013a91  add	x9, x9, #0xe80
0xfffffff0088a367c: e8cf02a9  stp	x8, x19, [sp, #0x28]
