; Candidate 3554
; ADRP+ADD at VM 0xfffffff008745910 (fileoff 0x1741910): page=0x1fe9ec000 add_imm=0xd90

0xfffffff008745890: 88578052  mov	w8, #0x2bc
0xfffffff008745894: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008745898: 18010032  orr	w24, w8, #1
0xfffffff00874589c: 71040014  b	#0xfffffff008746a60
0xfffffff0087458a0: 9f2403d5  bti	j
0xfffffff0087458a4: a20240f9  ldr	x2, [x21]
0xfffffff0087458a8: 60808052  mov	w0, #0x403
0xfffffff0087458ac: e1031baa  mov	x1, x27
0xfffffff0087458b0: c6e5f197  bl	#0xfffffff0083befc8
0xfffffff0087458b4: c02d00b4  cbz	x0, #0xfffffff008745e6c
0xfffffff0087458b8: f50300aa  mov	x21, x0
0xfffffff0087458bc: b03bf297  bl	#0xfffffff0083d477c
0xfffffff0087458c0: 01000032  orr	w1, w0, #1
0xfffffff0087458c4: e00315aa  mov	x0, x21
0xfffffff0087458c8: aa3bf297  bl	#0xfffffff0083d4770
0xfffffff0087458cc: b00240f9  ldr	x16, [x21]
0xfffffff0087458d0: f10315aa  mov	x17, x21
0xfffffff0087458d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087458d8: 301ac1da  autda	x16, x17
0xfffffff0087458dc: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0087458e0: e90310aa  mov	x9, x16
0xfffffff0087458e4: e00315aa  mov	x0, x21
0xfffffff0087458e8: 01008052  mov	w1, #0
0xfffffff0087458ec: f10309aa  mov	x17, x9
0xfffffff0087458f0: 71b6fef2  movk	x17, #0xf5b3, lsl #48
0xfffffff0087458f4: 11093fd7  blraa	x8, x17
0xfffffff0087458f8: 203e0034  cbz	w0, #0xfffffff0087460bc
0xfffffff0087458fc: 98578052  mov	w24, #0x2bc
0xfffffff008745900: 1800bc72  movk	w24, #0xe000, lsl #16
0xfffffff008745904: 8850ffd0  adrp	x8, #0xfffffff007157000
0xfffffff008745908: 08893791  add	x8, x8, #0xde2
0xfffffff00874590c: e80300a9  stp	x8, x0, [sp]
0xfffffff008745910: 604fff90  adrp	x0, #0xfffffff007131000
0xfffffff008745914: 00403691  add	x0, x0, #0xd90
0xfffffff008745918: c195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00874591c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008745920: c34fffb0  adrp	x3, #0xfffffff00713e000
0xfffffff008745924: 635c1391  add	x3, x3, #0x4d7
0xfffffff008745928: 02008052  mov	w2, #0
0xfffffff00874592c: 01b6ef97  bl	#0xfffffff008333130
0xfffffff008745930: 2d010014  b	#0xfffffff008745de4
0xfffffff008745934: 9f2403d5  bti	j
0xfffffff008745938: a20240f9  ldr	x2, [x21]
0xfffffff00874593c: 60808052  mov	w0, #0x403
0xfffffff008745940: 2000a072  movk	w0, #1, lsl #16
0xfffffff008745944: e1031baa  mov	x1, x27
0xfffffff008745948: a0e5f197  bl	#0xfffffff0083befc8
0xfffffff00874594c: e02a00b4  cbz	x0, #0xfffffff008745ea8
0xfffffff008745950: f50300aa  mov	x21, x0
0xfffffff008745954: 100040f9  ldr	x16, [x0]
0xfffffff008745958: f10300aa  mov	x17, x0
0xfffffff00874595c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008745960: 301ac1da  autda	x16, x17
0xfffffff008745964: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff008745968: e90310aa  mov	x9, x16
0xfffffff00874596c: 01008052  mov	w1, #0
0xfffffff008745970: f10309aa  mov	x17, x9
0xfffffff008745974: 71b6fef2  movk	x17, #0xf5b3, lsl #48
0xfffffff008745978: 11093fd7  blraa	x8, x17
0xfffffff00874597c: 003e0034  cbz	w0, #0xfffffff00874613c
0xfffffff008745980: 98578052  mov	w24, #0x2bc
0xfffffff008745984: 1800bc72  movk	w24, #0xe000, lsl #16
0xfffffff008745988: 8850ffd0  adrp	x8, #0xfffffff007157000
0xfffffff00874598c: 08893791  add	x8, x8, #0xde2
