; Candidate 16232
; ADRP+ADD at VM 0xfffffff009e32fb4 (fileoff 0x2e2efb4): page=0x1fd9f0000 add_imm=0xe12

0xfffffff009e32f34: 082140f9  ldr	x8, [x8, #0x40]
0xfffffff009e32f38: 081700f9  str	x8, [x24, #0x28]
0xfffffff009e32f3c: a00640f9  ldr	x0, [x21, #8]
0xfffffff009e32f40: e17a4079  ldrh	w1, [x23, #0x3c]
0xfffffff009e32f44: 34100094  bl	#0xfffffff009e37014
0xfffffff009e32f48: 003300b9  str	w0, [x24, #0x30]
0xfffffff009e32f4c: a80240f9  ldr	x8, [x21]
0xfffffff009e32f50: 088140b9  ldr	w8, [x8, #0x80]
0xfffffff009e32f54: 083700b9  str	w8, [x24, #0x34]
0xfffffff009e32f58: 360400b4  cbz	x22, #0xfffffff009e32fdc
0xfffffff009e32f5c: 00e30091  add	x0, x24, #0x38
0xfffffff009e32f60: a36301d1  sub	x3, x29, #0x58
0xfffffff009e32f64: 21008052  mov	w1, #1
0xfffffff009e32f68: 02008052  mov	w2, #0
0xfffffff009e32f6c: 04018052  mov	w4, #8
0xfffffff009e32f70: 9b9c0494  bl	#0xfffffff009f5a1dc
0xfffffff009e32f74: 40030034  cbz	w0, #0xfffffff009e32fdc
0xfffffff009e32f78: f90300aa  mov	x25, x0
0xfffffff009e32f7c: a80240f9  ldr	x8, [x21]
0xfffffff009e32f80: 0b0540f9  ldr	x11, [x8, #8]
0xfffffff009e32f84: 89cffe90  adrp	x9, #0xfffffff007822000
0xfffffff009e32f88: 29dd2591  add	x9, x9, #0x977
0xfffffff009e32f8c: 8acffe90  adrp	x10, #0xfffffff007822000
0xfffffff009e32f90: 4ac12591  add	x10, x10, #0x970
0xfffffff009e32f94: 7f060071  cmp	w19, #1
0xfffffff009e32f98: 4901899a  csel	x9, x10, x9, eq
0xfffffff009e32f9c: e9e701a9  stp	x9, x25, [sp, #0x18]
0xfffffff009e32fa0: 88cffe90  adrp	x8, #0xfffffff007822000
0xfffffff009e32fa4: 088d3291  add	x8, x8, #0xca3
0xfffffff009e32fa8: 49498052  mov	w9, #0x24a
0xfffffff009e32fac: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff009e32fb0: e80300f9  str	x8, [sp]
0xfffffff009e32fb4: 80cffe90  adrp	x0, #0xfffffff007822000
0xfffffff009e32fb8: 00483891  add	x0, x0, #0xe12
0xfffffff009e32fbc: 42320194  bl	#0xfffffff009e7f8c4
0xfffffff009e32fc0: 002d00b0  adrp	x0, #0xfffffff00a3d3000
0xfffffff009e32fc4: 00c03891  add	x0, x0, #0xe30
0xfffffff009e32fc8: 017f9552  mov	w1, #0xabf8
0xfffffff009e32fcc: 0102a072  movk	w1, #0x10, lsl #16
0xfffffff009e32fd0: e20319aa  mov	x2, x25
0xfffffff009e32fd4: d7fcff97  bl	#0xfffffff009e32330
0xfffffff009e32fd8: 1d000014  b	#0xfffffff009e3304c
0xfffffff009e32fdc: 88c24039  ldrb	w8, [x20, #0x30]
0xfffffff009e32fe0: 88020034  cbz	w8, #0xfffffff009e33030
0xfffffff009e32fe4: 88cffe90  adrp	x8, #0xfffffff007822000
0xfffffff009e32fe8: 08dd2591  add	x8, x8, #0x977
0xfffffff009e32fec: 89cffe90  adrp	x9, #0xfffffff007822000
0xfffffff009e32ff0: 29c12591  add	x9, x9, #0x970
0xfffffff009e32ff4: 7f060071  cmp	w19, #1
0xfffffff009e32ff8: 2801889a  csel	x8, x9, x8, eq
0xfffffff009e32ffc: a90240f9  ldr	x9, [x21]
0xfffffff009e33000: 2a0540f9  ldr	x10, [x9, #8]
0xfffffff009e33004: 292140f9  ldr	x9, [x9, #0x40]
0xfffffff009e33008: 0b1340f9  ldr	x11, [x24, #0x20]
0xfffffff009e3300c: e92f02a9  stp	x9, x11, [sp, #0x20]
0xfffffff009e33010: e82b01a9  stp	x8, x10, [sp, #0x10]
0xfffffff009e33014: 68cffef0  adrp	x8, #0xfffffff007822000
0xfffffff009e33018: 088d3291  add	x8, x8, #0xca3
0xfffffff009e3301c: 294a8052  mov	w9, #0x251
0xfffffff009e33020: e82700a9  stp	x8, x9, [sp]
0xfffffff009e33024: 60cffef0  adrp	x0, #0xfffffff007822000
0xfffffff009e33028: 00cc3991  add	x0, x0, #0xe73
0xfffffff009e3302c: 05320194  bl	#0xfffffff009e7f840
0xfffffff009e33030: 62cffef0  adrp	x2, #0xfffffff007822000
