; Candidate 461
; ADRP+ADD at VM 0xfffffff007f0fe48 (fileoff 0xf0be48): page=0x232d000 add_imm=0xdd8

0xfffffff007f0fdc8: 280900f9  str	x8, [x9, #0x10]
0xfffffff007f0fdcc: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007f0fdd0: e20308aa  mov	x2, x8
0xfffffff007f0fdd4: 1fffa288  casl	w2, wzr, [x24]
0xfffffff007f0fdd8: 5f00086b  cmp	w2, w8
0xfffffff007f0fddc: 21070054  b.ne	#0xfffffff007f0fec0
0xfffffff007f0fde0: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007f0fde4: 89220091  add	x9, x20, #8
0xfffffff007f0fde8: e20308aa  mov	x2, x8
0xfffffff007f0fdec: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007f0fdf0: 5f00086b  cmp	w2, w8
0xfffffff007f0fdf4: 01070054  b.ne	#0xfffffff007f0fed4
0xfffffff007f0fdf8: f00240f9  ldr	x16, [x23]
0xfffffff007f0fdfc: 300100b4  cbz	x16, #0xfffffff007f0fe20
0xfffffff007f0fe00: f10317aa  mov	x17, x23
0xfffffff007f0fe04: d14de0f2  movk	x17, #0x26e, lsl #48
0xfffffff007f0fe08: 301ac1da  autda	x16, x17
0xfffffff007f0fe0c: f10310aa  mov	x17, x16
0xfffffff007f0fe10: f147c1da  xpacd	x17
0xfffffff007f0fe14: 1f0211eb  cmp	x16, x17
0xfffffff007f0fe18: 40000054  b.eq	#0xfffffff007f0fe20
0xfffffff007f0fe1c: 408e38d4  brk	#0xc472
0xfffffff007f0fe20: 00420091  add	x0, x16, #0x10
0xfffffff007f0fe24: 01008052  mov	w1, #0
0xfffffff007f0fe28: 02008052  mov	w2, #0
0xfffffff007f0fe2c: 43d1fa97  bl	#0xfffffff007dc4338
0xfffffff007f0fe30: 81ffff17  b	#0xfffffff007f0fc34
0xfffffff007f0fe34: e00314aa  mov	x0, x20
0xfffffff007f0fe38: e10313aa  mov	x1, x19
0xfffffff007f0fe3c: 02008052  mov	w2, #0
0xfffffff007f0fe40: 2e6ffa97  bl	#0xfffffff007dabaf8
0xfffffff007f0fe44: 20ffff17  b	#0xfffffff007f0fac4
0xfffffff007f0fe48: 601901b0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f0fe4c: 00603791  add	x0, x0, #0xdd8
0xfffffff007f0fe50: e10313aa  mov	x1, x19
0xfffffff007f0fe54: 02008052  mov	w2, #0
0xfffffff007f0fe58: 286ffa97  bl	#0xfffffff007dabaf8
0xfffffff007f0fe5c: 38ffff17  b	#0xfffffff007f0fb3c
0xfffffff007f0fe60: e00314aa  mov	x0, x20
0xfffffff007f0fe64: e10313aa  mov	x1, x19
0xfffffff007f0fe68: 3f72fa97  bl	#0xfffffff007dac764
0xfffffff007f0fe6c: 56ffff17  b	#0xfffffff007f0fbc4
0xfffffff007f0fe70: e00314aa  mov	x0, x20
0xfffffff007f0fe74: e10313aa  mov	x1, x19
0xfffffff007f0fe78: 3b72fa97  bl	#0xfffffff007dac764
0xfffffff007f0fe7c: 6effff17  b	#0xfffffff007f0fc34
0xfffffff007f0fe80: 601901b0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f0fe84: 00603791  add	x0, x0, #0xdd8
0xfffffff007f0fe88: e10313aa  mov	x1, x19
0xfffffff007f0fe8c: 3672fa97  bl	#0xfffffff007dac764
0xfffffff007f0fe90: b2ffff17  b	#0xfffffff007f0fd58
0xfffffff007f0fe94: e00314aa  mov	x0, x20
0xfffffff007f0fe98: e10313aa  mov	x1, x19
0xfffffff007f0fe9c: 02008052  mov	w2, #0
0xfffffff007f0fea0: 166ffa97  bl	#0xfffffff007dabaf8
0xfffffff007f0fea4: b3ffff17  b	#0xfffffff007f0fd70
0xfffffff007f0fea8: 601901b0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f0feac: 00603791  add	x0, x0, #0xdd8
0xfffffff007f0feb0: e10313aa  mov	x1, x19
0xfffffff007f0feb4: 02008052  mov	w2, #0
0xfffffff007f0feb8: 106ffa97  bl	#0xfffffff007dabaf8
0xfffffff007f0febc: b2ffff17  b	#0xfffffff007f0fd84
0xfffffff007f0fec0: 601901b0  adrp	x0, #0xfffffff00a23c000
0xfffffff007f0fec4: 00603791  add	x0, x0, #0xdd8
