; Candidate 5004
; ADRP+ADD at VM 0xfffffff0087d1478 (fileoff 0x17cd478): page=0x1fea18000 add_imm=0xe80

0xfffffff0087d13f8: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d13fc: c050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d1400: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d1404: a191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d1408: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d140c: 4353ffb0  adrp	x3, #0xfffffff00723a000
0xfffffff0087d1410: 63b82991  add	x3, x3, #0xa6e
0xfffffff0087d1414: 02008052  mov	w2, #0
0xfffffff0087d1418: 4687ed97  bl	#0xfffffff008333130
0xfffffff0087d141c: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff0087d1420: 51680194  bl	#0xfffffff00882b564
0xfffffff0087d1424: e10300aa  mov	x1, x0
0xfffffff0087d1428: e00313aa  mov	x0, x19
0xfffffff0087d142c: 38000094  bl	#0xfffffff0087d150c
0xfffffff0087d1430: 46faff17  b	#0xfffffff0087cfd48
0xfffffff0087d1434: 5e8b0394  bl	#0xfffffff0088b41ac
0xfffffff0087d1438: f50300aa  mov	x21, x0
0xfffffff0087d143c: 80008052  mov	w0, #4
0xfffffff0087d1440: 04a90294  bl	#0xfffffff00887b850
0xfffffff0087d1444: f47f04a9  stp	x20, xzr, [sp, #0x40]
0xfffffff0087d1448: e851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087d144c: 08413b91  add	x8, x8, #0xed0
0xfffffff0087d1450: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0087d1454: e81a8052  mov	w8, #0xd7
0xfffffff0087d1458: e951fff0  adrp	x9, #0xfffffff007210000
0xfffffff0087d145c: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d1460: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d1464: e851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087d1468: 08712591  add	x8, x8, #0x95c
0xfffffff0087d146c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d1470: 080a8052  mov	w8, #0x50
0xfffffff0087d1474: f52300a9  stp	x21, x8, [sp]
0xfffffff0087d1478: c050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d147c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d1480: a191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d1484: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d1488: 4353ffb0  adrp	x3, #0xfffffff00723a000
0xfffffff0087d148c: 63502691  add	x3, x3, #0x994
0xfffffff0087d1490: 02008052  mov	w2, #0
0xfffffff0087d1494: 2787ed97  bl	#0xfffffff008333130
0xfffffff0087d1498: 29fdff17  b	#0xfffffff0087d093c
0xfffffff0087d149c: 448b0394  bl	#0xfffffff0088b41ac
0xfffffff0087d14a0: f50300aa  mov	x21, x0
0xfffffff0087d14a4: 80008052  mov	w0, #4
0xfffffff0087d14a8: eaa80294  bl	#0xfffffff00887b850
0xfffffff0087d14ac: f47f04a9  stp	x20, xzr, [sp, #0x40]
0xfffffff0087d14b0: e851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087d14b4: 08093e91  add	x8, x8, #0xf82
0xfffffff0087d14b8: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0087d14bc: 481c8052  mov	w8, #0xe2
0xfffffff0087d14c0: e951fff0  adrp	x9, #0xfffffff007210000
0xfffffff0087d14c4: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d14c8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d14cc: e851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087d14d0: 08712591  add	x8, x8, #0x95c
0xfffffff0087d14d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d14d8: 080a8052  mov	w8, #0x50
0xfffffff0087d14dc: f52300a9  stp	x21, x8, [sp]
0xfffffff0087d14e0: c050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d14e4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d14e8: a191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d14ec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d14f0: 4353ffb0  adrp	x3, #0xfffffff00723a000
0xfffffff0087d14f4: 63a82891  add	x3, x3, #0xa2a
