; Candidate 15729
; ADRP+ADD at VM 0xfffffff009ce5584 (fileoff 0x2ce1584): page=0x6d6000 add_imm=0xd08

0xfffffff009ce5504: 030a8052  mov	w3, #0x50
0xfffffff009ce5508: 8cf99797  bl	#0xfffffff0082e3b38
0xfffffff009ce550c: d000fff0  adrp	x16, #0xfffffff007d00000
0xfffffff009ce5510: 10022391  add	x16, x16, #0x8c0
0xfffffff009ce5514: 10420091  add	x16, x16, #0x10
0xfffffff009ce5518: f10300aa  mov	x17, x0
0xfffffff009ce551c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ce5520: 300ac1da  pacda	x16, x17
0xfffffff009ce5524: 100000f9  str	x16, [x0]
0xfffffff009ce5528: a03600d0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009ce552c: 00c03491  add	x0, x0, #0xd30
0xfffffff009ce5530: e1cbfeb0  adrp	x1, #0xfffffff007662000
0xfffffff009ce5534: 213c2291  add	x1, x1, #0x88f
0xfffffff009ce5538: a23600d0  adrp	x2, #0xfffffff00a3bb000
0xfffffff009ce553c: 42603091  add	x2, x2, #0xc18
0xfffffff009ce5540: 03198052  mov	w3, #0xc8
0xfffffff009ce5544: 7df99797  bl	#0xfffffff0082e3b38
0xfffffff009ce5548: d000fff0  adrp	x16, #0xfffffff007d00000
0xfffffff009ce554c: 10822e91  add	x16, x16, #0xba0
0xfffffff009ce5550: 10420091  add	x16, x16, #0x10
0xfffffff009ce5554: f10300aa  mov	x17, x0
0xfffffff009ce5558: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ce555c: 300ac1da  pacda	x16, x17
0xfffffff009ce5560: 100000f9  str	x16, [x0]
0xfffffff009ce5564: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009ce5568: ff0f5fd6  retab	
0xfffffff009ce556c: 7f2303d5  pacibsp	
0xfffffff009ce5570: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009ce5574: fd030091  mov	x29, sp
0xfffffff009ce5578: a03600d0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009ce557c: 00c03491  add	x0, x0, #0xd30
0xfffffff009ce5580: 5dfc9797  bl	#0xfffffff0082e46f4
0xfffffff009ce5584: a03600d0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009ce5588: 00203491  add	x0, x0, #0xd08
0xfffffff009ce558c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009ce5590: ff2303d5  autibsp	
0xfffffff009ce5594: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009ce5598: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009ce55a0
0xfffffff009ce559c: 208e38d4  brk	#0xc471
0xfffffff009ce55a0: 55fc9717  b	#0xfffffff0082e46f4
0xfffffff009ce55a4: 7f2303d5  pacibsp	
0xfffffff009ce55a8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009ce55ac: fd030091  mov	x29, sp
0xfffffff009ce55b0: e1cbfeb0  adrp	x1, #0xfffffff007662000
0xfffffff009ce55b4: 21b42f91  add	x1, x1, #0xbed
0xfffffff009ce55b8: c200ffb0  adrp	x2, #0xfffffff007cfe000
0xfffffff009ce55bc: 423044f9  ldr	x2, [x2, #0x860]
0xfffffff009ce55c0: 030d8352  mov	w3, #0x1868
0xfffffff009ce55c4: 5df99797  bl	#0xfffffff0082e3b38
0xfffffff009ce55c8: d000fff0  adrp	x16, #0xfffffff007d00000
0xfffffff009ce55cc: 10223691  add	x16, x16, #0xd88
0xfffffff009ce55d0: 10420091  add	x16, x16, #0x10
0xfffffff009ce55d4: f10300aa  mov	x17, x0
0xfffffff009ce55d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ce55dc: 300ac1da  pacda	x16, x17
0xfffffff009ce55e0: 100000f9  str	x16, [x0]
0xfffffff009ce55e4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009ce55e8: ff0f5fd6  retab	
0xfffffff009ce55ec: 5f2403d5  bti	c
0xfffffff009ce55f0: 41fc9717  b	#0xfffffff0082e46f4
0xfffffff009ce55f4: 7f2303d5  pacibsp	
0xfffffff009ce55f8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009ce55fc: fd030091  mov	x29, sp
0xfffffff009ce5600: 5b089897  bl	#0xfffffff0082e776c
