; Candidate 15731
; ADRP+ADD at VM 0xfffffff009ceed40 (fileoff 0x2cead40): page=0x6cd000 add_imm=0xd58

0xfffffff009ceecc0: 112080d2  mov	x17, #0x100
0xfffffff009ceecc4: 1002118b  add	x16, x16, x17
0xfffffff009ceecc8: 080240f9  ldr	x8, [x16]
0xfffffff009ceeccc: e90310aa  mov	x9, x16
0xfffffff009ceecd0: 42008052  mov	w2, #2
0xfffffff009ceecd4: f10309aa  mov	x17, x9
0xfffffff009ceecd8: 31b7edf2  movk	x17, #0x6db9, lsl #48
0xfffffff009ceecdc: 11093fd7  blraa	x8, x17
0xfffffff009ceece0: fc0300aa  mov	x28, x0
0xfffffff009ceece4: b75240b9  ldr	w23, [x21, #0x50]
0xfffffff009ceece8: 35ffff17  b	#0xfffffff009cee9bc
0xfffffff009ceecec: e0031caa  mov	x0, x28
0xfffffff009ceecf0: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff009ceecf4: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff009ceecf8: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff009ceecfc: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff009ceed00: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff009ceed04: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff009ceed08: ff430291  add	sp, sp, #0x90
0xfffffff009ceed0c: ff0f5fd6  retab	
0xfffffff009ceed10: 5f2403d5  bti	c
0xfffffff009ceed14: 810000b4  cbz	x1, #0xfffffff009ceed24
0xfffffff009ceed18: 280840b9  ldr	w8, [x1, #8]
0xfffffff009ceed1c: 007d1853  lsr	w0, w8, #0x18
0xfffffff009ceed20: c0035fd6  ret	
0xfffffff009ceed24: 00008052  mov	w0, #0
0xfffffff009ceed28: c0035fd6  ret	
0xfffffff009ceed2c: 5f2403d5  bti	c
0xfffffff009ceed30: 71d69717  b	#0xfffffff0082e46f4
0xfffffff009ceed34: 7f2303d5  pacibsp	
0xfffffff009ceed38: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009ceed3c: fd030091  mov	x29, sp
0xfffffff009ceed40: 603600b0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009ceed44: 00603591  add	x0, x0, #0xd58
0xfffffff009ceed48: a1cbfe90  adrp	x1, #0xfffffff007662000
0xfffffff009ceed4c: 21b42f91  add	x1, x1, #0xbed
0xfffffff009ceed50: 8200ff90  adrp	x2, #0xfffffff007cfe000
0xfffffff009ceed54: 423044f9  ldr	x2, [x2, #0x860]
0xfffffff009ceed58: 030d8352  mov	w3, #0x1868
0xfffffff009ceed5c: 77d39797  bl	#0xfffffff0082e3b38
0xfffffff009ceed60: 9000ffd0  adrp	x16, #0xfffffff007d00000
0xfffffff009ceed64: 10223691  add	x16, x16, #0xd88
0xfffffff009ceed68: 10420091  add	x16, x16, #0x10
0xfffffff009ceed6c: f10300aa  mov	x17, x0
0xfffffff009ceed70: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009ceed74: 300ac1da  pacda	x16, x17
0xfffffff009ceed78: 100000f9  str	x16, [x0]
0xfffffff009ceed7c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009ceed80: ff0f5fd6  retab	
0xfffffff009ceed84: 5f2403d5  bti	c
0xfffffff009ceed88: 603600b0  adrp	x0, #0xfffffff00a3bb000
0xfffffff009ceed8c: 00603591  add	x0, x0, #0xd58
0xfffffff009ceed90: 59d69717  b	#0xfffffff0082e46f4
0xfffffff009ceed94: 7f2303d5  pacibsp	
0xfffffff009ceed98: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009ceed9c: fd030091  mov	x29, sp
0xfffffff009ceeda0: a1cbfeb0  adrp	x1, #0xfffffff007663000
0xfffffff009ceeda4: 21d41e91  add	x1, x1, #0x7b5
0xfffffff009ceeda8: 8200ff90  adrp	x2, #0xfffffff007cfe000
0xfffffff009ceedac: 42e843f9  ldr	x2, [x2, #0x7d0]
0xfffffff009ceedb0: 03788052  mov	w3, #0x3c0
0xfffffff009ceedb4: 61d39797  bl	#0xfffffff0082e3b38
0xfffffff009ceedb8: 9000fff0  adrp	x16, #0xfffffff007d01000
0xfffffff009ceedbc: 10221791  add	x16, x16, #0x5c8
