; Candidate 15161
; ADRP+ADD at VM 0xfffffff009aea408 (fileoff 0x2ae6408): page=0x1fdb30000 add_imm=0xe2e

0xfffffff009aea388: fdc30091  add	x29, sp, #0x30
0xfffffff009aea38c: f40301aa  mov	x20, x1
0xfffffff009aea390: f30300aa  mov	x19, x0
0xfffffff009aea394: bfc31eb8  stur	wzr, [x29, #-0x14]
0xfffffff009aea398: 1f7c13a9  stp	xzr, xzr, [x0, #0x130]
0xfffffff009aea39c: 1fa000f9  str	xzr, [x0, #0x140]
0xfffffff009aea3a0: 1fd00539  strb	wzr, [x0, #0x174]
0xfffffff009aea3a4: 1fa00279  strh	wzr, [x0, #0x150]
0xfffffff009aea3a8: 1fac00f9  str	xzr, [x0, #0x158]
0xfffffff009aea3ac: 1f800539  strb	wzr, [x0, #0x160]
0xfffffff009aea3b0: 1fb400f9  str	xzr, [x0, #0x168]
0xfffffff009aea3b4: 10000090  adrp	x16, #0xfffffff009aea000
0xfffffff009aea3b8: 10121391  add	x16, x16, #0x4c4
0xfffffff009aea3bc: 117b8ed2  mov	x17, #0x73d8
0xfffffff009aea3c0: 3002c1da  pacia	x16, x17
0xfffffff009aea3c4: e20310aa  mov	x2, x16
0xfffffff009aea3c8: e01f8052  mov	w0, #0xff
0xfffffff009aea3cc: e10313aa  mov	x1, x19
0xfffffff009aea3d0: 714ba397  bl	#0xfffffff0083bd194
0xfffffff009aea3d4: 609e00f9  str	x0, [x19, #0x138]
0xfffffff009aea3d8: 400300b4  cbz	x0, #0xfffffff009aea440
0xfffffff009aea3dc: e80efff0  adrp	x8, #0xfffffff007cc9000
0xfffffff009aea3e0: 08c12691  add	x8, x8, #0x9b0
0xfffffff009aea3e4: 09211791  add	x9, x8, #0x5c8
0xfffffff009aea3e8: 08e542f9  ldr	x8, [x8, #0x5c8]
0xfffffff009aea3ec: e00313aa  mov	x0, x19
0xfffffff009aea3f0: e10314aa  mov	x1, x20
0xfffffff009aea3f4: 02008052  mov	w2, #0
0xfffffff009aea3f8: f10309aa  mov	x17, x9
0xfffffff009aea3fc: b12ee9f2  movk	x17, #0x4975, lsl #48
0xfffffff009aea400: 11093fd7  blraa	x8, x17
0xfffffff009aea404: f40300aa  mov	x20, x0
0xfffffff009aea408: 80d9fe90  adrp	x0, #0xfffffff00761a000
0xfffffff009aea40c: 00b83891  add	x0, x0, #0xe2e
0xfffffff009aea410: a15300d1  sub	x1, x29, #0x14
0xfffffff009aea414: 82008052  mov	w2, #4
0xfffffff009aea418: e80aa697  bl	#0xfffffff00846cfb8
0xfffffff009aea41c: 40040034  cbz	w0, #0xfffffff009aea4a4
0xfffffff009aea420: a8c35eb8  ldur	w8, [x29, #-0x14]
0xfffffff009aea424: 09210853  ubfx	w9, w8, #8, #1
0xfffffff009aea428: 69c60539  strb	w9, [x19, #0x171]
0xfffffff009aea42c: 09250953  ubfx	w9, w8, #9, #1
0xfffffff009aea430: 69ca0539  strb	w9, [x19, #0x172]
0xfffffff009aea434: 08290a53  ubfx	w8, w8, #0xa, #1
0xfffffff009aea438: 68ce0539  strb	w8, [x19, #0x173]
0xfffffff009aea43c: 1d000014  b	#0xfffffff009aea4b0
0xfffffff009aea440: aa068052  mov	w10, #0x35
0xfffffff009aea444: 88d9fe90  adrp	x8, #0xfffffff00761a000
0xfffffff009aea448: 08053791  add	x8, x8, #0xdc1
0xfffffff009aea44c: 89d9fe90  adrp	x9, #0xfffffff00761a000
0xfffffff009aea450: 29813691  add	x9, x9, #0xda0
0xfffffff009aea454: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff009aea458: e90300f9  str	x9, [sp]
0xfffffff009aea45c: 73d9fef0  adrp	x19, #0xfffffff007619000
0xfffffff009aea460: 73022f91  add	x19, x19, #0xbc0
0xfffffff009aea464: f40effb0  adrp	x20, #0xfffffff007cc7000
0xfffffff009aea468: 945644f9  ldr	x20, [x20, #0x8a8]
0xfffffff009aea46c: 83d9fef0  adrp	x3, #0xfffffff00761d000
0xfffffff009aea470: 63f43f91  add	x3, x3, #0xffd
0xfffffff009aea474: e00313aa  mov	x0, x19
0xfffffff009aea478: e10314aa  mov	x1, x20
0xfffffff009aea47c: 02008052  mov	w2, #0
0xfffffff009aea480: 2c23a197  bl	#0xfffffff008333130
0xfffffff009aea484: a3d9fe90  adrp	x3, #0xfffffff00761e000
