; Candidate 5713
; ADRP+ADD at VM 0xfffffff00880179c (fileoff 0x17fd79c): page=0x1fe9e8000 add_imm=0xe80

0xfffffff00880171c: a050fff0  adrp	x0, #0xfffffff007218000
0xfffffff008801720: 008c0391  add	x0, x0, #0xe3
0xfffffff008801724: 4fd7d697  bl	#0xfffffff007db7460
0xfffffff008801728: 25000014  b	#0xfffffff0088017bc
0xfffffff00880172c: a0ca0294  bl	#0xfffffff0088b41ac
0xfffffff008801730: f70300aa  mov	x23, x0
0xfffffff008801734: e00314aa  mov	x0, x20
0xfffffff008801738: 46e80194  bl	#0xfffffff00887b850
0xfffffff00880173c: 28274b39  ldrb	w8, [x25, #0x2c9]
0xfffffff008801740: 292b4b39  ldrb	w9, [x25, #0x2ca]
0xfffffff008801744: 2abb42b9  ldr	w10, [x25, #0x2b8]
0xfffffff008801748: 2bbf42b9  ldr	w11, [x25, #0x2bc]
0xfffffff00880174c: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff008801750: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff008801754: e80313aa  mov	x8, x19
0xfffffff008801758: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880175c: f70300f9  str	x23, [sp]
0xfffffff008801760: 404fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008801764: 00003a91  add	x0, x0, #0xe80
0xfffffff008801768: 2190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff00880176c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008801770: 0352ffd0  adrp	x3, #0xfffffff007243000
0xfffffff008801774: 63843391  add	x3, x3, #0xce1
0xfffffff008801778: 02008052  mov	w2, #0
0xfffffff00880177c: 6dc6ec97  bl	#0xfffffff008333130
0xfffffff008801780: 0f000014  b	#0xfffffff0088017bc
0xfffffff008801784: 28274b39  ldrb	w8, [x25, #0x2c9]
0xfffffff008801788: 292b4b39  ldrb	w9, [x25, #0x2ca]
0xfffffff00880178c: 2abb42b9  ldr	w10, [x25, #0x2b8]
0xfffffff008801790: 2bbf42b9  ldr	w11, [x25, #0x2bc]
0xfffffff008801794: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008801798: ea2f00a9  stp	x10, x11, [sp]
0xfffffff00880179c: 404fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088017a0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088017a4: 2190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088017a8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088017ac: 0352ffd0  adrp	x3, #0xfffffff007243000
0xfffffff0088017b0: 634c3291  add	x3, x3, #0xc93
0xfffffff0088017b4: 02008052  mov	w2, #0
0xfffffff0088017b8: 5ec6ec97  bl	#0xfffffff008333130
0xfffffff0088017bc: e00313aa  mov	x0, x19
0xfffffff0088017c0: e10314aa  mov	x1, x20
0xfffffff0088017c4: 03e80194  bl	#0xfffffff00887b7d0
0xfffffff0088017c8: 60080034  cbz	w0, #0xfffffff0088018d4
0xfffffff0088017cc: e00313aa  mov	x0, x19
0xfffffff0088017d0: 12e80194  bl	#0xfffffff00887b818
0xfffffff0088017d4: 7502f837  tbnz	w21, #0x1f, #0xfffffff008801820
0xfffffff0088017d8: b8021b12  and	w24, w21, #0x20
0xfffffff0088017dc: 1b000052  eor	w27, w0, #1
0xfffffff0088017e0: 73ca0294  bl	#0xfffffff0088b41ac
0xfffffff0088017e4: f70300aa  mov	x23, x0
0xfffffff0088017e8: e00314aa  mov	x0, x20
0xfffffff0088017ec: 19e80194  bl	#0xfffffff00887b850
0xfffffff0088017f0: 6817582a  orr	w8, w27, w24, lsr #5
0xfffffff0088017f4: e8020037  tbnz	w8, #0, #0xfffffff008801850
0xfffffff0088017f8: 28334b39  ldrb	w8, [x25, #0x2cc]
0xfffffff0088017fc: 29374b39  ldrb	w9, [x25, #0x2cd]
0xfffffff008801800: 2a3b4b39  ldrb	w10, [x25, #0x2ce]
0xfffffff008801804: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff008801808: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880180c: e80313aa  mov	x8, x19
0xfffffff008801810: f72300a9  stp	x23, x8, [sp]
0xfffffff008801814: c050ff90  adrp	x0, #0xfffffff007219000
0xfffffff008801818: 00f80691  add	x0, x0, #0x1be
