; Candidate 14000
; ADRP+ADD at VM 0xfffffff00969b588 (fileoff 0x2697588): page=0x1fe5a3000 add_imm=0xda0

0xfffffff00969b508: 606700f0  adrp	x0, #0xfffffff00a38a000
0xfffffff00969b50c: 00803691  add	x0, x0, #0xda0
0xfffffff00969b510: c0035fd6  ret	
0xfffffff00969b514: 7f2303d5  pacibsp	
0xfffffff00969b518: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00969b51c: fd030091  mov	x29, sp
0xfffffff00969b520: 81f7feb0  adrp	x1, #0xfffffff00758c000
0xfffffff00969b524: 21283c91  add	x1, x1, #0xf0a
0xfffffff00969b528: 626700f0  adrp	x2, #0xfffffff00a38a000
0xfffffff00969b52c: 42e03591  add	x2, x2, #0xd78
0xfffffff00969b530: 03068052  mov	w3, #0x30
0xfffffff00969b534: 8121b197  bl	#0xfffffff0082e3b38
0xfffffff00969b538: f02bff90  adrp	x16, #0xfffffff007c17000
0xfffffff00969b53c: 10a23c91  add	x16, x16, #0xf28
0xfffffff00969b540: 10420091  add	x16, x16, #0x10
0xfffffff00969b544: f10300aa  mov	x17, x0
0xfffffff00969b548: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00969b54c: 300ac1da  pacda	x16, x17
0xfffffff00969b550: 100000f9  str	x16, [x0]
0xfffffff00969b554: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00969b558: ff0f5fd6  retab	
0xfffffff00969b55c: 5f2403d5  bti	c
0xfffffff00969b560: 000080d2  mov	x0, #0
0xfffffff00969b564: c0035fd6  ret	
0xfffffff00969b568: 5f2403d5  bti	c
0xfffffff00969b56c: e10300aa  mov	x1, x0
0xfffffff00969b570: 002dfff0  adrp	x0, #0xfffffff007c3e000
0xfffffff00969b574: 00803691  add	x0, x0, #0xda0
0xfffffff00969b578: 3030b117  b	#0xfffffff0082e7638
0xfffffff00969b57c: 5f2403d5  bti	c
0xfffffff00969b580: e20301aa  mov	x2, x1
0xfffffff00969b584: e10300aa  mov	x1, x0
0xfffffff00969b588: 002dfff0  adrp	x0, #0xfffffff007c3e000
0xfffffff00969b58c: 00803691  add	x0, x0, #0xda0
0xfffffff00969b590: 4330b117  b	#0xfffffff0082e769c
0xfffffff00969b594: 7f2303d5  pacibsp	
0xfffffff00969b598: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00969b59c: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00969b5a0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00969b5a4: fd830091  add	x29, sp, #0x20
0xfffffff00969b5a8: f30302aa  mov	x19, x2
0xfffffff00969b5ac: f50301aa  mov	x21, x1
0xfffffff00969b5b0: f40300aa  mov	x20, x0
0xfffffff00969b5b4: c82bfff0  adrp	x8, #0xfffffff007c16000
0xfffffff00969b5b8: 08a942f9  ldr	x8, [x8, #0x550]
0xfffffff00969b5bc: 098d47f8  ldr	x9, [x8, #0x78]!
0xfffffff00969b5c0: f10308aa  mov	x17, x8
0xfffffff00969b5c4: 514de9f2  movk	x17, #0x4a6a, lsl #48
0xfffffff00969b5c8: 31093fd7  blraa	x9, x17
0xfffffff00969b5cc: 60000034  cbz	w0, #0xfffffff00969b5d8
0xfffffff00969b5d0: 951200f9  str	x21, [x20, #0x20]
0xfffffff00969b5d4: 932a00b9  str	w19, [x20, #0x28]
0xfffffff00969b5d8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00969b5dc: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00969b5e0: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00969b5e4: ff0f5fd6  retab	
0xfffffff00969b5e8: 7f2303d5  pacibsp	
0xfffffff00969b5ec: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00969b5f0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00969b5f4: fd430091  add	x29, sp, #0x10
0xfffffff00969b5f8: e80301aa  mov	x8, x1
0xfffffff00969b5fc: f30300aa  mov	x19, x0
0xfffffff00969b600: 616700f0  adrp	x1, #0xfffffff00a38a000
0xfffffff00969b604: 21803691  add	x1, x1, #0xda0
