; Candidate 15055
; ADRP+ADD at VM 0xfffffff009a68034 (fileoff 0x2a64034): page=0x1fe24d000 add_imm=0xd88

0xfffffff009a67fb4: bf0200f1  cmp	x21, #0
0xfffffff009a67fb8: b412969a  csel	x20, x21, x22, ne
0xfffffff009a67fbc: df0200f1  cmp	x22, #0
0xfffffff009a67fc0: c012959a  csel	x0, x22, x21, ne
0xfffffff009a67fc4: 600100b4  cbz	x0, #0xfffffff009a67ff0
0xfffffff009a67fc8: 604e00f9  str	x0, [x19, #0x98]
0xfffffff009a67fcc: 100040f9  ldr	x16, [x0]
0xfffffff009a67fd0: f10300aa  mov	x17, x0
0xfffffff009a67fd4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a67fd8: 301ac1da  autda	x16, x17
0xfffffff009a67fdc: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff009a67fe0: e90310aa  mov	x9, x16
0xfffffff009a67fe4: f10309aa  mov	x17, x9
0xfffffff009a67fe8: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff009a67fec: 11093fd7  blraa	x8, x17
0xfffffff009a67ff0: d40200b4  cbz	x20, #0xfffffff009a68048
0xfffffff009a67ff4: 745200f9  str	x20, [x19, #0xa0]
0xfffffff009a67ff8: 900240f9  ldr	x16, [x20]
0xfffffff009a67ffc: f10314aa  mov	x17, x20
0xfffffff009a68000: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a68004: 301ac1da  autda	x16, x17
0xfffffff009a68008: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff009a6800c: e90310aa  mov	x9, x16
0xfffffff009a68010: e00314aa  mov	x0, x20
0xfffffff009a68014: f10309aa  mov	x17, x9
0xfffffff009a68018: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff009a6801c: 11093fd7  blraa	x8, x17
0xfffffff009a68020: 14008052  mov	w20, #0
0xfffffff009a68024: 09000014  b	#0xfffffff009a68048
0xfffffff009a68028: 685e40f9  ldr	x8, [x19, #0xb8]
0xfffffff009a6802c: 010140f9  ldr	x1, [x8]
0xfffffff009a68030: 1f0100f9  str	xzr, [x8]
0xfffffff009a68034: 6012ffb0  adrp	x0, #0xfffffff007cb5000
0xfffffff009a68038: 00203691  add	x0, x0, #0xd88
0xfffffff009a6803c: b4b9a397  bl	#0xfffffff00835670c
0xfffffff009a68040: 02000014  b	#0xfffffff009a68048
0xfffffff009a68044: 94160051  sub	w20, w20, #5
0xfffffff009a68048: e00314aa  mov	x0, x20
0xfffffff009a6804c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009a68050: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009a68054: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009a68058: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff009a6805c: fa67c5a8  ldp	x26, x25, [sp], #0x50
0xfffffff009a68060: ff0f5fd6  retab	
0xfffffff009a68064: 5f2403d5  bti	c
0xfffffff009a68068: 5ffeff17  b	#0xfffffff009a679e4
0xfffffff009a6806c: 7f2303d5  pacibsp	
0xfffffff009a68070: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a68074: fd030091  mov	x29, sp
0xfffffff009a68078: e80300aa  mov	x8, x0
0xfffffff009a6807c: e00301aa  mov	x0, x1
0xfffffff009a68080: e10308aa  mov	x1, x8
0xfffffff009a68084: 71090094  bl	#0xfffffff009a6a648
0xfffffff009a68088: 00008052  mov	w0, #0
0xfffffff009a6808c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a68090: ff0f5fd6  retab	
0xfffffff009a68094: 5f2403d5  bti	c
0xfffffff009a68098: e00301aa  mov	x0, x1
0xfffffff009a6809c: 010080d2  mov	x1, #0
0xfffffff009a680a0: 6a090014  b	#0xfffffff009a6a648
0xfffffff009a680a4: 7f2303d5  pacibsp	
0xfffffff009a680a8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a680ac: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a680b0: fd430091  add	x29, sp, #0x10
