; Candidate 12344
; ADRP+ADD at VM 0xfffffff00908c960 (fileoff 0x2088960): page=0x1fe3d1000 add_imm=0xd12

0xfffffff00908c8e0: 691effb0  adrp	x9, #0xfffffff007459000
0xfffffff00908c8e4: 29b92d91  add	x9, x9, #0xb6e
0xfffffff00908c8e8: 6b1effd0  adrp	x11, #0xfffffff00745a000
0xfffffff00908c8ec: 6b290291  add	x11, x11, #0x8a
0xfffffff00908c8f0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00908c8f4: eb0300f9  str	x11, [sp]
0xfffffff00908c8f8: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908c8fc: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908c900: c829cb97  bl	#0xfffffff008357020
0xfffffff00908c904: c8088052  mov	w8, #0x46
0xfffffff00908c908: b3ffff17  b	#0xfffffff00908c7d4
0xfffffff00908c90c: 7f2303d5  pacibsp	
0xfffffff00908c910: ff8301d1  sub	sp, sp, #0x60
0xfffffff00908c914: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00908c918: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00908c91c: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00908c920: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00908c924: fd430191  add	x29, sp, #0x50
0xfffffff00908c928: f30301aa  mov	x19, x1
0xfffffff00908c92c: f40300aa  mov	x20, x0
0xfffffff00908c930: 379400b0  adrp	x23, #0xfffffff00a311000
0xfffffff00908c934: f7a20391  add	x23, x23, #0xe8
0xfffffff00908c938: e8024039  ldrb	w8, [x23]
0xfffffff00908c93c: 751effd0  adrp	x21, #0xfffffff00745a000
0xfffffff00908c940: b57e3491  add	x21, x21, #0xd1f
0xfffffff00908c944: 961effb0  adrp	x22, #0xfffffff00745d000
0xfffffff00908c948: d67a2f91  add	x22, x22, #0xbde
0xfffffff00908c94c: 1f790071  cmp	w8, #0x1e
0xfffffff00908c950: e8000054  b.hi	#0xfffffff00908c96c
0xfffffff00908c954: 882e41b9  ldr	w8, [x20, #0x12c]
0xfffffff00908c958: f32301a9  stp	x19, x8, [sp, #0x10]
0xfffffff00908c95c: f65700a9  stp	x22, x21, [sp]
0xfffffff00908c960: 801effb0  adrp	x0, #0xfffffff00745d000
0xfffffff00908c964: 00483491  add	x0, x0, #0xd12
0xfffffff00908c968: ae29cb97  bl	#0xfffffff008357020
0xfffffff00908c96c: 882e41b9  ldr	w8, [x20, #0x12c]
0xfffffff00908c970: 1f01136b  cmp	w8, w19
0xfffffff00908c974: 40000054  b.eq	#0xfffffff00908c97c
0xfffffff00908c978: 932e01b9  str	w19, [x20, #0x12c]
0xfffffff00908c97c: e8024039  ldrb	w8, [x23]
0xfffffff00908c980: 1f290071  cmp	w8, #0xa
0xfffffff00908c984: c8000054  b.hi	#0xfffffff00908c99c
0xfffffff00908c988: f5ff00a9  stp	x21, xzr, [sp, #8]
0xfffffff00908c98c: f60300f9  str	x22, [sp]
0xfffffff00908c990: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908c994: 00903891  add	x0, x0, #0xe24
0xfffffff00908c998: a229cb97  bl	#0xfffffff008357020
0xfffffff00908c99c: 00008052  mov	w0, #0
0xfffffff00908c9a0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00908c9a4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00908c9a8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00908c9ac: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00908c9b0: ff830191  add	sp, sp, #0x60
0xfffffff00908c9b4: ff0f5fd6  retab	
0xfffffff00908c9b8: 7f2303d5  pacibsp	
0xfffffff00908c9bc: ff8301d1  sub	sp, sp, #0x60
0xfffffff00908c9c0: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00908c9c4: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00908c9c8: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00908c9cc: fd430191  add	x29, sp, #0x50
0xfffffff00908c9d0: f30301aa  mov	x19, x1
0xfffffff00908c9d4: f40300aa  mov	x20, x0
0xfffffff00908c9d8: 359400b0  adrp	x21, #0xfffffff00a311000
0xfffffff00908c9dc: b5a20391  add	x21, x21, #0xe8
