; Candidate 4877
; ADRP+ADD at VM 0xfffffff0087cb20c (fileoff 0x17c720c): page=0x1fea1e000 add_imm=0xe80

0xfffffff0087cb18c: ac8358b8  ldur	w12, [x29, #-0x78]
0xfffffff0087cb190: ad3b7229  ldp	w13, w14, [x29, #-0x70]
0xfffffff0087cb194: af8359b8  ldur	w15, [x29, #-0x68]
0xfffffff0087cb198: ee3f07a9  stp	x14, x15, [sp, #0x70]
0xfffffff0087cb19c: ec3706a9  stp	x12, x13, [sp, #0x60]
0xfffffff0087cb1a0: ac4356b8  ldur	w12, [x29, #-0x9c]
0xfffffff0087cb1a4: ec030c2a  mov	w12, w12
0xfffffff0087cb1a8: eb3305a9  stp	x11, x12, [sp, #0x50]
0xfffffff0087cb1ac: f72b04a9  stp	x23, x10, [sp, #0x40]
0xfffffff0087cb1b0: fa7303a9  stp	x26, x28, [sp, #0x30]
0xfffffff0087cb1b4: ea03132a  mov	w10, w19
0xfffffff0087cb1b8: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff0087cb1bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cb1c0: a80f8052  mov	w8, #0x7d
0xfffffff0087cb1c4: 2052ff90  adrp	x0, #0xfffffff00720f000
0xfffffff0087cb1c8: 00202791  add	x0, x0, #0x9c8
0xfffffff0087cb1cc: f52300a9  stp	x21, x8, [sp]
0xfffffff0087cb1d0: a4b0d797  bl	#0xfffffff007db7460
0xfffffff0087cb1d4: 48000014  b	#0xfffffff0087cb2f4
0xfffffff0087cb1d8: f5a30394  bl	#0xfffffff0088b41ac
0xfffffff0087cb1dc: f30300aa  mov	x19, x0
0xfffffff0087cb1e0: 80008052  mov	w0, #4
0xfffffff0087cb1e4: 9bc10294  bl	#0xfffffff00887b850
0xfffffff0087cb1e8: 2852ff90  adrp	x8, #0xfffffff00720f000
0xfffffff0087cb1ec: 08f52091  add	x8, x8, #0x83d
0xfffffff0087cb1f0: a98d8052  mov	w9, #0x46d
0xfffffff0087cb1f4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087cb1f8: 2852ff90  adrp	x8, #0xfffffff00720f000
0xfffffff0087cb1fc: 08b52091  add	x8, x8, #0x82d
0xfffffff0087cb200: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087cb204: 68008052  mov	w8, #3
0xfffffff0087cb208: f32300a9  stp	x19, x8, [sp]
0xfffffff0087cb20c: e050ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087cb210: 00003a91  add	x0, x0, #0xe80
0xfffffff0087cb214: e191ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087cb218: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087cb21c: 6353ffb0  adrp	x3, #0xfffffff007238000
0xfffffff0087cb220: 631c3b91  add	x3, x3, #0xec7
0xfffffff0087cb224: 02008052  mov	w2, #0
0xfffffff0087cb228: c29fed97  bl	#0xfffffff008333130
0xfffffff0087cb22c: 5e030014  b	#0xfffffff0087cbfa4
0xfffffff0087cb230: bf040071  cmp	w5, #1
0xfffffff0087cb234: 21e4ff54  b.ne	#0xfffffff0087caeb8
0xfffffff0087cb238: 08e4ff34  cbz	w8, #0xfffffff0087caeb8
0xfffffff0087cb23c: 08334fb9  ldr	w8, [x24, #0xf30]
0xfffffff0087cb240: 75a30091  add	x21, x27, #0x28
0xfffffff0087cb244: 698b4bb9  ldr	w9, [x27, #0xb88]
0xfffffff0087cb248: 0adf8252  mov	w10, #0x16f8
0xfffffff0087cb24c: 61030a8b  add	x1, x27, x10
0xfffffff0087cb250: 1f01096b  cmp	w8, w9
0xfffffff0087cb254: 61530054  b.ne	#0xfffffff0087cbcc0
0xfffffff0087cb258: e00315aa  mov	x0, x21
0xfffffff0087cb25c: 026d8152  mov	w2, #0xb68
0xfffffff0087cb260: cc05d697  bl	#0xfffffff007d4c990
0xfffffff0087cb264: 08237039  ldrb	w8, [x24, #0xc08]
0xfffffff0087cb268: 28660035  cbnz	w8, #0xfffffff0087cbf2c
0xfffffff0087cb26c: 9b020014  b	#0xfffffff0087cbcd8
0xfffffff0087cb270: cfa30394  bl	#0xfffffff0088b41ac
0xfffffff0087cb274: f40300aa  mov	x20, x0
0xfffffff0087cb278: e0008052  mov	w0, #7
0xfffffff0087cb27c: 75c10294  bl	#0xfffffff00887b850
0xfffffff0087cb280: 681b40b9  ldr	w8, [x27, #0x18]
0xfffffff0087cb284: 09c740b9  ldr	w9, [x24, #0xc4]
0xfffffff0087cb288: 6a6f4bb9  ldr	w10, [x27, #0xb6c]
