; Candidate 9756
; ADRP+ADD at VM 0xfffffff008b04da8 (fileoff 0x1b00da8): page=0x1fe7ea000 add_imm=0xe04

0xfffffff008b04d28: ff820071  cmp	w23, #0x20
0xfffffff008b04d2c: ec828c1a  csel	w12, w23, w12, hi
0xfffffff008b04d30: 8d0340b9  ldr	w13, [x28]
0xfffffff008b04d34: ae835ab8  ldur	w14, [x29, #-0x58]
0xfffffff008b04d38: ecbb03a9  stp	x12, x14, [sp, #0x38]
0xfffffff008b04d3c: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff008b04d40: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008b04d44: e0b700a9  stp	x0, x13, [sp, #8]
0xfffffff008b04d48: f60300f9  str	x22, [sp]
0xfffffff008b04d4c: 003effb0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b04d50: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b04d54: c17bffd0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b04d58: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b04d5c: 02008052  mov	w2, #0
0xfffffff008b04d60: c33ffff0  adrp	x3, #0xfffffff0072ff000
0xfffffff008b04d64: 634c3c91  add	x3, x3, #0xf13
0xfffffff008b04d68: f2b8e097  bl	#0xfffffff008333130
0xfffffff008b04d6c: 5303130b  add	w19, w26, w19
0xfffffff008b04d70: d6060011  add	w22, w22, #1
0xfffffff008b04d74: bf02166b  cmp	w21, w22
0xfffffff008b04d78: 81f2ff54  b.ne	#0xfffffff008b04bc8
0xfffffff008b04d7c: a8435ab8  ldur	w8, [x29, #-0x5c]
0xfffffff008b04d80: c8010036  tbz	w8, #0, #0xfffffff008b04db8
0xfffffff008b04d84: f30300f9  str	x19, [sp]
0xfffffff008b04d88: 403fffd0  adrp	x0, #0xfffffff0072ee000
0xfffffff008b04d8c: 00243791  add	x0, x0, #0xdc9
0xfffffff008b04d90: b4c9ca97  bl	#0xfffffff007db7460
0xfffffff008b04d94: f55345a9  ldp	x21, x20, [sp, #0x50]
0xfffffff008b04d98: f5201836  tbz	w21, #3, #0xfffffff008b051b4
0xfffffff008b04d9c: 403fffd0  adrp	x0, #0xfffffff0072ee000
0xfffffff008b04da0: 003c3091  add	x0, x0, #0xc0f
0xfffffff008b04da4: afc9ca97  bl	#0xfffffff007db7460
0xfffffff008b04da8: 403fffd0  adrp	x0, #0xfffffff0072ee000
0xfffffff008b04dac: 00103891  add	x0, x0, #0xe04
0xfffffff008b04db0: acc9ca97  bl	#0xfffffff007db7460
0xfffffff008b04db4: 1c000014  b	#0xfffffff008b04e24
0xfffffff008b04db8: f30300f9  str	x19, [sp]
0xfffffff008b04dbc: 003effb0  adrp	x0, #0xfffffff0072c5000
0xfffffff008b04dc0: 00402f91  add	x0, x0, #0xbd0
0xfffffff008b04dc4: c17bffd0  adrp	x1, #0xfffffff007a7e000
0xfffffff008b04dc8: 211046f9  ldr	x1, [x1, #0xc20]
0xfffffff008b04dcc: c33ffff0  adrp	x3, #0xfffffff0072ff000
0xfffffff008b04dd0: 63c03d91  add	x3, x3, #0xf70
0xfffffff008b04dd4: 02008052  mov	w2, #0
0xfffffff008b04dd8: d6b8e097  bl	#0xfffffff008333130
0xfffffff008b04ddc: f55345a9  ldp	x21, x20, [sp, #0x50]
0xfffffff008b04de0: b51e1836  tbz	w21, #3, #0xfffffff008b051b4
0xfffffff008b04de4: 153effb0  adrp	x21, #0xfffffff0072c5000
0xfffffff008b04de8: b5422f91  add	x21, x21, #0xbd0
0xfffffff008b04dec: d67bffd0  adrp	x22, #0xfffffff007a7e000
0xfffffff008b04df0: d61246f9  ldr	x22, [x22, #0xc20]
0xfffffff008b04df4: c33ffff0  adrp	x3, #0xfffffff0072ff000
0xfffffff008b04df8: 63ac3e91  add	x3, x3, #0xfab
0xfffffff008b04dfc: e00315aa  mov	x0, x21
0xfffffff008b04e00: e10316aa  mov	x1, x22
0xfffffff008b04e04: 02008052  mov	w2, #0
0xfffffff008b04e08: cab8e097  bl	#0xfffffff008333130
0xfffffff008b04e0c: c33ffff0  adrp	x3, #0xfffffff0072ff000
0xfffffff008b04e10: 63b43e91  add	x3, x3, #0xfad
0xfffffff008b04e14: e00315aa  mov	x0, x21
0xfffffff008b04e18: e10316aa  mov	x1, x22
0xfffffff008b04e1c: 02008052  mov	w2, #0
0xfffffff008b04e20: c4b8e097  bl	#0xfffffff008333130
0xfffffff008b04e24: 807249f9  ldr	x0, [x20, #0x12e0]
