; Candidate 10533
; ADRP+ADD at VM 0xfffffff008db3afc (fileoff 0x1dafafc): page=0x1fed3c000 add_imm=0xe00

0xfffffff008db3a7c: 10e22191  add	x16, x16, #0x878
0xfffffff008db3a80: 10420091  add	x16, x16, #0x10
0xfffffff008db3a84: f10300aa  mov	x17, x0
0xfffffff008db3a88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008db3a8c: 300ac1da  pacda	x16, x17
0xfffffff008db3a90: 100000f9  str	x16, [x0]
0xfffffff008db3a94: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008db3a98: ff0f5fd6  retab	
0xfffffff008db3a9c: 5f2403d5  bti	c
0xfffffff008db3aa0: 01f4ff17  b	#0xfffffff008db0aa4
0xfffffff008db3aa4: 5f2403d5  bti	c
0xfffffff008db3aa8: fff3ff17  b	#0xfffffff008db0aa4
0xfffffff008db3aac: 7f2303d5  pacibsp	
0xfffffff008db3ab0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008db3ab4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008db3ab8: fd430091  add	x29, sp, #0x10
0xfffffff008db3abc: f30300aa  mov	x19, x0
0xfffffff008db3ac0: f9f3ff97  bl	#0xfffffff008db0aa4
0xfffffff008db3ac4: e069ff90  adrp	x0, #0xfffffff007aef000
0xfffffff008db3ac8: 00003891  add	x0, x0, #0xe00
0xfffffff008db3acc: e10313aa  mov	x1, x19
0xfffffff008db3ad0: 02148052  mov	w2, #0xa0
0xfffffff008db3ad4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008db3ad8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008db3adc: ff2303d5  autibsp	
0xfffffff008db3ae0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008db3ae4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008db3aec
0xfffffff008db3ae8: 208e38d4  brk	#0xc471
0xfffffff008db3aec: ecced417  b	#0xfffffff0082e769c
0xfffffff008db3af0: 5f2403d5  bti	c
0xfffffff008db3af4: e20301aa  mov	x2, x1
0xfffffff008db3af8: e10300aa  mov	x1, x0
0xfffffff008db3afc: e069ff90  adrp	x0, #0xfffffff007aef000
0xfffffff008db3b00: 00003891  add	x0, x0, #0xe00
0xfffffff008db3b04: e6ced417  b	#0xfffffff0082e769c
0xfffffff008db3b08: 5f2403d5  bti	c
0xfffffff008db3b0c: 40aa00f0  adrp	x0, #0xfffffff00a2fe000
0xfffffff008db3b10: 00601791  add	x0, x0, #0x5d8
0xfffffff008db3b14: c0035fd6  ret	
0xfffffff008db3b18: 7f2303d5  pacibsp	
0xfffffff008db3b1c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008db3b20: fd030091  mov	x29, sp
0xfffffff008db3b24: 4130ffb0  adrp	x1, #0xfffffff0073bc000
0xfffffff008db3b28: 21d42791  add	x1, x1, #0x9f5
0xfffffff008db3b2c: 42aa00f0  adrp	x2, #0xfffffff00a2fe000
0xfffffff008db3b30: 42201691  add	x2, x2, #0x588
0xfffffff008db3b34: 03148052  mov	w3, #0xa0
0xfffffff008db3b38: 00c0d497  bl	#0xfffffff0082e3b38
0xfffffff008db3b3c: b069ffb0  adrp	x16, #0xfffffff007ae8000
0xfffffff008db3b40: 10422991  add	x16, x16, #0xa50
0xfffffff008db3b44: 10420091  add	x16, x16, #0x10
0xfffffff008db3b48: f10300aa  mov	x17, x0
0xfffffff008db3b4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008db3b50: 300ac1da  pacda	x16, x17
0xfffffff008db3b54: 100000f9  str	x16, [x0]
0xfffffff008db3b58: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008db3b5c: ff0f5fd6  retab	
0xfffffff008db3b60: 7f2303d5  pacibsp	
0xfffffff008db3b64: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008db3b68: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008db3b6c: fd430091  add	x29, sp, #0x10
0xfffffff008db3b70: e069ff90  adrp	x0, #0xfffffff007aef000
0xfffffff008db3b74: 00003891  add	x0, x0, #0xe00
0xfffffff008db3b78: 01148052  mov	w1, #0xa0
