; Candidate 9717
; ADRP+ADD at VM 0xfffffff008ae1b30 (fileoff 0x1addb30): page=0x1fe7e3000 add_imm=0xe30

0xfffffff008ae1ab0: 00380291  add	x0, x0, #0x8e
0xfffffff008ae1ab4: 96cae697  bl	#0xfffffff00849450c
0xfffffff008ae1ab8: 7f2303d5  pacibsp	
0xfffffff008ae1abc: ff8300d1  sub	sp, sp, #0x20
0xfffffff008ae1ac0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008ae1ac4: fd430091  add	x29, sp, #0x10
0xfffffff008ae1ac8: 083ffff0  adrp	x8, #0xfffffff0072c4000
0xfffffff008ae1acc: 08013091  add	x8, x8, #0xc00
0xfffffff008ae1ad0: 89228052  mov	w9, #0x114
0xfffffff008ae1ad4: e82700a9  stp	x8, x9, [sp]
0xfffffff008ae1ad8: 203fff90  adrp	x0, #0xfffffff0072c5000
0xfffffff008ae1adc: 00380191  add	x0, x0, #0x4e
0xfffffff008ae1ae0: 8bcae697  bl	#0xfffffff00849450c
0xfffffff008ae1ae4: 7f2303d5  pacibsp	
0xfffffff008ae1ae8: ff8300d1  sub	sp, sp, #0x20
0xfffffff008ae1aec: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008ae1af0: fd430091  add	x29, sp, #0x10
0xfffffff008ae1af4: 083ffff0  adrp	x8, #0xfffffff0072c4000
0xfffffff008ae1af8: 08013091  add	x8, x8, #0xc00
0xfffffff008ae1afc: e91b8052  mov	w9, #0xdf
0xfffffff008ae1b00: e82700a9  stp	x8, x9, [sp]
0xfffffff008ae1b04: 003ffff0  adrp	x0, #0xfffffff0072c4000
0xfffffff008ae1b08: 00f03b91  add	x0, x0, #0xefc
0xfffffff008ae1b0c: 80cae697  bl	#0xfffffff00849450c
0xfffffff008ae1b10: 7f2303d5  pacibsp	
0xfffffff008ae1b14: ff8300d1  sub	sp, sp, #0x20
0xfffffff008ae1b18: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008ae1b1c: fd430091  add	x29, sp, #0x10
0xfffffff008ae1b20: 083ffff0  adrp	x8, #0xfffffff0072c4000
0xfffffff008ae1b24: 08013091  add	x8, x8, #0xc00
0xfffffff008ae1b28: 29158052  mov	w9, #0xa9
0xfffffff008ae1b2c: e82700a9  stp	x8, x9, [sp]
0xfffffff008ae1b30: 003ffff0  adrp	x0, #0xfffffff0072c4000
0xfffffff008ae1b34: 00c03891  add	x0, x0, #0xe30
0xfffffff008ae1b38: 75cae697  bl	#0xfffffff00849450c
0xfffffff008ae1b3c: 7f2303d5  pacibsp	
0xfffffff008ae1b40: ff8300d1  sub	sp, sp, #0x20
0xfffffff008ae1b44: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008ae1b48: fd430091  add	x29, sp, #0x10
0xfffffff008ae1b4c: 083ffff0  adrp	x8, #0xfffffff0072c4000
0xfffffff008ae1b50: 08013091  add	x8, x8, #0xc00
0xfffffff008ae1b54: c9158052  mov	w9, #0xae
0xfffffff008ae1b58: e82700a9  stp	x8, x9, [sp]
0xfffffff008ae1b5c: 003ffff0  adrp	x0, #0xfffffff0072c4000
0xfffffff008ae1b60: 00a03991  add	x0, x0, #0xe68
0xfffffff008ae1b64: 6acae697  bl	#0xfffffff00849450c
0xfffffff008ae1b68: 7f2303d5  pacibsp	
0xfffffff008ae1b6c: ff8300d1  sub	sp, sp, #0x20
0xfffffff008ae1b70: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008ae1b74: fd430091  add	x29, sp, #0x10
0xfffffff008ae1b78: 083ffff0  adrp	x8, #0xfffffff0072c4000
0xfffffff008ae1b7c: 08013091  add	x8, x8, #0xc00
0xfffffff008ae1b80: a9118052  mov	w9, #0x8d
0xfffffff008ae1b84: e82700a9  stp	x8, x9, [sp]
0xfffffff008ae1b88: 003ffff0  adrp	x0, #0xfffffff0072c4000
0xfffffff008ae1b8c: 00843691  add	x0, x0, #0xda1
0xfffffff008ae1b90: 5fcae697  bl	#0xfffffff00849450c
0xfffffff008ae1b94: 7f2303d5  pacibsp	
0xfffffff008ae1b98: ff8300d1  sub	sp, sp, #0x20
0xfffffff008ae1b9c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008ae1ba0: fd430091  add	x29, sp, #0x10
0xfffffff008ae1ba4: 083ffff0  adrp	x8, #0xfffffff0072c4000
0xfffffff008ae1ba8: 08013091  add	x8, x8, #0xc00
0xfffffff008ae1bac: 49118052  mov	w9, #0x8a
