; Candidate 14120
; ADRP+ADD at VM 0xfffffff00971d3b0 (fileoff 0x27193b0): page=0x1fde70000 add_imm=0xd31

0xfffffff00971d330: 00201f91  add	x0, x0, #0x7c8
0xfffffff00971d334: 891daf97  bl	#0xfffffff0082e4958
0xfffffff00971d338: f40300aa  mov	x20, x0
0xfffffff00971d33c: e00313aa  mov	x0, x19
0xfffffff00971d340: c72dfe97  bl	#0xfffffff0096a8a5c
0xfffffff00971d344: f50300aa  mov	x21, x0
0xfffffff00971d348: e00100b5  cbnz	x0, #0xfffffff00971d384
0xfffffff00971d34c: 700240f9  ldr	x16, [x19]
0xfffffff00971d350: f10313aa  mov	x17, x19
0xfffffff00971d354: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00971d358: 301ac1da  autda	x16, x17
0xfffffff00971d35c: 113d80d2  mov	x17, #0x1e8
0xfffffff00971d360: 1002118b  add	x16, x16, x17
0xfffffff00971d364: 080240f9  ldr	x8, [x16]
0xfffffff00971d368: e90310aa  mov	x9, x16
0xfffffff00971d36c: e00313aa  mov	x0, x19
0xfffffff00971d370: 010080d2  mov	x1, #0
0xfffffff00971d374: f10309aa  mov	x17, x9
0xfffffff00971d378: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00971d37c: 11093fd7  blraa	x8, x17
0xfffffff00971d380: f50300aa  mov	x21, x0
0xfffffff00971d384: e00313aa  mov	x0, x19
0xfffffff00971d388: b52dfe97  bl	#0xfffffff0096a8a5c
0xfffffff00971d38c: 88f3fe90  adrp	x8, #0xfffffff00758d000
0xfffffff00971d390: 08c53491  add	x8, x8, #0xd31
0xfffffff00971d394: 89f3fe90  adrp	x9, #0xfffffff00758d000
0xfffffff00971d398: 29c93491  add	x9, x9, #0xd32
0xfffffff00971d39c: 1f0000f1  cmp	x0, #0
0xfffffff00971d3a0: 3601889a  csel	x22, x9, x8, eq
0xfffffff00971d3a4: e00313aa  mov	x0, x19
0xfffffff00971d3a8: ad2dfe97  bl	#0xfffffff0096a8a5c
0xfffffff00971d3ac: 800000b4  cbz	x0, #0xfffffff00971d3bc
0xfffffff00971d3b0: 80f3fe90  adrp	x0, #0xfffffff00758d000
0xfffffff00971d3b4: 00c43491  add	x0, x0, #0xd31
0xfffffff00971d3b8: 0e000014  b	#0xfffffff00971d3f0
0xfffffff00971d3bc: 700240f9  ldr	x16, [x19]
0xfffffff00971d3c0: f10313aa  mov	x17, x19
0xfffffff00971d3c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00971d3c8: 301ac1da  autda	x16, x17
0xfffffff00971d3cc: 114380d2  mov	x17, #0x218
0xfffffff00971d3d0: 1002118b  add	x16, x16, x17
0xfffffff00971d3d4: 080240f9  ldr	x8, [x16]
0xfffffff00971d3d8: e90310aa  mov	x9, x16
0xfffffff00971d3dc: e00313aa  mov	x0, x19
0xfffffff00971d3e0: 010080d2  mov	x1, #0
0xfffffff00971d3e4: f10309aa  mov	x17, x9
0xfffffff00971d3e8: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00971d3ec: 11093fd7  blraa	x8, x17
0xfffffff00971d3f0: f68301a9  stp	x22, x0, [sp, #0x18]
0xfffffff00971d3f4: 88f3fe90  adrp	x8, #0xfffffff00758d000
0xfffffff00971d3f8: 08953a91  add	x8, x8, #0xea5
0xfffffff00971d3fc: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff00971d400: f40300f9  str	x20, [sp]
0xfffffff00971d404: 60f3fed0  adrp	x0, #0xfffffff00758b000
0xfffffff00971d408: 00802191  add	x0, x0, #0x860
0xfffffff00971d40c: c127ffb0  adrp	x1, #0xfffffff007c16000
0xfffffff00971d410: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff00971d414: 23f4fed0  adrp	x3, #0xfffffff0075a3000
0xfffffff00971d418: 63b43091  add	x3, x3, #0xc2d
0xfffffff00971d41c: 42008052  mov	w2, #2
0xfffffff00971d420: 4457b097  bl	#0xfffffff008333130
0xfffffff00971d424: 607640f9  ldr	x0, [x19, #0xe8]
0xfffffff00971d428: 100040f9  ldr	x16, [x0]
0xfffffff00971d42c: f10300aa  mov	x17, x0
