; Candidate 13227
; ADRP+ADD at VM 0xfffffff0092381a0 (fileoff 0x22341a0): page=0x1fe27c000 add_imm=0xd19

0xfffffff009238120: a9af8052  mov	w9, #0x57d
0xfffffff009238124: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009238128: e80300f9  str	x8, [sp]
0xfffffff00923812c: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff009238130: 007c0c91  add	x0, x0, #0x31f
0xfffffff009238134: f670c997  bl	#0xfffffff00849450c
0xfffffff009238138: 7f2303d5  pacibsp	
0xfffffff00923813c: ffc300d1  sub	sp, sp, #0x30
0xfffffff009238140: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009238144: fd830091  add	x29, sp, #0x20
0xfffffff009238148: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff00923814c: 0add2591  add	x10, x8, #0x977
0xfffffff009238150: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff009238154: 080d3791  add	x8, x8, #0xdc3
0xfffffff009238158: e9b88052  mov	w9, #0x5c7
0xfffffff00923815c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009238160: e80300f9  str	x8, [sp]
0xfffffff009238164: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff009238168: 007c0c91  add	x0, x0, #0x31f
0xfffffff00923816c: e870c997  bl	#0xfffffff00849450c
0xfffffff009238170: 7f2303d5  pacibsp	
0xfffffff009238174: ffc300d1  sub	sp, sp, #0x30
0xfffffff009238178: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00923817c: fd830091  add	x29, sp, #0x20
0xfffffff009238180: 08004039  ldrb	w8, [x0]
0xfffffff009238184: 290040f9  ldr	x9, [x1]
0xfffffff009238188: 291140b9  ldr	w9, [x9, #0x10]
0xfffffff00923818c: 4aba8052  mov	w10, #0x5d2
0xfffffff009238190: cb13fff0  adrp	x11, #0xfffffff0074b3000
0xfffffff009238194: 6be93791  add	x11, x11, #0xdfa
0xfffffff009238198: eb2b01a9  stp	x11, x10, [sp, #0x10]
0xfffffff00923819c: e82700a9  stp	x8, x9, [sp]
0xfffffff0092381a0: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff0092381a4: 00643491  add	x0, x0, #0xd19
0xfffffff0092381a8: d970c997  bl	#0xfffffff00849450c
0xfffffff0092381ac: 7f2303d5  pacibsp	
0xfffffff0092381b0: ffc300d1  sub	sp, sp, #0x30
0xfffffff0092381b4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0092381b8: fd830091  add	x29, sp, #0x20
0xfffffff0092381bc: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff0092381c0: 0a7d2591  add	x10, x8, #0x95f
0xfffffff0092381c4: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff0092381c8: 080d3791  add	x8, x8, #0xdc3
0xfffffff0092381cc: c9b88052  mov	w9, #0x5c6
0xfffffff0092381d0: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff0092381d4: e80300f9  str	x8, [sp]
0xfffffff0092381d8: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff0092381dc: 007c0c91  add	x0, x0, #0x31f
0xfffffff0092381e0: cb70c997  bl	#0xfffffff00849450c
0xfffffff0092381e4: 7f2303d5  pacibsp	
0xfffffff0092381e8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0092381ec: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0092381f0: fd830091  add	x29, sp, #0x20
0xfffffff0092381f4: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff0092381f8: 0add2591  add	x10, x8, #0x977
0xfffffff0092381fc: e813ff90  adrp	x8, #0xfffffff0074b4000
0xfffffff009238200: 08913891  add	x8, x8, #0xe24
0xfffffff009238204: 69c28052  mov	w9, #0x613
0xfffffff009238208: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00923820c: e80300f9  str	x8, [sp]
0xfffffff009238210: e013ff90  adrp	x0, #0xfffffff0074b4000
0xfffffff009238214: 007c0c91  add	x0, x0, #0x31f
0xfffffff009238218: bd70c997  bl	#0xfffffff00849450c
0xfffffff00923821c: 7f2303d5  pacibsp	
