; Candidate 11417
; ADRP+ADD at VM 0xfffffff008f4503c (fileoff 0x1f4103c): page=0x1febdb000 add_imm=0xd78

0xfffffff008f44fbc: 29000094  bl	#0xfffffff008f45060
0xfffffff008f44fc0: 80010037  tbnz	w0, #0, #0xfffffff008f44ff0
0xfffffff008f44fc4: 700240f9  ldr	x16, [x19]
0xfffffff008f44fc8: f10313aa  mov	x17, x19
0xfffffff008f44fcc: 1168e4f2  movk	x17, #0x2340, lsl #48
0xfffffff008f44fd0: 301ac1da  autda	x16, x17
0xfffffff008f44fd4: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008f44fd8: e90310aa  mov	x9, x16
0xfffffff008f44fdc: e00313aa  mov	x0, x19
0xfffffff008f44fe0: f10309aa  mov	x17, x9
0xfffffff008f44fe4: 114cf5f2  movk	x17, #0xaa60, lsl #48
0xfffffff008f44fe8: 11093fd7  blraa	x8, x17
0xfffffff008f44fec: 130080d2  mov	x19, #0
0xfffffff008f44ff0: e00313aa  mov	x0, x19
0xfffffff008f44ff4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008f44ff8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008f44ffc: ff0f5fd6  retab	
0xfffffff008f45000: 7f2303d5  pacibsp	
0xfffffff008f45004: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008f45008: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f4500c: fd430091  add	x29, sp, #0x10
0xfffffff008f45010: f30300aa  mov	x19, x0
0xfffffff008f45014: d05effd0  adrp	x16, #0xfffffff007b1f000
0xfffffff008f45018: 10623591  add	x16, x16, #0xd58
0xfffffff008f4501c: 10420091  add	x16, x16, #0x10
0xfffffff008f45020: f10300aa  mov	x17, x0
0xfffffff008f45024: 1168e4f2  movk	x17, #0x2340, lsl #48
0xfffffff008f45028: 300ac1da  pacda	x16, x17
0xfffffff008f4502c: 100000f9  str	x16, [x0]
0xfffffff008f45030: 08048052  mov	w8, #0x20
0xfffffff008f45034: 080800b9  str	w8, [x0, #8]
0xfffffff008f45038: 01fc01a9  stp	x1, xzr, [x0, #0x18]
0xfffffff008f4503c: c05efff0  adrp	x0, #0xfffffff007b20000
0xfffffff008f45040: 00e03591  add	x0, x0, #0xd78
0xfffffff008f45044: 01208052  mov	w1, #0x100
0xfffffff008f45048: 6247d097  bl	#0xfffffff008356dd0
0xfffffff008f4504c: 600a00f9  str	x0, [x19, #0x10]
0xfffffff008f45050: e00313aa  mov	x0, x19
0xfffffff008f45054: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008f45058: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008f4505c: ff0f5fd6  retab	
0xfffffff008f45060: 7f2303d5  pacibsp	
0xfffffff008f45064: ff0304d1  sub	sp, sp, #0x100
0xfffffff008f45068: fa670ba9  stp	x26, x25, [sp, #0xb0]
0xfffffff008f4506c: f85f0ca9  stp	x24, x23, [sp, #0xc0]
0xfffffff008f45070: f6570da9  stp	x22, x21, [sp, #0xd0]
0xfffffff008f45074: f44f0ea9  stp	x20, x19, [sp, #0xe0]
0xfffffff008f45078: fd7b0fa9  stp	x29, x30, [sp, #0xf0]
0xfffffff008f4507c: fdc30391  add	x29, sp, #0xf0
0xfffffff008f45080: f30300aa  mov	x19, x0
0xfffffff008f45084: c85eff90  adrp	x8, #0xfffffff007b1d000
0xfffffff008f45088: 085945f9  ldr	x8, [x8, #0xab0]
0xfffffff008f4508c: 080140f9  ldr	x8, [x8]
0xfffffff008f45090: a8831bf8  stur	x8, [x29, #-0x48]
0xfffffff008f45094: 000c40f9  ldr	x0, [x0, #0x18]
0xfffffff008f45098: 01208052  mov	w1, #0x100
0xfffffff008f4509c: 020080d2  mov	x2, #0
0xfffffff008f450a0: f735d397  bl	#0xfffffff00841287c
0xfffffff008f450a4: f40300aa  mov	x20, x0
0xfffffff008f450a8: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff008f450ac: 400100b4  cbz	x0, #0xfffffff008f450d4
0xfffffff008f450b0: 100040f9  ldr	x16, [x0]
0xfffffff008f450b4: f10300aa  mov	x17, x0
0xfffffff008f450b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
