; Candidate 14610
; ADRP+ADD at VM 0xfffffff0098648dc (fileoff 0x28608dc): page=0x1fdd55000 add_imm=0xd27

0xfffffff00986485c: 700000b4  cbz	x16, #0xfffffff009864868
0xfffffff009864860: d19f9cd2  mov	x17, #0xe4fe
0xfffffff009864864: 110a1fd7  braa	x16, x17
0xfffffff009864868: 00008052  mov	w0, #0
0xfffffff00986486c: c0035fd6  ret	
0xfffffff009864870: 7f2303d5  pacibsp	
0xfffffff009864874: ff4301d1  sub	sp, sp, #0x50
0xfffffff009864878: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00986487c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009864880: fd030191  add	x29, sp, #0x40
0xfffffff009864884: f30300aa  mov	x19, x0
0xfffffff009864888: 100040f9  ldr	x16, [x0]
0xfffffff00986488c: 3018c1da  autda	x16, x1
0xfffffff009864890: 113d80d2  mov	x17, #0x1e8
0xfffffff009864894: 1002118b  add	x16, x16, x17
0xfffffff009864898: 080240f9  ldr	x8, [x16]
0xfffffff00986489c: e90310aa  mov	x9, x16
0xfffffff0098648a0: 010080d2  mov	x1, #0
0xfffffff0098648a4: f10309aa  mov	x17, x9
0xfffffff0098648a8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0098648ac: 11093fd7  blraa	x8, x17
0xfffffff0098648b0: f40300aa  mov	x20, x0
0xfffffff0098648b4: e00313aa  mov	x0, x19
0xfffffff0098648b8: 6410ac97  bl	#0xfffffff008368a48
0xfffffff0098648bc: ca6c8052  mov	w10, #0x366
0xfffffff0098648c0: a8eafeb0  adrp	x8, #0xfffffff0075b9000
0xfffffff0098648c4: 08193091  add	x8, x8, #0xc06
0xfffffff0098648c8: a9eafeb0  adrp	x9, #0xfffffff0075b9000
0xfffffff0098648cc: 297d3591  add	x9, x9, #0xd5f
0xfffffff0098648d0: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0098648d4: e98300a9  stp	x9, x0, [sp, #8]
0xfffffff0098648d8: f40300f9  str	x20, [sp]
0xfffffff0098648dc: a0eafeb0  adrp	x0, #0xfffffff0075b9000
0xfffffff0098648e0: 009c3491  add	x0, x0, #0xd27
0xfffffff0098648e4: 0abfb097  bl	#0xfffffff00849450c
0xfffffff0098648e8: 7f2303d5  pacibsp	
0xfffffff0098648ec: ff8301d1  sub	sp, sp, #0x60
0xfffffff0098648f0: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0098648f4: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0098648f8: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0098648fc: fd430191  add	x29, sp, #0x50
0xfffffff009864900: f30303aa  mov	x19, x3
0xfffffff009864904: f40302aa  mov	x20, x2
0xfffffff009864908: f50300aa  mov	x21, x0
0xfffffff00986490c: 1f9402b9  str	wzr, [x0, #0x294]
0xfffffff009864910: 200040f9  ldr	x0, [x1]
0xfffffff009864914: 8a1f9597  bl	#0xfffffff007dac73c
0xfffffff009864918: b00240f9  ldr	x16, [x21]
0xfffffff00986491c: 901ac1da  autda	x16, x20
0xfffffff009864920: f10310aa  mov	x17, x16
0xfffffff009864924: f147c1da  xpacd	x17
0xfffffff009864928: 1f0211eb  cmp	x16, x17
0xfffffff00986492c: 40000054  b.eq	#0xfffffff009864934
0xfffffff009864930: 408e38d4  brk	#0xc472
0xfffffff009864934: 08a20791  add	x8, x16, #0x1e8
0xfffffff009864938: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff00986493c: e00315aa  mov	x0, x21
0xfffffff009864940: 010080d2  mov	x1, #0
0xfffffff009864944: f10308aa  mov	x17, x8
0xfffffff009864948: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00986494c: 31093fd7  blraa	x9, x17
0xfffffff009864950: f40300aa  mov	x20, x0
0xfffffff009864954: e00315aa  mov	x0, x21
0xfffffff009864958: 3c10ac97  bl	#0xfffffff008368a48
