; Candidate 8477
; ADRP+ADD at VM 0xfffffff0088ad1c4 (fileoff 0x18a91c4): page=0x1fe93c000 add_imm=0xe80

0xfffffff0088ad144: da0f0035  cbnz	w26, #0xfffffff0088ad33c
0xfffffff0088ad148: 1f0f0071  cmp	w24, #3
0xfffffff0088ad14c: 480f0054  b.hi	#0xfffffff0088ad334
0xfffffff0088ad150: 080f0011  add	w8, w24, #3
0xfffffff0088ad154: 09070011  add	w9, w24, #1
0xfffffff0088ad158: 79000014  b	#0xfffffff0088ad33c
0xfffffff0088ad15c: 141c0094  bl	#0xfffffff0088b41ac
0xfffffff0088ad160: fb0300aa  mov	x27, x0
0xfffffff0088ad164: c0008052  mov	w0, #6
0xfffffff0088ad168: ba39ff97  bl	#0xfffffff00887b850
0xfffffff0088ad16c: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0088ad170: e83700f9  str	x8, [sp, #0x68]
0xfffffff0088ad174: aa035af8  ldur	x10, [x29, #-0x60]
0xfffffff0088ad178: e8031aaa  mov	x8, x26
0xfffffff0088ad17c: e90319aa  mov	x9, x25
0xfffffff0088ad180: e8ab05a9  stp	x8, x10, [sp, #0x58]
0xfffffff0088ad184: e92b00f9  str	x9, [sp, #0x50]
0xfffffff0088ad188: e80318aa  mov	x8, x24
0xfffffff0088ad18c: e90317aa  mov	x9, x23
0xfffffff0088ad190: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088ad194: e80316aa  mov	x8, x22
0xfffffff0088ad198: e90315aa  mov	x9, x21
0xfffffff0088ad19c: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0088ad1a0: e80314aa  mov	x8, x20
0xfffffff0088ad1a4: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088ad1a8: 284cffd0  adrp	x8, #0xfffffff007233000
0xfffffff0088ad1ac: 085d2f91  add	x8, x8, #0xbd7
0xfffffff0088ad1b0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088ad1b4: c80f8052  mov	w8, #0x7e
0xfffffff0088ad1b8: a34dffd0  adrp	x3, #0xfffffff007263000
0xfffffff0088ad1bc: 63182e91  add	x3, x3, #0xb86
0xfffffff0088ad1c0: fb2300a9  stp	x27, x8, [sp]
0xfffffff0088ad1c4: e049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ad1c8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ad1cc: c18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ad1d0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ad1d4: 02008052  mov	w2, #0
0xfffffff0088ad1d8: d617ea97  bl	#0xfffffff008333130
0xfffffff0088ad1dc: 53f7ffb5  cbnz	x19, #0xfffffff0088ad0c4
0xfffffff0088ad1e0: c00f8052  mov	w0, #0x7e
0xfffffff0088ad1e4: 81008052  mov	w1, #4
0xfffffff0088ad1e8: 7a39ff97  bl	#0xfffffff00887b7d0
0xfffffff0088ad1ec: 20090034  cbz	w0, #0xfffffff0088ad310
0xfffffff0088ad1f0: c00f8052  mov	w0, #0x7e
0xfffffff0088ad1f4: 8939ff97  bl	#0xfffffff00887b818
0xfffffff0088ad1f8: fc0300aa  mov	x28, x0
0xfffffff0088ad1fc: ec1b0094  bl	#0xfffffff0088b41ac
0xfffffff0088ad200: fb0300aa  mov	x27, x0
0xfffffff0088ad204: 80008052  mov	w0, #4
0xfffffff0088ad208: 9239ff97  bl	#0xfffffff00887b850
0xfffffff0088ad20c: bc030034  cbz	w28, #0xfffffff0088ad280
0xfffffff0088ad210: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0088ad214: e83f00f9  str	x8, [sp, #0x78]
0xfffffff0088ad218: aa035af8  ldur	x10, [x29, #-0x60]
0xfffffff0088ad21c: e8031aaa  mov	x8, x26
0xfffffff0088ad220: e90319aa  mov	x9, x25
0xfffffff0088ad224: e8ab06a9  stp	x8, x10, [sp, #0x68]
0xfffffff0088ad228: e93300f9  str	x9, [sp, #0x60]
0xfffffff0088ad22c: e80318aa  mov	x8, x24
0xfffffff0088ad230: e90317aa  mov	x9, x23
0xfffffff0088ad234: e92305a9  stp	x9, x8, [sp, #0x50]
0xfffffff0088ad238: e80316aa  mov	x8, x22
0xfffffff0088ad23c: e90315aa  mov	x9, x21
0xfffffff0088ad240: e92304a9  stp	x9, x8, [sp, #0x40]
