; Candidate 14875
; ADRP+ADD at VM 0xfffffff0099d938c (fileoff 0x29d538c): page=0x1fdc17000 add_imm=0xe16

0xfffffff0099d930c: ff0301d1  sub	sp, sp, #0x40
0xfffffff0099d9310: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0099d9314: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0099d9318: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0099d931c: fdc30091  add	x29, sp, #0x30
0xfffffff0099d9320: a0e0fe90  adrp	x0, #0xfffffff0075ed000
0xfffffff0099d9324: 00781291  add	x0, x0, #0x49e
0xfffffff0099d9328: a1e0fe90  adrp	x1, #0xfffffff0075ed000
0xfffffff0099d932c: 21801491  add	x1, x1, #0x520
0xfffffff0099d9330: a2e0fe90  adrp	x2, #0xfffffff0075ed000
0xfffffff0099d9334: 42d81291  add	x2, x2, #0x4b6
0xfffffff0099d9338: a4e0fe90  adrp	x4, #0xfffffff0075ed000
0xfffffff0099d933c: 84143091  add	x4, x4, #0xc05
0xfffffff0099d9340: b4968252  mov	w20, #0x14b5
0xfffffff0099d9344: 030080d2  mov	x3, #0
0xfffffff0099d9348: a5968252  mov	w5, #0x14b5
0xfffffff0099d934c: 06008052  mov	w6, #0
0xfffffff0099d9350: 0afeff97  bl	#0xfffffff0099d8b78
0xfffffff0099d9354: b5e0fef0  adrp	x21, #0xfffffff0075f0000
0xfffffff0099d9358: b56e3791  add	x21, x21, #0xddb
0xfffffff0099d935c: f55300a9  stp	x21, x20, [sp]
0xfffffff0099d9360: b3e0feb0  adrp	x19, #0xfffffff0075ee000
0xfffffff0099d9364: 73660691  add	x19, x19, #0x199
0xfffffff0099d9368: e00313aa  mov	x0, x19
0xfffffff0099d936c: 2df7a597  bl	#0xfffffff008357020
0xfffffff0099d9370: f55300a9  stp	x21, x20, [sp]
0xfffffff0099d9374: e00313aa  mov	x0, x19
0xfffffff0099d9378: 7658aa97  bl	#0xfffffff00846f550
0xfffffff0099d937c: a8e0fe90  adrp	x8, #0xfffffff0075ed000
0xfffffff0099d9380: 08c93991  add	x8, x8, #0xe72
0xfffffff0099d9384: 09988252  mov	w9, #0x14c0
0xfffffff0099d9388: e82700a9  stp	x8, x9, [sp]
0xfffffff0099d938c: a0e0fef0  adrp	x0, #0xfffffff0075f0000
0xfffffff0099d9390: 00583891  add	x0, x0, #0xe16
0xfffffff0099d9394: 5eecaa97  bl	#0xfffffff00849450c
0xfffffff0099d9398: 7f2303d5  pacibsp	
0xfffffff0099d939c: ff4301d1  sub	sp, sp, #0x50
0xfffffff0099d93a0: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff0099d93a4: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff0099d93a8: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff0099d93ac: fd030191  add	x29, sp, #0x40
0xfffffff0099d93b0: f30300aa  mov	x19, x0
0xfffffff0099d93b4: a0e0fe90  adrp	x0, #0xfffffff0075ed000
0xfffffff0099d93b8: 00781291  add	x0, x0, #0x49e
0xfffffff0099d93bc: a1e0fef0  adrp	x1, #0xfffffff0075f0000
0xfffffff0099d93c0: 21d83a91  add	x1, x1, #0xeb6
0xfffffff0099d93c4: a2e0fe90  adrp	x2, #0xfffffff0075ed000
0xfffffff0099d93c8: 42d81291  add	x2, x2, #0x4b6
0xfffffff0099d93cc: a4e0fe90  adrp	x4, #0xfffffff0075ed000
0xfffffff0099d93d0: 84143091  add	x4, x4, #0xc05
0xfffffff0099d93d4: 95a08252  mov	w21, #0x1504
0xfffffff0099d93d8: 030080d2  mov	x3, #0
0xfffffff0099d93dc: 85a08252  mov	w5, #0x1504
0xfffffff0099d93e0: 06008052  mov	w6, #0
0xfffffff0099d93e4: e5fdff97  bl	#0xfffffff0099d8b78
0xfffffff0099d93e8: 680240b9  ldr	w8, [x19]
0xfffffff0099d93ec: b6e0fef0  adrp	x22, #0xfffffff0075f0000
0xfffffff0099d93f0: d6fa3891  add	x22, x22, #0xe3e
0xfffffff0099d93f4: f5a300a9  stp	x21, x8, [sp, #8]
0xfffffff0099d93f8: f60300f9  str	x22, [sp]
0xfffffff0099d93fc: b4e0fef0  adrp	x20, #0xfffffff0075f0000
0xfffffff0099d9400: 94263b91  add	x20, x20, #0xec9
0xfffffff0099d9404: e00314aa  mov	x0, x20
0xfffffff0099d9408: 06f7a597  bl	#0xfffffff008357020
