; Candidate 13327
; ADRP+ADD at VM 0xfffffff009289810 (fileoff 0x2285810): page=0x1fe233000 add_imm=0xcfa

0xfffffff009289790: 210b8052  mov	w1, #0x59
0xfffffff009289794: 6c2bc897  bl	#0xfffffff008494544
0xfffffff009289798: 7f2303d5  pacibsp	
0xfffffff00928979c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092897a0: fd030091  mov	x29, sp
0xfffffff0092897a4: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092897a8: 00e83391  add	x0, x0, #0xcfa
0xfffffff0092897ac: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff0092897b0: 42283691  add	x2, x2, #0xd8a
0xfffffff0092897b4: 210c8052  mov	w1, #0x61
0xfffffff0092897b8: 632bc897  bl	#0xfffffff008494544
0xfffffff0092897bc: 7f2303d5  pacibsp	
0xfffffff0092897c0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092897c4: fd030091  mov	x29, sp
0xfffffff0092897c8: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092897cc: 00e83391  add	x0, x0, #0xcfa
0xfffffff0092897d0: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff0092897d4: 423c3791  add	x2, x2, #0xdcf
0xfffffff0092897d8: a10c8052  mov	w1, #0x65
0xfffffff0092897dc: 5a2bc897  bl	#0xfffffff008494544
0xfffffff0092897e0: 7f2303d5  pacibsp	
0xfffffff0092897e4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092897e8: fd030091  mov	x29, sp
0xfffffff0092897ec: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff0092897f0: 00e83391  add	x0, x0, #0xcfa
0xfffffff0092897f4: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff0092897f8: 42e43891  add	x2, x2, #0xe39
0xfffffff0092897fc: 81108052  mov	w1, #0x84
0xfffffff009289800: 512bc897  bl	#0xfffffff008494544
0xfffffff009289804: 7f2303d5  pacibsp	
0xfffffff009289808: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00928980c: fd030091  mov	x29, sp
0xfffffff009289810: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009289814: 00e83391  add	x0, x0, #0xcfa
0xfffffff009289818: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff00928981c: 42643791  add	x2, x2, #0xdd9
0xfffffff009289820: c10d8052  mov	w1, #0x6e
0xfffffff009289824: 482bc897  bl	#0xfffffff008494544
0xfffffff009289828: 7f2303d5  pacibsp	
0xfffffff00928982c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009289830: fd030091  mov	x29, sp
0xfffffff009289834: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009289838: 00e03d91  add	x0, x0, #0xf78
0xfffffff00928983c: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff009289840: 42f43e91  add	x2, x2, #0xfbd
0xfffffff009289844: a13a8052  mov	w1, #0x1d5
0xfffffff009289848: 3f2bc897  bl	#0xfffffff008494544
0xfffffff00928984c: 7f2303d5  pacibsp	
0xfffffff009289850: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009289854: fd030091  mov	x29, sp
0xfffffff009289858: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff00928985c: 00e03d91  add	x0, x0, #0xf78
0xfffffff009289860: 8211fff0  adrp	x2, #0xfffffff0074bc000
0xfffffff009289864: 420c3f91  add	x2, x2, #0xfc3
0xfffffff009289868: 013b8052  mov	w1, #0x1d8
0xfffffff00928986c: 362bc897  bl	#0xfffffff008494544
0xfffffff009289870: 7f2303d5  pacibsp	
0xfffffff009289874: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009289878: fd030091  mov	x29, sp
0xfffffff00928987c: 8011fff0  adrp	x0, #0xfffffff0074bc000
0xfffffff009289880: 00e03d91  add	x0, x0, #0xf78
0xfffffff009289884: a211ff90  adrp	x2, #0xfffffff0074bd000
0xfffffff009289888: 42200091  add	x2, x2, #8
0xfffffff00928988c: a13d8052  mov	w1, #0x1ed
