; Candidate 12598
; ADRP+ADD at VM 0xfffffff0090c3138 (fileoff 0x20bf138): page=0x1fe396000 add_imm=0xe24

0xfffffff0090c30b8: 1f290071  cmp	w8, #0xa
0xfffffff0090c30bc: a8000054  b.hi	#0xfffffff0090c30d0
0xfffffff0090c30c0: fb6b00a9  stp	x27, x26, [sp]
0xfffffff0090c30c4: a01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090c30c8: 00583191  add	x0, x0, #0xc56
0xfffffff0090c30cc: d54fca97  bl	#0xfffffff008357020
0xfffffff0090c30d0: f86700a9  stp	x24, x25, [sp]
0xfffffff0090c30d4: 81920090  adrp	x1, #0xfffffff00a313000
0xfffffff0090c30d8: 21403a91  add	x1, x1, #0xe90
0xfffffff0090c30dc: b0fffff0  adrp	x16, #0xfffffff0090ba000
0xfffffff0090c30e0: 10a20a91  add	x16, x16, #0x2a8
0xfffffff0090c30e4: 519081d2  mov	x17, #0xc82
0xfffffff0090c30e8: 3002c1da  pacia	x16, x17
0xfffffff0090c30ec: e00310aa  mov	x0, x16
0xfffffff0090c30f0: e20317aa  mov	x2, x23
0xfffffff0090c30f4: e30316aa  mov	x3, x22
0xfffffff0090c30f8: 04008052  mov	w4, #0
0xfffffff0090c30fc: e50315aa  mov	x5, x21
0xfffffff0090c3100: e60314aa  mov	x6, x20
0xfffffff0090c3104: e70313aa  mov	x7, x19
0xfffffff0090c3108: aae2ff97  bl	#0xfffffff0090bbbb0
0xfffffff0090c310c: f30300aa  mov	x19, x0
0xfffffff0090c3110: 1f000071  cmp	w0, #0
0xfffffff0090c3114: c8088052  mov	w8, #0x46
0xfffffff0090c3118: 49018052  mov	w9, #0xa
0xfffffff0090c311c: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090c3120: 89c34339  ldrb	w9, [x28, #0xf0]
0xfffffff0090c3124: 1f01096b  cmp	w8, w9
0xfffffff0090c3128: e3000054  b.lo	#0xfffffff0090c3144
0xfffffff0090c312c: 687e4093  sxtw	x8, w19
0xfffffff0090c3130: fb6b00a9  stp	x27, x26, [sp]
0xfffffff0090c3134: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c3138: a01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090c313c: 00903891  add	x0, x0, #0xe24
0xfffffff0090c3140: b84fca97  bl	#0xfffffff008357020
0xfffffff0090c3144: e00313aa  mov	x0, x19
0xfffffff0090c3148: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0090c314c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0090c3150: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0090c3154: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0090c3158: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0090c315c: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff0090c3160: ff030291  add	sp, sp, #0x80
0xfffffff0090c3164: ff0f5fd6  retab	
0xfffffff0090c3168: 7f2303d5  pacibsp	
0xfffffff0090c316c: ff4302d1  sub	sp, sp, #0x90
0xfffffff0090c3170: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff0090c3174: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff0090c3178: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff0090c317c: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff0090c3180: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff0090c3184: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff0090c3188: fd030291  add	x29, sp, #0x80
0xfffffff0090c318c: f90305aa  mov	x25, x5
0xfffffff0090c3190: f80304aa  mov	x24, x4
0xfffffff0090c3194: f40303aa  mov	x20, x3
0xfffffff0090c3198: f50302aa  mov	x21, x2
0xfffffff0090c319c: f60301aa  mov	x22, x1
0xfffffff0090c31a0: f70300aa  mov	x23, x0
0xfffffff0090c31a4: 7c9200d0  adrp	x28, #0xfffffff00a311000
0xfffffff0090c31a8: 88c34339  ldrb	w8, [x28, #0xf0]
0xfffffff0090c31ac: 3a1dffd0  adrp	x26, #0xfffffff007469000
0xfffffff0090c31b0: 5a0f1f91  add	x26, x26, #0x7c3
0xfffffff0090c31b4: 1b1dff90  adrp	x27, #0xfffffff007463000
