; Candidate 10685
; ADRP+ADD at VM 0xfffffff008de31b8 (fileoff 0x1ddf1b8): page=0x1fe5e1000 add_imm=0xe15

0xfffffff008de3138: 61080054  b.ne	#0xfffffff008de3244
0xfffffff008de313c: e00313aa  mov	x0, x19
0xfffffff008de3140: bf4301d1  sub	sp, x29, #0x50
0xfffffff008de3144: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008de3148: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008de314c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008de3150: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008de3154: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff008de3158: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff008de315c: ff0f5fd6  retab	
0xfffffff008de3160: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de3164: 48a88052  mov	w8, #0x542
0xfffffff008de3168: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de316c: 29490d91  add	x9, x9, #0x352
0xfffffff008de3170: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de3174: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3178: 08493991  add	x8, x8, #0xe52
0xfffffff008de317c: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de3180: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de3184: 27000014  b	#0xfffffff008de3220
0xfffffff008de3188: 687e4093  sxtw	x8, w19
0xfffffff008de318c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de3190: c9ad8052  mov	w9, #0x56e
0xfffffff008de3194: ea2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de3198: 4a490d91  add	x10, x10, #0x352
0xfffffff008de319c: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de31a0: 092fffb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de31a4: 29493991  add	x9, x9, #0xe52
0xfffffff008de31a8: 0b2fffb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de31ac: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de31b0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de31b4: eb0300f9  str	x11, [sp]
0xfffffff008de31b8: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de31bc: 00543891  add	x0, x0, #0xe15
0xfffffff008de31c0: 98cfd597  bl	#0xfffffff008357020
0xfffffff008de31c4: ffc30091  add	sp, sp, #0x30
0xfffffff008de31c8: c8088052  mov	w8, #0x46
0xfffffff008de31cc: 9f030091  mov	sp, x28
0xfffffff008de31d0: c4ffff17  b	#0xfffffff008de30e0
0xfffffff008de31d4: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de31d8: 68a88052  mov	w8, #0x543
0xfffffff008de31dc: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de31e0: 29490d91  add	x9, x9, #0x352
0xfffffff008de31e4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de31e8: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de31ec: 08493991  add	x8, x8, #0xe52
0xfffffff008de31f0: ea2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de31f4: 4a410491  add	x10, x10, #0x110
0xfffffff008de31f8: 0a000014  b	#0xfffffff008de3220
0xfffffff008de31fc: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de3200: 88a88052  mov	w8, #0x544
0xfffffff008de3204: e92effd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de3208: 29490d91  add	x9, x9, #0x352
0xfffffff008de320c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de3210: 082fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de3214: 08493991  add	x8, x8, #0xe52
0xfffffff008de3218: ea2efff0  adrp	x10, #0xfffffff0073c2000
0xfffffff008de321c: 4a750591  add	x10, x10, #0x15d
0xfffffff008de3220: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de3224: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de3228: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de322c: 00543891  add	x0, x0, #0xe15
0xfffffff008de3230: 7ccfd597  bl	#0xfffffff008357020
0xfffffff008de3234: ffc30091  add	sp, sp, #0x30
