; Candidate 16098
; ADRP+ADD at VM 0xfffffff009e1b58c (fileoff 0x2e1758c): page=0x1fd888000 add_imm=0xe00

0xfffffff009e1b50c: 68008052  mov	w8, #3
0xfffffff009e1b510: 0c000014  b	#0xfffffff009e1b540
0xfffffff009e1b514: 28008052  mov	w8, #1
0xfffffff009e1b518: 0a000014  b	#0xfffffff009e1b540
0xfffffff009e1b51c: 48008052  mov	w8, #2
0xfffffff009e1b520: 08000014  b	#0xfffffff009e1b540
0xfffffff009e1b524: 88008052  mov	w8, #4
0xfffffff009e1b528: 06000014  b	#0xfffffff009e1b540
0xfffffff009e1b52c: a8008052  mov	w8, #5
0xfffffff009e1b530: 04000014  b	#0xfffffff009e1b540
0xfffffff009e1b534: c8008052  mov	w8, #6
0xfffffff009e1b538: 02000014  b	#0xfffffff009e1b540
0xfffffff009e1b53c: e8008052  mov	w8, #7
0xfffffff009e1b540: 892a40f9  ldr	x9, [x20, #0x50]
0xfffffff009e1b544: 28693bb8  str	w8, [x9, x27]
0xfffffff009e1b548: 7b430091  add	x27, x27, #0x10
0xfffffff009e1b54c: 730a0091  add	x19, x19, #2
0xfffffff009e1b550: 5f031beb  cmp	x26, x27
0xfffffff009e1b554: 81f2ff54  b.ne	#0xfffffff009e1b3a4
0xfffffff009e1b558: 00008052  mov	w0, #0
0xfffffff009e1b55c: 15000014  b	#0xfffffff009e1b5b0
0xfffffff009e1b560: 80018052  mov	w0, #0xc
0xfffffff009e1b564: 13000014  b	#0xfffffff009e1b5b0
0xfffffff009e1b568: 40c4fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e1b56c: 00003891  add	x0, x0, #0xe00
0xfffffff009e1b570: 61f8fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e1b574: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e1b578: 23d0feb0  adrp	x3, #0xfffffff007820000
0xfffffff009e1b57c: 63b40a91  add	x3, x3, #0x2ad
0xfffffff009e1b580: 02008052  mov	w2, #0
0xfffffff009e1b584: eb5e9497  bl	#0xfffffff008333130
0xfffffff009e1b588: 09000014  b	#0xfffffff009e1b5ac
0xfffffff009e1b58c: 40c4fe90  adrp	x0, #0xfffffff0076a3000
0xfffffff009e1b590: 00003891  add	x0, x0, #0xe00
0xfffffff009e1b594: 61f8fed0  adrp	x1, #0xfffffff007d29000
0xfffffff009e1b598: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e1b59c: 23d0feb0  adrp	x3, #0xfffffff007820000
0xfffffff009e1b5a0: 63100b91  add	x3, x3, #0x2c4
0xfffffff009e1b5a4: 02008052  mov	w2, #0
0xfffffff009e1b5a8: e25e9497  bl	#0xfffffff008333130
0xfffffff009e1b5ac: c0028052  mov	w0, #0x16
0xfffffff009e1b5b0: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff009e1b5b4: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff009e1b5b8: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff009e1b5bc: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff009e1b5c0: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff009e1b5c4: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff009e1b5c8: ff030291  add	sp, sp, #0x80
0xfffffff009e1b5cc: ff0f5fd6  retab	
0xfffffff009e1b5d0: 7f2303d5  pacibsp	
0xfffffff009e1b5d4: ff4301d1  sub	sp, sp, #0x50
0xfffffff009e1b5d8: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff009e1b5dc: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009e1b5e0: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009e1b5e4: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009e1b5e8: fd030191  add	x29, sp, #0x40
0xfffffff009e1b5ec: 018c0079  strh	w1, [x0, #0x46]
0xfffffff009e1b5f0: 01080034  cbz	w1, #0xfffffff009e1b6f0
0xfffffff009e1b5f4: f40301aa  mov	x20, x1
0xfffffff009e1b5f8: f30300aa  mov	x19, x0
0xfffffff009e1b5fc: 213c1d53  ubfiz	w1, w1, #3, #0x10
0xfffffff009e1b600: 80f8fed0  adrp	x0, #0xfffffff007d2d000
0xfffffff009e1b604: 00200391  add	x0, x0, #0xc8
0xfffffff009e1b608: f2ed9497  bl	#0xfffffff008356dd0
