; Candidate 2923
; ADRP+ADD at VM 0xfffffff0086f6494 (fileoff 0x16f2494): page=0x1fea3b000 add_imm=0xd90

0xfffffff0086f6414: 60821091  add	x0, x19, #0x420
0xfffffff0086f6418: 01008052  mov	w1, #0
0xfffffff0086f641c: 02818052  mov	w2, #0x408
0xfffffff0086f6420: e859d997  bl	#0xfffffff007d4cbc0
0xfffffff0086f6424: 14000014  b	#0xfffffff0086f6474
0xfffffff0086f6428: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f642c: 00403691  add	x0, x0, #0xd90
0xfffffff0086f6430: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f6434: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f6438: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f643c: 63080f91  add	x3, x3, #0x3c2
0xfffffff0086f6440: 02008052  mov	w2, #0
0xfffffff0086f6444: 3bf3f097  bl	#0xfffffff008333130
0xfffffff0086f6448: 14268052  mov	w20, #0x130
0xfffffff0086f644c: f75300a9  stp	x23, x20, [sp]
0xfffffff0086f6450: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f6454: 00403691  add	x0, x0, #0xd90
0xfffffff0086f6458: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f645c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f6460: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f6464: 63081091  add	x3, x3, #0x402
0xfffffff0086f6468: 02008052  mov	w2, #0
0xfffffff0086f646c: 31f3f097  bl	#0xfffffff008333130
0xfffffff0086f6470: 746e34b9  str	w20, [x19, #0x346c]
0xfffffff0086f6474: e00313aa  mov	x0, x19
0xfffffff0086f6478: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0086f647c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0086f6480: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0086f6484: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0086f6488: ff430191  add	sp, sp, #0x50
0xfffffff0086f648c: ff0f5fd6  retab	
0xfffffff0086f6490: f75700a9  stp	x23, x21, [sp]
0xfffffff0086f6494: c051fff0  adrp	x0, #0xfffffff007131000
0xfffffff0086f6498: 00403691  add	x0, x0, #0xd90
0xfffffff0086f649c: 2198fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f64a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f64a4: e351fff0  adrp	x3, #0xfffffff007135000
0xfffffff0086f64a8: 63280e91  add	x3, x3, #0x38a
0xfffffff0086f64ac: 02008052  mov	w2, #0
0xfffffff0086f64b0: 20f3f097  bl	#0xfffffff008333130
0xfffffff0086f64b4: 7f1a05f9  str	xzr, [x19, #0xa30]
0xfffffff0086f64b8: 14278052  mov	w20, #0x138
0xfffffff0086f64bc: e4ffff17  b	#0xfffffff0086f644c
0xfffffff0086f64c0: 7f2303d5  pacibsp	
0xfffffff0086f64c4: ffc300d1  sub	sp, sp, #0x30
0xfffffff0086f64c8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086f64cc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086f64d0: fd830091  add	x29, sp, #0x20
0xfffffff0086f64d4: f30300aa  mov	x19, x0
0xfffffff0086f64d8: 6098ffb0  adrp	x0, #0xfffffff007a03000
0xfffffff0086f64dc: 00a00591  add	x0, x0, #0x168
0xfffffff0086f64e0: 0580f197  bl	#0xfffffff0083564f4
0xfffffff0086f64e4: 60d219f9  str	x0, [x19, #0x33a0]
0xfffffff0086f64e8: 000300b4  cbz	x0, #0xfffffff0086f6548
0xfffffff0086f64ec: 6098ffb0  adrp	x0, #0xfffffff007a03000
0xfffffff0086f64f0: 00a00691  add	x0, x0, #0x1a8
0xfffffff0086f64f4: 0080f197  bl	#0xfffffff0083564f4
0xfffffff0086f64f8: 60f219f9  str	x0, [x19, #0x33e0]
0xfffffff0086f64fc: e00300b4  cbz	x0, #0xfffffff0086f6578
0xfffffff0086f6500: 6098ffb0  adrp	x0, #0xfffffff007a03000
0xfffffff0086f6504: 00a00791  add	x0, x0, #0x1e8
0xfffffff0086f6508: fb7ff197  bl	#0xfffffff0083564f4
0xfffffff0086f650c: 603e1af9  str	x0, [x19, #0x3478]
0xfffffff0086f6510: c00400b4  cbz	x0, #0xfffffff0086f65a8
