; Candidate 7998
; ADRP+ADD at VM 0xfffffff00888da10 (fileoff 0x1889a10): page=0x1fe95c000 add_imm=0xe80

0xfffffff00888d990: 88032837  tbnz	w8, #5, #0xfffffff00888da00
0xfffffff00888d994: e80240f9  ldr	x8, [x23]
0xfffffff00888d998: 692a4229  ldp	w9, w10, [x19, #0x10]
0xfffffff00888d99c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00888d9a0: e80300f9  str	x8, [sp]
0xfffffff00888d9a4: 004dffd0  adrp	x0, #0xfffffff00722f000
0xfffffff00888d9a8: 004c0491  add	x0, x0, #0x113
0xfffffff00888d9ac: ada6d497  bl	#0xfffffff007db7460
0xfffffff00888d9b0: 20000014  b	#0xfffffff00888da30
0xfffffff00888d9b4: fe990094  bl	#0xfffffff0088b41ac
0xfffffff00888d9b8: f80300aa  mov	x24, x0
0xfffffff00888d9bc: e00315aa  mov	x0, x21
0xfffffff00888d9c0: a4b7ff97  bl	#0xfffffff00887b850
0xfffffff00888d9c4: e80240f9  ldr	x8, [x23]
0xfffffff00888d9c8: 692a4229  ldp	w9, w10, [x19, #0x10]
0xfffffff00888d9cc: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff00888d9d0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888d9d4: e80314aa  mov	x8, x20
0xfffffff00888d9d8: f82300a9  stp	x24, x8, [sp]
0xfffffff00888d9dc: e04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00888d9e0: 00003a91  add	x0, x0, #0xe80
0xfffffff00888d9e4: c18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00888d9e8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888d9ec: 834effb0  adrp	x3, #0xfffffff00725e000
0xfffffff00888d9f0: 63940691  add	x3, x3, #0x1a5
0xfffffff00888d9f4: 02008052  mov	w2, #0
0xfffffff00888d9f8: ce95ea97  bl	#0xfffffff008333130
0xfffffff00888d9fc: 0d000014  b	#0xfffffff00888da30
0xfffffff00888da00: e80240f9  ldr	x8, [x23]
0xfffffff00888da04: 692a4229  ldp	w9, w10, [x19, #0x10]
0xfffffff00888da08: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff00888da0c: e80300f9  str	x8, [sp]
0xfffffff00888da10: e04aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00888da14: 00003a91  add	x0, x0, #0xe80
0xfffffff00888da18: c18bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff00888da1c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888da20: 834effb0  adrp	x3, #0xfffffff00725e000
0xfffffff00888da24: 63680691  add	x3, x3, #0x19a
0xfffffff00888da28: 02008052  mov	w2, #0
0xfffffff00888da2c: c195ea97  bl	#0xfffffff008333130
0xfffffff00888da30: 80008052  mov	w0, #4
0xfffffff00888da34: 60950094  bl	#0xfffffff0088b2fb4
0xfffffff00888da38: f70300aa  mov	x23, x0
0xfffffff00888da3c: e00314aa  mov	x0, x20
0xfffffff00888da40: e10315aa  mov	x1, x21
0xfffffff00888da44: 63b7ff97  bl	#0xfffffff00887b7d0
0xfffffff00888da48: e00a0034  cbz	w0, #0xfffffff00888dba4
0xfffffff00888da4c: e00314aa  mov	x0, x20
0xfffffff00888da50: 72b7ff97  bl	#0xfffffff00887b818
0xfffffff00888da54: 1603f837  tbnz	w22, #0x1f, #0xfffffff00888dab4
0xfffffff00888da58: d9021b12  and	w25, w22, #0x20
0xfffffff00888da5c: 1a000052  eor	w26, w0, #1
0xfffffff00888da60: d3990094  bl	#0xfffffff0088b41ac
0xfffffff00888da64: f80300aa  mov	x24, x0
0xfffffff00888da68: e00315aa  mov	x0, x21
0xfffffff00888da6c: 79b7ff97  bl	#0xfffffff00887b850
0xfffffff00888da70: 4817592a  orr	w8, w26, w25, lsr #5
0xfffffff00888da74: 28040037  tbnz	w8, #0, #0xfffffff00888daf8
0xfffffff00888da78: e80240f9  ldr	x8, [x23]
0xfffffff00888da7c: 692a4429  ldp	w9, w10, [x19, #0x20]
0xfffffff00888da80: 6b324529  ldp	w11, w12, [x19, #0x28]
0xfffffff00888da84: 6d3a4629  ldp	w13, w14, [x19, #0x30]
0xfffffff00888da88: 6f424729  ldp	w15, w16, [x19, #0x38]
0xfffffff00888da8c: ef4305a9  stp	x15, x16, [sp, #0x50]
