; Candidate 13243
; ADRP+ADD at VM 0xfffffff00924221c (fileoff 0x223e21c): page=0x1fe275000 add_imm=0xd1e

0xfffffff00924219c: f10314aa  mov	x17, x20
0xfffffff0092421a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092421a4: 301ac1da  autda	x16, x17
0xfffffff0092421a8: 11ad80d2  mov	x17, #0x568
0xfffffff0092421ac: 1002118b  add	x16, x16, x17
0xfffffff0092421b0: 080240f9  ldr	x8, [x16]
0xfffffff0092421b4: e90310aa  mov	x9, x16
0xfffffff0092421b8: e00314aa  mov	x0, x20
0xfffffff0092421bc: e10315aa  mov	x1, x21
0xfffffff0092421c0: f10309aa  mov	x17, x9
0xfffffff0092421c4: b1bfe2f2  movk	x17, #0x15fd, lsl #48
0xfffffff0092421c8: 11093fd7  blraa	x8, x17
0xfffffff0092421cc: a0000034  cbz	w0, #0xfffffff0092421e0
0xfffffff0092421d0: 882246f9  ldr	x8, [x20, #0xc40]
0xfffffff0092421d4: 0801158b  add	x8, x8, x21
0xfffffff0092421d8: 08697638  ldrb	w8, [x8, x22]
0xfffffff0092421dc: 48010034  cbz	w8, #0xfffffff009242204
0xfffffff0092421e0: b5060091  add	x21, x21, #1
0xfffffff0092421e4: 889649b9  ldr	w8, [x20, #0x994]
0xfffffff0092421e8: bf0208eb  cmp	x21, x8
0xfffffff0092421ec: a3fbff54  b.lo	#0xfffffff009242160
0xfffffff0092421f0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0092421f4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0092421f8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0092421fc: ff830191  add	sp, sp, #0x60
0xfffffff009242200: ff0f5fd6  retab	
0xfffffff009242204: 881646f9  ldr	x8, [x20, #0xc28]
0xfffffff009242208: e9408152  mov	w9, #0xa07
0xfffffff00924220c: aa13ffb0  adrp	x10, #0xfffffff0074b7000
0xfffffff009242210: 4ac10691  add	x10, x10, #0x1b0
0xfffffff009242214: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff009242218: e84f00a9  stp	x8, x19, [sp]
0xfffffff00924221c: a013ffb0  adrp	x0, #0xfffffff0074b7000
0xfffffff009242220: 00783491  add	x0, x0, #0xd1e
0xfffffff009242224: ba48c997  bl	#0xfffffff00849450c
0xfffffff009242228: 881646f9  ldr	x8, [x20, #0xc28]
0xfffffff00924222c: 2a008052  mov	w10, #1
0xfffffff009242230: 4921c91a  lsl	w9, w10, w9
0xfffffff009242234: 8a9e49b9  ldr	w10, [x20, #0x99c]
0xfffffff009242238: cb3a8152  mov	w11, #0x9d6
0xfffffff00924223c: ac13ffb0  adrp	x12, #0xfffffff0074b7000
0xfffffff009242240: 8cc10691  add	x12, x12, #0x1b0
0xfffffff009242244: ec2f02a9  stp	x12, x11, [sp, #0x20]
0xfffffff009242248: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff00924224c: e84f00a9  stp	x8, x19, [sp]
0xfffffff009242250: a013ffb0  adrp	x0, #0xfffffff0074b7000
0xfffffff009242254: 00382f91  add	x0, x0, #0xbce
0xfffffff009242258: ad48c997  bl	#0xfffffff00849450c
0xfffffff00924225c: 88050153  ubfx	w8, w12, #1, #1
0xfffffff009242260: 697d1f53  lsr	w9, w11, #0x1f
0xfffffff009242264: 8a1646f9  ldr	x10, [x20, #0xc28]
0xfffffff009242268: 4b3d8152  mov	w11, #0x9ea
0xfffffff00924226c: ac13ffb0  adrp	x12, #0xfffffff0074b7000
0xfffffff009242270: 8cc10691  add	x12, x12, #0x1b0
0xfffffff009242274: ec2f02a9  stp	x12, x11, [sp, #0x20]
0xfffffff009242278: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff00924227c: ea4f00a9  stp	x10, x19, [sp]
0xfffffff009242280: a013ffb0  adrp	x0, #0xfffffff0074b7000
0xfffffff009242284: 00c03191  add	x0, x0, #0xc70
0xfffffff009242288: a148c997  bl	#0xfffffff00849450c
0xfffffff00924228c: 883d0853  ubfx	w8, w12, #8, #8
0xfffffff009242290: 891646f9  ldr	x9, [x20, #0xc28]
0xfffffff009242294: 8a2246f9  ldr	x10, [x20, #0xc40]
0xfffffff009242298: 0c778052  mov	w12, #0x3b8
