; Candidate 11107
; ADRP+ADD at VM 0xfffffff008e66050 (fileoff 0x1e62050): page=0x1fe56b000 add_imm=0xd01

0xfffffff008e65fd0: 603e00f9  str	x0, [x19, #0x78]
0xfffffff008e65fd4: 800600b4  cbz	x0, #0xfffffff008e660a4
0xfffffff008e65fd8: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008e65fdc: 603a00fd  str	d0, [x19, #0x70]
0xfffffff008e65fe0: 7f320039  strb	wzr, [x19, #0xc]
0xfffffff008e65fe4: 08208052  mov	w8, #0x100
0xfffffff008e65fe8: 68720079  strh	w8, [x19, #0x38]
0xfffffff008e65fec: 602600fd  str	d0, [x19, #0x48]
0xfffffff008e65ff0: 7f3e00b9  str	wzr, [x19, #0x3c]
0xfffffff008e65ff4: 20008052  mov	w0, #1
0xfffffff008e65ff8: 79ffff17  b	#0xfffffff008e65ddc
0xfffffff008e65ffc: 882bfff0  adrp	x8, #0xfffffff0073d8000
0xfffffff008e66000: 084d0a91  add	x8, x8, #0x293
0xfffffff008e66004: e80300f9  str	x8, [sp]
0xfffffff008e66008: 802bffd0  adrp	x0, #0xfffffff0073d8000
0xfffffff008e6600c: 00b00d91  add	x0, x0, #0x36c
0xfffffff008e66010: 71ffff17  b	#0xfffffff008e65dd4
0xfffffff008e66014: 882bffd0  adrp	x8, #0xfffffff0073d8000
0xfffffff008e66018: 084d0a91  add	x8, x8, #0x293
0xfffffff008e6601c: e80300f9  str	x8, [sp]
0xfffffff008e66020: 802bffd0  adrp	x0, #0xfffffff0073d8000
0xfffffff008e66024: 00340e91  add	x0, x0, #0x38d
0xfffffff008e66028: 6bffff17  b	#0xfffffff008e65dd4
0xfffffff008e6602c: 882bffd0  adrp	x8, #0xfffffff0073d8000
0xfffffff008e66030: 084d0a91  add	x8, x8, #0x293
0xfffffff008e66034: e80300f9  str	x8, [sp]
0xfffffff008e66038: 802bffd0  adrp	x0, #0xfffffff0073d8000
0xfffffff008e6603c: 00d40e91  add	x0, x0, #0x3b5
0xfffffff008e66040: 65ffff17  b	#0xfffffff008e65dd4
0xfffffff008e66044: 882bffd0  adrp	x8, #0xfffffff0073d8000
0xfffffff008e66048: 084d0a91  add	x8, x8, #0x293
0xfffffff008e6604c: e80300f9  str	x8, [sp]
0xfffffff008e66050: 402bfff0  adrp	x0, #0xfffffff0073d1000
0xfffffff008e66054: 00043491  add	x0, x0, #0xd01
0xfffffff008e66058: 5fffff17  b	#0xfffffff008e65dd4
0xfffffff008e6605c: 882bffd0  adrp	x8, #0xfffffff0073d8000
0xfffffff008e66060: 084d0a91  add	x8, x8, #0x293
0xfffffff008e66064: e80300f9  str	x8, [sp]
0xfffffff008e66068: 402bfff0  adrp	x0, #0xfffffff0073d1000
0xfffffff008e6606c: 008c3691  add	x0, x0, #0xda3
0xfffffff008e66070: 59ffff17  b	#0xfffffff008e65dd4
0xfffffff008e66074: 882bffd0  adrp	x8, #0xfffffff0073d8000
0xfffffff008e66078: 084d0a91  add	x8, x8, #0x293
0xfffffff008e6607c: e80300f9  str	x8, [sp]
0xfffffff008e66080: 802bffd0  adrp	x0, #0xfffffff0073d8000
0xfffffff008e66084: 00740f91  add	x0, x0, #0x3dd
0xfffffff008e66088: 53ffff17  b	#0xfffffff008e65dd4
0xfffffff008e6608c: 882bffd0  adrp	x8, #0xfffffff0073d8000
0xfffffff008e66090: 084d0a91  add	x8, x8, #0x293
0xfffffff008e66094: e80300f9  str	x8, [sp]
0xfffffff008e66098: 802bffd0  adrp	x0, #0xfffffff0073d8000
0xfffffff008e6609c: 008c1091  add	x0, x0, #0x423
0xfffffff008e660a0: 4dffff17  b	#0xfffffff008e65dd4
0xfffffff008e660a4: 882bffd0  adrp	x8, #0xfffffff0073d8000
0xfffffff008e660a8: 084d0a91  add	x8, x8, #0x293
0xfffffff008e660ac: e80300f9  str	x8, [sp]
0xfffffff008e660b0: 402bfff0  adrp	x0, #0xfffffff0073d1000
0xfffffff008e660b4: 00843791  add	x0, x0, #0xde1
0xfffffff008e660b8: 47ffff17  b	#0xfffffff008e65dd4
0xfffffff008e660bc: 7f2303d5  pacibsp	
0xfffffff008e660c0: ff0301d1  sub	sp, sp, #0x40
0xfffffff008e660c4: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008e660c8: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008e660cc: fd7b03a9  stp	x29, x30, [sp, #0x30]
