; Candidate 15016
; ADRP+ADD at VM 0xfffffff009a2e690 (fileoff 0x2a2a690): page=0x1fe278000 add_imm=0xe80

0xfffffff009a2e610: e90310aa  mov	x9, x16
0xfffffff009a2e614: e00313aa  mov	x0, x19
0xfffffff009a2e618: f10309aa  mov	x17, x9
0xfffffff009a2e61c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009a2e620: 11093fd7  blraa	x8, x17
0xfffffff009a2e624: 717e9297  bl	#0xfffffff007ecdfe8
0xfffffff009a2e628: f30300aa  mov	x19, x0
0xfffffff009a2e62c: d4e28e97  bl	#0xfffffff007de717c
0xfffffff009a2e630: e00313aa  mov	x0, x19
0xfffffff009a2e634: d8f58e97  bl	#0xfffffff007debd94
0xfffffff009a2e638: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009a2e63c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009a2e640: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009a2e644: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff009a2e648: ff430191  add	sp, sp, #0x50
0xfffffff009a2e64c: ff0f5fd6  retab	
0xfffffff009a2e650: 7f2303d5  pacibsp	
0xfffffff009a2e654: ff4301d1  sub	sp, sp, #0x50
0xfffffff009a2e658: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff009a2e65c: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009a2e660: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009a2e664: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009a2e668: fd030191  add	x29, sp, #0x40
0xfffffff009a2e66c: f50301aa  mov	x21, x1
0xfffffff009a2e670: f60300aa  mov	x22, x0
0xfffffff009a2e674: a813ff90  adrp	x8, #0xfffffff007ca2000
0xfffffff009a2e678: 08a13491  add	x8, x8, #0xd28
0xfffffff009a2e67c: 010140f9  ldr	x1, [x8]
0xfffffff009a2e680: e00315aa  mov	x0, x21
0xfffffff009a2e684: 9cd5a297  bl	#0xfffffff0082e3cf4
0xfffffff009a2e688: e00a00b4  cbz	x0, #0xfffffff009a2e7e4
0xfffffff009a2e68c: f40300aa  mov	x20, x0
0xfffffff009a2e690: c013ff90  adrp	x0, #0xfffffff007ca6000
0xfffffff009a2e694: 00003a91  add	x0, x0, #0xe80
0xfffffff009a2e698: 979fa497  bl	#0xfffffff0083564f4
0xfffffff009a2e69c: f30300aa  mov	x19, x0
0xfffffff009a2e6a0: 400900b4  cbz	x0, #0xfffffff009a2e7c8
0xfffffff009a2e6a4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009a2e6a8: 608203ad  stp	q0, q0, [x19, #0x70]
0xfffffff009a2e6ac: 608202ad  stp	q0, q0, [x19, #0x50]
0xfffffff009a2e6b0: 608201ad  stp	q0, q0, [x19, #0x30]
0xfffffff009a2e6b4: 608200ad  stp	q0, q0, [x19, #0x10]
0xfffffff009a2e6b8: 6002803d  str	q0, [x19]
0xfffffff009a2e6bc: f70313aa  mov	x23, x19
0xfffffff009a2e6c0: ff0e09f8  str	xzr, [x23, #0x90]!
0xfffffff009a2e6c4: 742a00f9  str	x20, [x19, #0x50]
0xfffffff009a2e6c8: e10315aa  mov	x1, x21
0xfffffff009a2e6cc: 48000094  bl	#0xfffffff009a2e7ec
0xfffffff009a2e6d0: 602e00f9  str	x0, [x19, #0x58]
0xfffffff009a2e6d4: e00317aa  mov	x0, x23
0xfffffff009a2e6d8: 01d3a297  bl	#0xfffffff0082e32dc
0xfffffff009a2e6dc: c8224439  ldrb	w8, [x22, #0x108]
0xfffffff009a2e6e0: 1f050072  tst	w8, #3
0xfffffff009a2e6e4: 60060054  b.eq	#0xfffffff009a2e7b0
0xfffffff009a2e6e8: e00315aa  mov	x0, x21
0xfffffff009a2e6ec: fc350094  bl	#0xfffffff009a3bedc
0xfffffff009a2e6f0: 400000b4  cbz	x0, #0xfffffff009a2e6f8
0xfffffff009a2e6f4: 601a00f9  str	x0, [x19, #0x30]
0xfffffff009a2e6f8: e00315aa  mov	x0, x21
0xfffffff009a2e6fc: c9360094  bl	#0xfffffff009a3c220
0xfffffff009a2e700: e00500b4  cbz	x0, #0xfffffff009a2e7bc
0xfffffff009a2e704: f50300aa  mov	x21, x0
0xfffffff009a2e708: 601e00f9  str	x0, [x19, #0x38]
0xfffffff009a2e70c: 602e40f9  ldr	x0, [x19, #0x58]
